,CID10,Count,DESCR
0,Z000,1044261,Z00.0 Exame medico geral
1,Z018,624611,Z01.8 Outr exames especiais espec
2,Z049,168161,Z04.9 Exame e observacao p/razao NE
3,Z008,150047,Z00.8 Outr exames gerais
4,R104,148897,R10.4 Outr dores abdominais e as NE
5,N180,99759,N18.0 Doenc renal em estadio final
6,Z014,95883,Z01.4 Exame ginecologico
7,I10,95793,I10   Hipertensao essencial
8,Z010,87480,Z01.0 Exame dos olhos e da visao
9,Z929,81400,Z92.9 Historia pessoal de tratamento medico NE
10,M545,80938,M54.5 Dor lombar baixa
11,N390,79496,N39.0 Infecc do trato urinario de localiz NE
12,A09,78349,A09   Diarreia e gastroenterite orig infecc presum
13,R520,74814,R52.0 Dor aguda
14,O820,72197,O82.0 Parto p/cesariana eletiva
15,R100,70456,R10.0 Abdome agudo
16,Z518,69156,Z51.8 Outr cuidado medico espec
17,Z017,69110,Z01.7 Exame de laboratorio
18,O829,68859,O82.9 Parto p/cesariana NE
19,R529,67719,R52.9 Dor NE
20,Z016,66539,Z01.6 Exame radiologico NCOP
21,R688,65321,R68.8 Outr sint e sinais gerais espec
22,R51,63393,R51   Cefaleia
23,Z769,57648,Z76.9 Pessoa cont serv saude em circunstancias NE
24,R509,54469,R50.9 Febre NE
25,I839,51196,I83.9 Varizes membros infer s/ulcera ou inflam
26,Z519,49560,Z51.9 Cuidado medico NE
27,J069,49293,J06.9 Infecc aguda das vias aereas super NE
28,R69,49223,R69   Causas desconhecidas e NE de morbidade
29,N23,47468,N23   Colica nefretica NE
30,R53,46020,R53   Mal estar fadiga
31,C80,43724,C80   Neopl malig s/especificacao de localiz
32,J189,43417,J18.9 Pneumonia NE
33,C509,42232,C50.9 Mama NE
34,N200,41012,N20.0 Calculose do rim
35,M255,39147,M25.5 Dor articular
36,Z006,38093,Z00.6 Exame p/comp controle norm progr invest clin
37,I200,37306,I20.0 Angina instavel
38,M549,36208,M54.9 Dorsalgia NE
39,Z039,36192,Z03.9 Observacao p/suspeita de doenc ou afeccao NE
40,G407,36175,G40.7 Pequeno mal NE s/crises de grande mal
41,R05,35078,R05   Tosse
42,J180,34573,J18.0 Broncopneumonia NE
43,J342,34288,J34.2 Desvio do septo nasal
44,N201,33880,N20.1 Calculose do ureter
45,R11,33613,R11   Nausea e vomitos
46,G822,32065,G82.2 Paraplegia NE
47,J039,31690,J03.9 Amigdalite aguda NE
48,R074,31639,R07.4 Dor toracica NE
49,C61,28314,C61   Neopl malig da prostata
50,K30,28178,K30   Dispepsia
51,C500,27765,C50.0 Mamilo e areola
52,I64,27739,I64   Acid vasc cerebr NE como hemorrag isquemico
53,Z019,27536,Z01.9 Exame especial NE
54,Z501,27454,Z50.1 Outr fisioterapia
55,H400,26232,H40.0 Suspeita de glaucoma
56,K297,26224,K29.7 Gastrite NE
57,K296,25320,K29.6 Outr gastrites
58,I509,24894,I50.9 Insuf cardiaca NE
59,M542,24740,M54.2 Cervicalgia
60,K210,23685,K21.0 Doenc de refluxo gastroesofagico c/esofagite
61,O821,23340,O82.1 Parto p/cesariana de emergencia
62,G479,23244,G47.9 Disturbio do sono NE
63,R072,22729,R07.2 Dor precordial
64,R103,22337,R10.3 Dor localizada em outr partes abdome infer
65,M751,22205,M75.1 Sindr do manguito rotador
66,J019,22166,J01.9 Sinusite aguda NE
67,R101,22166,R10.1 Dor localizada no abdome super
68,J00,21740,J00   Nasofaringite aguda
69,K590,21732,K59.0 Constipacao
70,N189,21407,N18.9 Insuf renal cronica NE
71,O800,21298,O80.0 Parto espontaneo cefalico
72,R060,21083,R06.0 Dispneia
73,A000,20222,A00.0 Colera dev Vibrio cholerae 01 biot cholerae
74,K359,20146,K35.9 Apendicite aguda SOE
75,Z200,19933,Z20.0 Contato exposicao a doenc infecc intest
76,K800,19872,K80.0 Calculose vesicula biliar c/colicistite agud
77,K409,19766,K40.9 Hernia inguinal unilat NE s/obstr gangrena
78,A300,19599,A30.0 Hanseniase indeterminada
79,M544,19403,M54.4 Lumbago c/ciatica
80,M796,19395,M79.6 Dor em membro
81,I500,19358,I50.0 Insuf cardiaca congestiva
82,N47,19157,N47   Hipertrofia do prepucio fimose e parafimose
83,L989,19087,L98.9 Afeccoes da pele e do tec subcutaneo NE
84,J159,18214,J15.9 Pneumonia bacter NE
85,D259,17981,D25.9 Leiomioma do utero NE
86,N40,16838,N40   Hiperplasia da prostata
87,K802,16757,K80.2 Calculose da vesicula biliar s/colecistite
88,K808,16652,K80.8 Outr colelitiases
89,N649,16584,N64.9 Transt da mama NE
90,H251,16259,H25.1 Catarata senil nuclear
91,R680,16068,R68.0 Hipotermia nao assoc baixa temperat ambient
92,R102,16037,R10.2 Dor pelvica e perineal
93,T07,15811,T07   Traum mult NE
94,H250,15581,H25.0 Catarata senil incipiente
95,H588,15206,H58.8 Outr transt espec do olho e anexos doenc COP
96,Z349,15137,Z34.9 Supervisao de gravidez normal NE
97,K810,15070,K81.0 Colecistite aguda
98,H269,14930,H26.9 Catarata NE
99,K219,14632,K21.9 Doenc de refluxo gastroesofagico s/esofagite
100,N840,14474,N84.0 Polipo do corpo do utero
101,N63,14438,N63   Nodulo mamario NE
102,K529,14387,K52.9 Gastroenterite e colite nao-infecc NE
103,Q900,13956,Q90.0 Trissomia 21 nao-disjuncao meiotica
104,H259,13880,H25.9 Catarata senil NE
105,J353,13758,J35.3 Hipertrofia amigdalas c/hipertrof adenoides
106,K429,13746,K42.9 Hernia umbilical s/obstrucao ou gangrena
107,M511,13602,M51.1 Transt disco lombar outr intervert radiculop
108,J459,13523,J45.9 Asma NE
109,F700,13476,F70.0 Mencao ausencia de ou compr minimo comport
110,N300,13303,N30.0 Cistite aguda
111,I209,13294,I20.9 Angina pectoris NE
112,P599,13285,P59.9 Ictericia neonatal NE
113,R42,13012,R42   Tontura e instabilidade
114,R55,12830,R55   Sincope e colapso
115,E669,12773,E66.9 Obesidade NE
116,N62,12728,N62   Hipertrofia da mama
117,G800,12565,G80.0 Paralisia cerebral espastica
118,M259,12514,M25.9 Transt articular NE
119,G809,12425,G80.9 Paralisia cerebral infantil NE
120,Z480,12205,Z48.0 Cuidados a curativos e suturas cirurgicas
121,H350,12110,H35.0 Retinopatias de fundo alteracoes vasc retina
122,Z001,12077,Z00.1 Exame de rotina de saude da crianca
123,E660,12061,E66.0 Obesidade dev excesso de calorias
124,Y340,11974,Y34.0 Residencia
125,C189,11901,C18.9 Colon NE
126,M791,11722,M79.1 Mialgia
127,O021,11475,O02.1 Aborto retido
128,J029,11317,J02.9 Faringite aguda NE
129,N209,11146,N20.9 Calculose urinaria NE
130,K801,11061,K80.1 Calculose vesic biliar c/outr form colecist
131,Z108,10993,Z10.8 Exame geral de rotina outr subpop definida
132,E86,10973,E86   Deplecao de volume
133,E668,10963,E66.8 Outr obesidade
134,Z302,10932,Z30.2 Esterilizacao
135,F710,10909,F71.0 Mencao ausencia de ou compr minimo comport
136,M750,10835,M75.0 Capsulite adesiva do ombro
137,Z139,10659,Z13.9 Exame especial rastr NE
138,O809,10641,O80.9 Parto unico espontaneo NE
139,T784,10583,T78.4 Alergia NE
