,Feature,Pearson,RFE,Random Forest,Total
1,TRANSTORNOS_DE_HUMOR_[AFETIVOS],True,True,True,3
2,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,True,True,True,3
3,NEOPLASIA_MALIGNA_DE_TRAQUÉIA_BRÔNQUIOS_E_PULMÕES,True,True,True,3
4,COLELITÍASE_E_COLECISTITE,True,True,True,3
5,BRONQUITE_ENFISEMA_E_OUTR_DOENÇ_PULM_OBSTR_CRÔNIC,True,True,True,3
6,TRANST_MENTAIS_E_COMPORTAMENTAIS_DEV_USO_DE_ÁLCOOL,True,False,True,2
7,TRANST_MENTAIS_COMPORT_DEV_USO_OUTR_SUBST_PSICOAT,True,False,True,2
8,RESTANTE_DE_OUTRAS_DOENÇAS_BACTERIANAS,False,True,True,2
9,OUTR_SIST_SINAIS_ACHAD_ANORM_EX_CLÍN_LABORAT_NCOP,False,True,True,2
10,OUTRAS_DOENÇAS_DO_FÍGADO,False,True,True,2
11,OUTRAS_DOENÇAS_DOS_INTESTINOS_E_PERITÔNIO,False,True,True,2
12,OUTRAS_ANEMIAS,False,True,True,2
13,NEOPL_MALIG_OUTR_LOCALIZ_MAL_DEF_SECUN_E_NÃO_ESPEC,True,False,True,2
14,FLEBITE_TROMBOFLEBITE_EMBOLIA_E_TROMBOSE_VENOSA,True,False,True,2
15,DOENÇAS_DO_APÊNDICE,True,False,True,2
16,ÚLCERA_GÁSTRICA_E_DUODENAL,False,False,True,1
17,VEIAS_VARICOSAS_DAS_EXTREMIDADES_INFERIORES,False,False,True,1
18,UROLITÍASE,False,False,True,1
19,TRANSTORNOS_DO_TECIDO_MOLE,False,False,True,1
20,TRANSTORNOS_DOS_NERVOS_RAÍZES_E_PLEXOS_NERVOSOS,False,False,True,1
21,TRANSTORNOS_DA_MAMA,False,False,True,1
22,TRANSTORNOS_DA_DENSIDADE_E_DA_ESTRUTURA_ÓSSEAS,False,False,True,1
23,SEQÜEL_TRAUM_ENVEN_E_OUTR_CONSEQ_CAUSAS_EXTERNAS,False,False,True,1
24,SEPTICEMIA,False,False,True,1
25,SALPINGITE_E_OOFORITE,False,False,True,1
26,RET_CRES_FET_DESN_FET_TRAN_REL_GEST_CURT_BAIX_PESO,False,False,True,1
27,QUEIMADURA_E_CORROSÕES,False,False,True,1
28,PROLAPSO_GENITAL_FEMININO,False,False,True,1
29,PREPRÚCIO_REDUNDANTE_FIMOSE_E_PARAFIMOSE,False,False,True,1
30,PNEUMONIA,False,False,True,1
31,PESSOAS_EM_CONTATO_COM_SERV_SAÚDE_EXAME_E_INVESTIG,False,False,True,1
32,PESSOAS_CONTATO_SERV_SAÚDE_CUIDADOS_PROC_ESPECÍF,False,False,True,1
33,PARTO_ÚNICO_ESPONTÂNEO,False,False,True,1
