,Feature,Avg_importance
0,RS,0.529888691325565
1,TRANSTORNOS_DE_CONDUÇÃO_E_ARRITMIAS_CARDÍACAS,0.2875099906028881
3,OUTRAS_NEOPLASIAS_MALIGNAS_DA_PELE,0.05170940827925876
10,CE,0.031015184013573706
4,SC,0.02384199260581975
5,OUTRAS_DOENÇAS_ISQUÊMICAS_DO_CORAÇÃO,0.01652273836764618
6,BRONQUITE_ENFISEMA_E_OUTR_DOENÇ_PULM_OBSTR_CRÔNIC,0.01536471080034291
2,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,0.01195413598633718
8,TRANST_MENTAIS_COMPORT_DEV_USO_OUTR_SUBST_PSICOAT,0.010550142929430581
9,TRANSTORNOS_DE_HUMOR_[AFETIVOS],0.00942825267860623
11,LUXAÇÕES_ENTORSE_DISTENSÃO_REG_ESP_E_MÚLTIP_CORPO,0.006798292805260647
7,UROLITÍASE,0.0033618775785972657
12,DENGUE_[DENGUE_CLÁSSSICO],0.0009673037735663346
13,NEOPLASIA_MALIGNA_DE_TRAQUÉIA_BRÔNQUIOS_E_PULMÕES,0.00039894030343363133
14,DOENÇAS_DO_APÊNDICE,0.00019455952680189157
19,DEFORMIDADES_ADQUIRIDAS_DAS_ARTICULAÇÕES,0.00010084022315561046
16,TRANST_MENTAIS_E_COMPORTAMENTAIS_DEV_USO_DE_ÁLCOOL,7.394320331650212e-05
20,NEOPLASIA_MALIGNA_DO_ESÔFAGO,6.359680740393437e-05
15,DOENÇAS_CRÔNICAS_DAS_AMÍGDALAS_E_DAS_ADENÓIDES,5.4991266849963854e-05
17,EMBOLIA_PULMONAR,5.211293945772749e-05
18,NEOPLASIA_MALIGNA_DO_CÓLON,5.0003453420611166e-05
35,ESQUIZOFRENIA_TRANST_ESQUIZOTÍPICOS_E_DELIRANTES,3.47788808187168e-05
66,NEOPL_MALIG_OUTR_LOCALIZ_MAL_DEF_SECUN_E_NÃO_ESPEC,1.2473087266552871e-05
62,OUTRAS_DORSOPATIAS,1.0748945110944973e-05
21,INFARTO_AGUDO_DO_MIOCÁRDIO,1.0089111263837075e-05
48,TRANSTORNOS_DOS_NERVOS_RAÍZES_E_PLEXOS_NERVOSOS,7.472589697025688e-06
26,ILEO_PARALÍTICO_E_OBSTRUÇÃO_INTESTINAL_SEM_HÉRNIA,6.28675039659691e-06
31,LEIOMIOMA_DO_ÚTERO,3.9690468567457585e-06
91,ACID_VASCULAR_CEREBR_NÃO_ESPEC_HEMORRÁG_OU_ISQUÊM,0.0
90,NEOPLASIA_MALIGNA_DO_COLO_DO_ÚTERO,0.0
89,OUTRAS_DOENÇAS_GLOMERULARES,0.0
88,OUTRAS_DOENÇAS_DO_ESÔFAGO_ESTÔMAGO_E_DUODENO,0.0
87,OUTRAS_DOENÇAS_CEREBROVASCULARES,0.0
86,PROLAPSO_GENITAL_FEMININO,0.0
85,DOR_ABDOMINAL_E_PÉLVICA,0.0
84,NEOPLASIA_MALIGNA_DA_MAMA,0.0
75,OUTRAS_DOENÇAS_DO_NARIZ_E_DOS_SEIOS_PARANASAIS,0.0
83,OUTRAS_INFECÇÕES_ESPECÍFICAS_DO_PERÍODO_PERINATAL,0.0
82,EPILEPSIA,0.0
81,HEMORRAGIA_INTRACRANIANA,0.0
80,NEOPLASIA_MALIGNA_DO_LÁBIO_CAVIDADE_ORAL_E_FARINGE,0.0
79,OUTRAS_DOENÇAS_INFECCIOSAS_INTESTINAIS,0.0
78,OUTRAS_DOENÇAS_INFECCIOSAS_E_PARASITÁRIAS,0.0
77,OUTRAS_DOENÇAS_DO_TRATO_RESPIRATÓRIO_SUPERIOR,0.0
76,OUTRAS_DOENÇAS_DO_SISTEMA_NERVOSO,0.0
74,OUTRAS_DOENÇAS_DO_FÍGADO,0.0
92,ANTICONCEPÇÃO,0.0
104,LESÕES_ESMAG_AMPUT_TRAUMÁT_REG_ESP_E_MÚLTIP_CORPO,0.0
93,DOENÇA_ALCOÓLICA_DO_FÍGADO,0.0
94,ÚLCERA_GÁSTRICA_E_DUODENAL,0.0
115,TRANSTORNOS_DA_DENSIDADE_E_DA_ESTRUTURA_ÓSSEAS,0.0
114,RET_CRES_FET_DESN_FET_TRAN_REL_GEST_CURT_BAIX_PESO,0.0
113,OUTR_SIST_SINAIS_ACHAD_ANORM_EX_CLÍN_LABORAT_NCOP,0.0
112,OUTROS_TRANST_ENDÓCRINOS_NUTRICIONAIS_METABÓLICOS,0.0
111,OUTRAS_NEOPLASIAS_MALIGNAS_DO_TRATO_URINÁRIO,0.0
110,COMPL_PRED_REL_PUERPÉRIO_E_OUTR_AFECÇ_OBSTÉTR_NCOP,0.0
109,CERT_COMPL_PREC_TRAUM_COMPL_CIRÚRG_ASS_MÉDIC_NCOP,0.0
108,CATARATA_E_OUTROS_TRANSTORNOS_DO_CRISTALINO,0.0
107,ASMA,0.0
106,ARTRITE_REUMATÓIDE_E_OUTR_POLIARTROPATIAS_INFLAMAT,0.0
105,RJ,0.0
72,OUTRAS_DOENÇAS_SIST_OSTEOMUSCULAR_E_TEC_CONJUNTIVO,0.0
103,HEMORRÓIDAS,0.0
102,EDEMA_PROTEIN_TRANST_HIPERTENS_GRAVID_PARTO_PUERP,0.0
101,FEBRE_HEMORRÁGICA_DEVIDA_AO_VÍRUS_DA_DENGUE,0.0
100,FRATURAS_ENVOLVENDO_MÚLTIPLAS_REGIÕES_DO_CORPO,0.0
99,OUTRAS_DOENÇAS_DO_CORAÇÃO,0.0
98,OBESIDADE,0.0
97,TRANSTORNOS_DO_TECIDO_MOLE,0.0
96,SEQÜEL_TRAUM_ENVEN_E_OUTR_CONSEQ_CAUSAS_EXTERNAS,0.0
95,OUTROS_TRANSTORNOS_DO_APARELHO_GENITURINÁRIO,0.0
73,OUTRAS_DOENÇAS_DO_APARELHO_URINÁRIO,0.0
58,QUEIMADURA_E_CORROSÕES,0.0
71,OUTRAS_DOENÇAS_DO_APARELHO_RESPIRATÓRIO,0.0
70,OUTRAS_DOENÇAS_DOS_INTESTINOS_E_PERITÔNIO,0.0
43,DOENÇAS_RENAIS_TÚBULO-INTERSTICIAIS,0.0
42,DIABETES_MELLITUS,0.0
41,DESNUTRIÇÃO,0.0
40,ACID_VASCULAR_CEREBR_ISQUÊM_TRANSIT_E_SÍNDR_CORREL,0.0
39,COLELITÍASE_E_COLECISTITE,0.0
38,CARCINOMA_IN_SITU_DE_COLO_DO_ÚTERO,0.0
