,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
0,5,2,2,1,3,2,1,3,2,3,1,25,110001
1,0,3,2,0,3,1,1,0,2,1,2,15,110037
2,1,1,1,1,1,0,0,0,0,1,2,8,110040
3,0,0,1,1,0,2,0,1,1,0,2,8,110034
4,8,2,4,4,9,2,5,5,6,10,2,57,110002
5,1,2,1,2,0,0,5,1,4,1,1,18,110045
6,0,1,0,0,0,1,0,2,1,0,1,6,110003
7,0,0,0,0,0,0,1,0,1,1,0,3,110060
8,4,6,2,1,4,1,5,6,9,5,8,51,110004
9,0,0,0,0,0,0,0,1,0,2,0,3,110070
10,1,1,2,1,2,3,3,5,4,2,1,25,110080
11,0,1,0,0,0,0,0,0,1,0,1,3,110090
12,0,0,2,0,2,0,0,2,2,1,1,10,110005
13,0,0,0,0,0,0,0,0,0,1,1,2,110092
14,0,0,1,0,0,0,1,2,0,2,1,7,110006
15,0,0,2,0,1,0,0,0,0,0,0,3,110007
16,0,2,4,3,3,2,0,1,0,0,4,19,110008
17,1,0,0,0,0,0,0,0,0,1,0,2,110094
18,0,2,2,3,0,4,2,0,1,3,2,19,110009
19,0,0,0,0,0,1,0,0,1,0,2,4,110100
20,1,3,1,4,4,2,1,10,1,4,6,37,110010
21,0,0,2,0,0,0,0,1,1,0,0,4,110110
22,1,0,1,4,1,1,2,2,1,5,0,18,110011
23,12,10,0,2,0,2,0,1,7,5,5,44,110012
24,1,6,2,3,2,0,1,0,1,1,5,22,110013
25,0,0,0,0,0,2,0,2,0,0,0,4,110120
26,2,1,0,0,0,1,0,0,0,1,2,7,110130
27,0,1,1,1,0,0,0,0,0,1,0,4,110140
28,3,0,3,0,2,4,3,0,3,1,0,19,110014
29,1,0,0,0,2,0,1,3,0,2,0,9,110033
30,0,0,1,0,0,0,0,0,1,0,2,4,110143
31,0,0,0,0,0,0,1,0,0,2,2,5,110050
32,6,4,2,2,1,4,1,0,2,3,3,28,110015
33,0,0,0,0,0,0,0,0,0,0,1,1,110145
34,0,3,3,1,0,3,3,1,4,5,4,27,110018
