,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,110037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110010,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,110120,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,120001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,120030,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,120040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,120050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,120045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,120070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,130250,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,130260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,130370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,140010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,140040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,140050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,150040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,150060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,150080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,150120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,150140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,150145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,150295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,150820,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,160020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,160030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,160050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,170070,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
40,170200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,170255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,170380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,170740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,170765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,170950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,171050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,171150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,172100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,171610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,171790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,172097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,210160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,210180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,210330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,210420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,210480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,210530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,210560,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,210760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,210860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,210980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,211023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,211050,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,211060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,211100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,211130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,211170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,220270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,220330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,220390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,220570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,220620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,220670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,221100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,230130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,230180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,230250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,230370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,230380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,230423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,230440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,230600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,230650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,230730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,230760,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,230765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,230835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,230860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,231080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,231100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,231140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,231220,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
94,231270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,231290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,231300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,231410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,240800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,240810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,241440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,250750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,251650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,260005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,260010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,260080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,260220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,260410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,260790,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,260820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,260960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,261000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,261160,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
113,261450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,261560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,261630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,270430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,270540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,270570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,270580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
120,270610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,270640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,270800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,270880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,280030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,280290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,280350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,280390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,290350,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,290590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,290670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,290810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,290840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,291020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,291072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,291080,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,291350,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,291465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,291610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,291750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,291955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,292100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,292180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
