,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,110002,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2,110045,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,110004,0,0,0,3,1,2,0,0,1,0,0,0,0,0
4,110005,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,110009,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,110011,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,110012,0,0,0,0,0,0,0,4,7,10,6,12,2,0
8,110014,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,110033,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,110015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,110020,0,0,1,1,3,0,0,0,2,5,2,10,6,3
12,110025,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,110028,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,110150,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,110030,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,120001,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,120005,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,120013,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,120020,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,120030,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,120033,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,120080,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,120040,0,1,1,0,2,0,0,0,1,1,5,3,5,2
24,120045,0,0,0,1,0,1,0,0,0,0,0,0,0,0
25,120060,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,130068,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,130180,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,130190,0,2,0,0,0,0,0,0,0,0,0,0,0,0
29,130250,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,130260,0,7,3,3,18,10,7,13,24,11,3,4,5,3
31,130320,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,130356,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,130406,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,130420,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,140002,0,0,0,1,1,0,0,0,1,1,0,1,0,0
36,140010,0,3,0,5,3,1,2,2,2,2,1,4,3,1
37,140015,0,0,1,2,0,0,0,0,0,0,0,0,0,0
38,140017,0,0,0,1,0,0,0,0,2,1,0,0,0,0
39,140020,0,0,1,0,0,0,1,2,0,0,0,0,0,0
40,140023,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,140040,0,0,0,0,0,0,0,1,0,0,0,0,0,1
42,140045,0,0,1,1,1,0,0,0,1,0,0,0,0,0
43,140047,0,0,0,0,1,0,0,0,0,1,0,0,1,0
44,140050,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,140070,0,0,1,0,0,0,0,0,1,0,0,0,1,0
46,150010,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,150050,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,150060,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,150070,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,150080,0,1,0,0,0,0,0,0,0,0,0,0,0,1
51,150085,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,150140,1,0,0,0,1,0,0,0,0,1,0,2,0,0
53,150150,1,0,1,0,0,0,0,0,0,0,1,0,0,0
54,150172,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,150180,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,150285,0,0,0,0,0,0,0,0,1,1,0,1,0,0
57,150330,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,150360,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,150410,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,150420,0,1,0,1,1,0,0,0,0,0,0,1,1,0
61,150480,0,0,0,0,0,0,0,0,0,0,2,1,0,0
62,150497,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,150550,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,150553,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,150563,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,150613,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,150619,0,0,0,0,0,0,0,0,0,0,0,2,0,0
68,150655,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,150680,0,0,1,0,0,0,2,2,1,0,0,2,1,0
70,150750,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,160027,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,160030,0,2,0,0,0,1,0,0,0,0,1,0,2,0
73,160060,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,170100,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,170130,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,170200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,170210,0,1,0,0,2,3,2,3,3,1,1,1,0,3
78,170230,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,170305,0,0,0,0,0,1,0,1,0,0,0,0,0,0
80,170307,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,170310,0,0,0,0,1,0,1,0,0,1,0,0,0,0
82,170360,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,170550,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,170770,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,170825,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,170950,0,0,1,0,0,0,1,0,0,1,0,1,1,0
