,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110004,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,110015,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,110020,0,0,0,0,0,1,0,0,1,2,1,0,0,0
3,110149,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,120020,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,120032,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,120033,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,120040,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,120050,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,130040,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,130063,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,130090,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,130260,0,0,1,0,0,0,0,3,0,0,1,1,4,0
13,130356,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,140010,0,0,1,0,0,1,0,1,0,0,1,1,0,1
15,140028,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,140030,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,140047,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,150060,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19,150080,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,150130,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,150150,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,150170,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23,150172,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,150180,0,0,0,0,0,2,0,0,0,0,0,0,0,0
25,150210,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,150215,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,150240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,150277,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,150320,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,150420,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,150450,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,150470,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,150497,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,150548,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,150550,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,150553,0,0,0,0,0,0,0,1,2,1,0,0,0,0
37,150680,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,150715,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,150720,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,150740,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,150760,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,150795,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,150810,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,150812,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,150840,0,0,0,0,0,2,0,0,0,0,0,0,0,0
46,160030,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,170070,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,170210,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,170950,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,172100,0,0,0,1,1,0,0,0,0,0,0,0,0,0
51,171790,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,210095,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,210140,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,210467,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,210480,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,210515,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,210540,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,210542,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,210840,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,210960,0,0,0,0,0,0,0,0,1,1,0,0,0,0
61,211120,0,0,0,0,0,0,0,0,0,0,0,1,1,0
62,211130,0,0,0,0,0,0,0,1,1,1,0,1,0,0
63,211250,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,220194,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,220465,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,220680,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,220770,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,230020,0,0,0,0,0,0,0,0,0,2,0,0,0,0
69,230190,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,230260,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,230290,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,230370,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,230393,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,230400,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,230420,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,230440,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,230490,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78,230765,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,230780,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,230870,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,230930,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,231140,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,231200,0,0,0,0,0,0,1,0,0,0,0,0,0,0
