,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,2,62,50,107,124,113,111,113,75,90,102,104,102,12
1,110037,0,10,3,34,4,7,4,2,4,2,2,2,4,0
2,110040,0,3,6,11,12,26,13,10,11,8,15,7,21,7
3,110034,0,17,15,15,16,10,15,5,11,8,19,12,19,1
4,110002,1,47,111,66,48,42,74,87,72,67,104,65,89,24
5,110045,0,3,4,3,0,4,39,35,22,17,28,27,34,3
6,110003,1,1,11,7,5,7,3,3,1,8,0,8,9,5
7,110060,0,3,11,1,0,5,1,3,2,0,1,4,14,0
8,110004,2,48,47,58,61,56,67,81,71,72,58,65,49,18
9,110070,0,9,35,10,12,8,26,13,6,6,13,4,12,0
10,110080,0,6,2,3,3,9,14,9,5,13,9,8,18,5
11,110090,0,0,4,10,2,9,7,7,3,2,4,2,0,2
12,110005,1,24,90,37,31,15,17,15,35,20,25,27,17,3
13,110092,0,3,1,6,3,5,5,3,5,1,2,4,1,1
14,110006,1,27,36,46,34,19,34,15,22,10,28,27,7,6
15,110007,0,5,7,11,4,1,1,3,3,3,6,3,2,0
16,110008,0,1,1,1,0,1,5,44,6,17,22,22,15,0
17,110094,0,7,5,1,3,3,4,1,4,0,8,12,9,1
18,110009,0,26,33,22,25,17,29,42,40,32,31,48,97,22
19,110100,1,4,15,22,14,12,5,9,6,9,1,0,2,2
20,110010,1,27,23,61,95,80,62,37,67,77,102,65,51,14
21,110110,0,0,1,2,0,0,1,3,2,1,0,1,1,1
22,110011,1,44,52,51,35,25,16,37,23,20,28,44,55,24
23,110012,3,136,144,158,61,13,7,21,28,98,103,100,94,29
24,110013,0,11,25,45,31,26,34,34,18,5,11,33,9,10
25,110120,0,4,3,22,25,32,36,25,8,15,11,10,6,3
26,110130,0,21,8,10,18,24,16,28,12,11,13,18,18,3
27,110140,0,48,24,10,19,7,5,12,3,1,3,5,10,2
28,110014,1,24,17,38,21,21,5,19,3,20,20,10,14,4
29,110033,0,8,11,14,16,13,15,15,18,25,29,16,15,10
30,110143,0,2,2,8,19,7,3,3,2,3,5,2,3,0
31,110050,0,1,39,39,34,10,15,31,27,19,30,17,19,6
32,110015,7,74,127,74,46,87,137,88,73,50,50,46,48,0
33,110145,0,2,1,6,2,8,12,2,7,9,5,4,5,2
34,110018,2,66,41,47,53,53,69,45,68,49,85,139,114,31
35,110146,0,1,5,7,2,12,4,2,0,2,0,0,0,1
36,110020,6,58,76,108,113,162,156,209,136,157,153,115,169,48
37,110025,1,67,110,102,40,32,32,24,25,23,16,12,8,3
38,110147,0,4,7,1,3,4,10,3,9,5,4,10,15,1
39,110026,0,2,0,1,0,1,2,2,8,1,1,0,3,0
40,110028,5,80,117,97,92,123,68,72,85,88,96,47,64,17
41,110029,1,29,49,14,24,27,34,32,30,24,12,26,53,9
42,110148,0,2,1,6,1,3,2,1,3,2,8,4,1,1
43,110149,0,33,3,15,19,8,7,23,20,9,10,4,8,3
44,110032,0,24,31,20,34,34,49,37,31,22,30,13,18,5
45,110150,0,4,0,2,1,1,4,3,1,3,5,3,0,2
46,110155,0,8,4,17,2,13,4,2,1,4,3,1,1,1
47,110160,0,4,3,5,3,4,5,5,3,4,6,7,7,4
48,110170,1,3,13,38,27,11,5,3,8,18,19,19,21,2
49,110175,0,1,3,3,5,3,0,3,1,3,5,3,2,0
50,110180,0,0,9,16,9,15,7,1,10,9,8,2,3,1
51,110030,4,93,81,78,58,54,48,77,60,57,67,72,63,19
52,120001,1,0,1,7,0,1,9,4,3,5,3,3,8,0
53,120005,0,2,5,11,9,7,8,3,1,1,2,2,4,1
54,120010,1,31,22,21,54,31,34,25,18,39,20,27,38,7
55,120013,0,3,1,1,0,3,3,0,2,1,0,1,1,1
56,120017,0,9,2,1,2,1,2,1,4,5,0,5,3,2
57,120020,3,51,51,33,27,11,6,1,5,8,10,29,48,6
58,120025,0,8,15,14,20,5,16,9,11,17,13,19,31,8
59,120030,0,8,9,5,16,10,7,3,3,0,6,4,11,0
60,120032,0,0,0,1,0,0,0,1,0,0,0,1,3,0
61,120033,0,1,4,2,10,2,3,7,21,24,14,4,5,0
62,120034,0,1,3,2,23,7,20,17,20,25,20,15,20,1
63,120035,0,2,3,3,0,0,0,0,0,1,0,0,3,1
64,120038,0,20,14,18,16,8,26,13,8,20,11,4,17,5
