,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110002,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,110080,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,110012,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,110013,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,110018,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,110028,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,120040,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,130260,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,140010,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9,140047,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,150080,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,150330,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,150618,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,150680,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,160030,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,170210,0,0,0,0,0,0,0,0,0,0,0,0,5,1
16,171670,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,171500,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,172100,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19,172210,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,210110,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,210260,0,0,0,0,0,0,0,0,0,0,0,0,4,1
22,210460,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,210490,0,0,0,0,0,0,0,0,3,0,0,4,0,0
24,210900,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,210910,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,211030,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,211130,0,0,0,0,0,0,0,0,0,0,0,1,2,0
28,211245,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,220465,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,221100,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,221140,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,230440,0,0,0,0,0,0,0,0,0,1,0,0,3,0
33,230625,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,230770,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,230840,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,231090,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,231140,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,240800,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,240325,0,0,0,0,0,0,0,0,1,1,0,0,0,0
40,250110,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,250180,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,250280,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,250320,0,0,0,0,0,0,0,0,0,0,0,1,4,0
44,250400,0,0,0,0,0,0,0,0,0,0,0,4,0,0
45,250510,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,250730,0,0,0,0,0,0,0,0,0,0,1,1,0,0
47,250750,0,0,0,0,0,0,0,0,0,1,0,3,3,0
48,250860,0,0,0,0,0,0,0,0,0,0,1,0,1,0
49,250910,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,250930,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,251030,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,251080,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,251220,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,251500,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,260760,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,260730,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,260765,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,261070,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,261100,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,261160,0,0,0,0,0,0,0,0,0,0,0,1,0,1
61,261230,0,0,0,0,0,0,0,0,0,0,0,1,0,0
