,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,0,0,0,3,1,0,0
1,110037,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,110040,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,110034,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,110002,0,0,0,0,1,0,2,0,2,0,1,0,6,0
5,110045,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,110004,0,0,0,0,0,2,1,0,0,0,0,0,0,0
7,110080,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,110005,0,0,0,0,0,0,1,1,0,0,0,0,1,0
9,110094,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,110009,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,110100,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12,110010,0,0,0,0,0,0,0,1,0,0,0,0,0,1
13,110110,0,0,0,0,0,0,0,0,0,1,0,0,2,0
14,110011,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,110012,0,0,1,0,0,1,2,1,0,0,0,1,1,1
16,110140,0,0,0,0,0,0,0,1,0,0,0,1,0,0
17,110014,0,0,0,0,0,0,0,0,0,0,0,1,1,0
18,110050,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,110015,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,110018,0,0,0,0,0,0,4,1,0,0,0,0,0,0
21,110146,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,110020,0,0,0,2,0,1,34,13,2,0,0,9,32,1
23,110025,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,110147,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,110028,0,0,0,0,0,0,1,0,0,0,0,1,0,0
26,110149,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,110160,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,110030,0,0,0,0,0,0,0,0,0,0,0,0,3,1
29,120001,0,0,0,0,0,1,1,0,0,0,0,0,0,0
30,120020,0,0,1,0,1,0,0,0,0,0,0,0,0,1
31,120025,0,2,0,0,0,1,0,0,0,0,0,0,0,0
32,120040,0,4,4,1,35,10,1,3,0,4,4,4,2,0
33,120060,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,120070,0,0,0,0,0,0,0,0,0,0,0,0,2,0
35,130010,0,0,0,0,0,0,0,0,0,1,0,0,2,0
36,130014,0,0,0,0,0,0,0,0,0,0,0,0,2,0
37,130030,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,130040,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,130050,0,0,0,0,0,0,0,0,0,0,0,1,2,0
40,130060,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,130063,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,130068,0,0,0,0,0,0,0,0,0,1,0,1,0,0
43,130080,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,130110,0,0,0,0,0,0,0,0,1,0,0,1,2,1
45,130115,0,0,0,0,0,0,0,1,0,0,0,0,1,0
46,130120,0,0,0,0,0,0,0,0,0,2,1,0,0,0
47,130140,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,130160,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,130170,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,130185,0,0,0,1,0,0,0,1,3,3,4,1,2,1
51,130190,0,0,0,0,0,0,0,0,2,6,2,0,2,1
52,130200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,130210,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,130220,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,130250,0,0,0,0,0,0,0,2,1,3,3,7,3,0
56,130255,0,0,0,0,0,0,0,0,0,0,0,2,2,0
57,130260,0,5,10,36,3,16,165,143,344,373,364,332,278,73
58,130270,0,0,0,0,0,0,0,0,0,0,0,0,2,0
59,130280,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,130290,0,0,0,0,0,0,1,0,1,1,0,0,2,0
61,130310,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,130320,0,0,0,0,0,0,0,0,0,2,1,1,1,0
63,130340,0,0,0,0,0,0,0,0,1,1,1,1,4,2
64,130353,0,0,0,0,0,0,0,0,0,5,0,4,4,1
65,130356,0,0,0,0,0,0,0,0,0,0,1,0,3,1
66,130360,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,130370,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,130380,0,0,0,0,0,0,0,0,0,0,2,0,0,0
69,130400,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,130406,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,130410,0,0,0,0,0,0,0,1,0,0,0,0,1,1
72,130420,0,0,0,0,0,0,0,0,0,0,1,0,3,0
73,130430,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,130440,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,140010,0,0,2,2,5,7,8,9,1,11,14,7,5,1
76,140020,0,0,0,0,0,1,0,0,0,0,2,0,0,0
