,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,7,9,6,10,25,9,8,12,11,12,12,24,4
1,110037,1,2,4,5,11,9,6,4,7,1,0,0,2,0
2,110040,0,0,0,2,0,0,2,1,0,1,4,0,0,0
3,110034,1,6,9,9,4,15,2,0,4,0,3,4,4,0
4,110002,0,1,6,7,4,5,2,10,3,17,18,4,8,2
5,110045,0,0,1,0,0,3,2,15,10,7,4,10,10,2
6,110003,0,0,1,0,2,0,0,2,1,1,1,1,2,0
7,110060,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8,110004,0,42,18,7,13,21,33,65,29,24,12,18,16,2
9,110070,0,0,1,1,0,1,0,2,1,3,1,0,0,1
10,110080,0,2,1,1,1,1,3,0,1,1,0,1,2,0
11,110090,0,2,1,2,0,2,3,3,3,0,0,0,1,0
12,110005,0,4,3,5,5,7,14,11,6,1,2,4,4,1
13,110092,0,1,2,1,0,0,1,3,0,1,0,1,1,0
14,110006,0,17,3,16,13,12,10,12,8,2,3,0,1,0
15,110007,0,0,0,1,1,0,0,3,1,0,0,0,0,1
16,110008,0,0,0,0,0,0,0,2,1,3,1,4,0,0
17,110094,0,0,0,0,0,0,0,0,0,1,2,1,1,0
18,110009,0,6,2,6,2,0,0,3,4,3,8,12,7,5
19,110100,0,0,1,0,2,1,4,0,0,2,0,0,0,0
20,110010,0,9,12,12,16,7,9,6,9,8,15,3,11,1
21,110110,0,0,0,0,0,0,0,0,0,1,1,3,0,0
22,110011,0,7,3,13,8,6,5,12,14,9,7,6,6,7
23,110012,3,30,16,21,35,17,41,35,25,25,29,15,9,1
24,110013,0,1,6,6,5,4,3,4,3,1,5,9,2,3
25,110120,0,0,1,1,0,0,0,0,3,0,0,0,1,0
26,110130,0,0,2,2,3,0,1,7,0,3,3,7,1,0
27,110140,0,0,9,8,2,2,3,2,2,1,3,1,6,1
28,110014,2,6,2,2,15,11,8,13,3,6,5,5,5,0
29,110033,0,2,1,3,2,1,5,6,8,0,7,1,1,0
30,110143,0,1,2,3,10,2,0,0,1,1,0,0,0,0
31,110050,1,3,14,12,10,9,8,13,3,3,4,2,9,2
32,110015,0,5,6,5,5,6,8,7,7,1,2,3,17,1
33,110145,0,3,4,1,0,6,0,0,2,1,0,0,0,0
34,110018,1,8,12,18,13,1,7,4,10,4,2,5,6,0
35,110146,0,1,0,0,2,3,3,2,0,0,0,0,0,0
36,110020,0,8,17,11,18,20,43,47,32,27,21,39,26,3
37,110025,0,5,2,0,1,0,1,2,3,2,4,6,0,0
38,110147,1,1,0,3,1,0,0,0,0,0,0,0,1,0
39,110026,0,1,0,0,0,0,0,0,1,1,0,0,0,0
40,110028,10,107,69,61,28,128,68,75,73,20,37,40,86,25
41,110029,0,3,3,1,1,4,14,17,19,6,11,5,5,3
42,110148,0,2,0,0,2,0,0,0,1,0,0,0,2,0
43,110149,0,4,0,1,0,0,1,0,1,6,2,3,2,1
44,110032,0,7,3,8,9,6,5,3,9,6,3,10,20,9
45,110150,0,22,10,1,2,6,0,9,8,3,2,4,0,0
46,110155,0,0,1,0,0,1,0,0,0,0,0,0,1,0
47,110160,0,1,0,0,1,0,0,2,0,0,1,2,2,1
48,110170,0,2,4,1,1,1,2,1,0,0,0,0,1,0
49,110175,0,0,0,0,1,0,4,3,0,3,1,1,1,0
50,110180,0,0,1,0,2,0,0,0,0,4,0,0,1,0
51,110030,2,4,16,9,5,6,11,6,10,9,9,9,8,1
52,120001,0,1,1,2,2,1,1,0,0,1,0,0,1,0
53,120005,0,0,2,0,1,1,5,3,0,0,0,1,2,1
54,120010,0,3,6,9,11,14,5,7,2,1,3,4,6,1
