,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,6,6,3,12,6,8,4,7,12,22,17,22,8
1,110037,0,4,2,0,1,3,3,4,6,5,4,3,13,4
2,110040,0,6,6,6,6,14,13,2,6,7,5,6,6,0
3,110034,0,8,8,17,2,6,2,9,14,7,8,12,7,3
4,110002,1,64,74,73,84,88,89,74,81,101,92,105,126,43
5,110045,0,7,9,7,11,14,17,14,5,7,7,8,9,6
6,110003,1,2,5,6,10,7,5,6,2,4,5,6,5,4
7,110060,0,3,1,4,5,0,2,5,1,2,4,1,2,0
8,110004,1,40,47,48,53,54,49,63,38,56,47,65,97,25
9,110070,0,0,4,4,0,8,6,3,2,2,5,5,1,5
10,110080,0,5,2,11,9,9,7,13,12,13,7,3,14,4
11,110090,0,2,0,2,0,1,0,0,2,2,0,3,2,2
12,110005,0,8,13,10,16,11,11,10,14,21,13,12,14,0
13,110092,3,3,7,5,9,9,1,8,6,8,8,6,5,6
14,110006,1,8,18,19,13,10,1,5,4,11,19,12,10,3
15,110007,0,8,10,8,7,5,2,6,11,7,5,15,4,2
16,110008,0,2,4,6,12,3,2,3,5,10,8,18,13,6
17,110094,0,2,5,13,8,18,6,8,16,5,10,7,9,1
18,110009,0,14,12,10,12,8,11,8,11,11,13,23,24,11
19,110100,0,5,4,2,2,2,1,2,3,4,5,6,4,2
20,110010,2,17,29,22,40,49,40,44,43,62,69,57,43,33
21,110110,0,0,0,1,2,2,3,2,6,9,1,3,3,1
22,110011,1,15,22,15,24,23,21,13,22,25,31,34,26,12
23,110012,3,90,81,45,64,84,109,134,99,144,147,155,145,45
24,110013,1,9,16,11,17,21,18,13,9,10,15,12,11,9
25,110120,0,7,3,3,5,3,2,3,2,3,1,4,3,5
26,110130,0,5,4,3,5,2,4,4,4,3,8,8,7,1
27,110140,0,5,6,8,8,8,10,1,9,4,12,4,6,3
28,110014,0,5,2,2,4,6,1,2,5,8,6,7,19,9
29,110033,1,3,4,16,12,16,14,7,12,15,13,19,20,1
30,110143,0,2,2,7,3,5,2,1,5,2,3,3,7,1
31,110050,0,0,3,0,0,2,0,0,2,2,1,3,8,2
32,110015,0,12,17,24,12,16,6,20,22,14,17,19,20,5
33,110145,0,0,0,0,1,1,1,0,3,2,4,1,7,0
34,110018,0,10,18,10,19,19,20,16,18,16,19,23,19,15
35,110146,0,3,2,2,2,1,1,7,0,3,4,3,3,1
36,110020,6,81,133,132,124,162,198,199,262,299,121,202,263,71
37,110025,0,5,2,5,4,5,4,5,12,14,9,14,14,8
38,110147,0,0,1,1,0,2,1,1,0,1,3,0,1,0
39,110026,0,1,2,0,5,0,2,0,2,1,1,2,0,1
40,110028,1,12,11,7,10,12,12,17,17,37,12,23,36,17
41,110029,0,2,2,1,0,2,1,4,2,1,2,3,5,1
42,110148,0,0,2,0,5,6,1,3,4,3,3,3,3,2
43,110149,0,2,1,2,2,3,6,7,4,18,15,12,9,3
44,110032,0,8,10,1,9,7,5,7,7,6,17,18,23,3
45,110150,0,2,4,4,1,3,1,4,10,6,2,8,10,4
46,110155,0,1,2,2,5,2,1,2,1,5,3,1,5,0
47,110160,0,3,4,2,1,6,6,2,4,3,1,6,1,1
48,110170,1,5,11,5,5,5,1,5,6,7,2,6,9,3
49,110175,0,1,2,2,1,3,7,3,1,3,2,9,1,0
50,110180,0,4,3,6,5,4,5,1,8,6,5,2,4,3
51,110030,4,85,106,79,72,47,57,73,78,58,87,124,100,51
52,120001,0,1,6,7,6,8,8,5,6,1,5,4,9,2
53,120005,0,2,2,4,2,4,7,1,7,1,2,3,7,0
54,120010,1,7,13,11,18,10,18,17,19,10,7,17,19,5
55,120013,0,4,3,1,7,9,4,5,6,2,3,5,2,1
56,120017,1,1,1,2,8,4,5,8,8,3,5,2,3,3
57,120020,1,47,83,123,99,83,132,135,147,119,121,134,124,52
58,120025,2,6,5,10,9,16,7,11,10,1,3,18,8,3
59,120030,0,12,12,21,10,15,27,13,17,12,16,8,16,10
60,120032,0,0,0,0,2,3,2,3,2,0,2,3,2,0
61,120033,0,6,8,13,17,8,18,11,22,14,15,21,19,6
62,120034,0,3,4,5,2,1,0,2,3,2,4,2,2,1
63,120035,0,0,4,8,10,14,11,12,3,10,14,19,4,5
64,120038,1,3,4,10,10,10,6,8,11,3,11,13,5,6
65,120080,0,7,8,8,6,8,5,13,12,6,7,17,10,3
66,120039,0,1,1,2,0,3,4,3,5,10,7,9,6,3
67,120040,24,293,232,282,306,293,305,332,341,215,230,274,311,98
68,120042,0,2,5,11,11,14,16,13,7,12,8,15,8,2
69,120043,0,0,0,2,4,0,5,5,4,2,1,3,3,1
70,120050,0,17,13,19,15,12,16,13,13,7,12,16,25,5
71,120045,1,5,8,15,12,11,9,18,9,6,10,8,17,3
72,120060,0,12,13,23,21,18,28,29,15,27,28,19,24,14
73,120070,0,11,5,9,7,8,2,4,5,0,5,6,9,4
74,130002,0,0,0,0,0,15,14,11,10,6,9,17,11,6
75,130006,0,0,0,2,2,2,10,2,0,3,5,4,6,0
76,130008,0,3,1,2,1,1,2,5,3,5,9,5,8,2
77,130010,1,1,1,1,1,0,2,1,2,3,4,13,9,8
78,130014,0,24,13,5,7,6,15,7,6,8,4,7,10,7
79,130020,2,4,3,1,1,0,1,0,0,2,1,0,3,1
80,130030,2,15,7,19,20,21,8,31,48,74,47,62,18,15
81,130040,0,4,1,2,3,0,0,1,3,27,50,47,28,6
82,130050,1,24,16,10,8,21,19,46,47,46,50,60,29,1
83,130060,0,2,1,3,1,2,9,12,12,6,3,3,15,4
84,130063,0,3,0,0,3,6,7,7,4,14,15,8,11,4
85,130068,1,9,5,6,8,6,17,11,11,6,3,27,16,12
