,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,1,0,2,1,0,1,0,1,1,1,0,1,0
1,110037,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,110040,0,0,0,2,0,0,0,0,1,0,2,0,1,0
3,110034,0,1,0,1,0,1,1,0,0,2,0,0,0,0
4,110002,0,0,1,0,0,0,3,5,1,0,6,1,1,1
5,110045,0,0,0,0,0,0,1,0,0,1,1,0,0,0
6,110003,0,0,0,0,0,1,0,0,1,1,0,2,1,0
7,110060,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,110004,0,2,0,2,4,4,4,3,5,7,3,2,7,6
9,110070,0,0,0,0,0,1,2,0,0,0,0,0,0,0
10,110080,0,0,0,0,1,0,0,0,1,0,0,0,1,0
11,110090,0,0,0,0,1,0,1,0,0,0,1,1,0,0
12,110005,0,2,0,2,0,1,3,1,1,3,0,0,0,1
13,110092,0,0,2,0,1,1,2,1,2,0,0,0,0,1
14,110006,0,1,0,1,4,3,5,0,1,2,1,2,1,0
15,110007,0,0,0,0,0,0,0,2,2,0,0,0,0,2
16,110008,0,0,0,0,0,0,0,2,0,0,1,0,1,0
17,110094,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,110009,0,0,1,4,2,3,0,8,8,10,6,3,6,6
19,110010,1,0,2,2,0,0,1,0,0,0,1,1,2,0
20,110110,0,0,0,1,0,1,0,0,1,0,0,0,0,0
21,110011,0,3,1,3,0,4,2,4,9,8,8,16,8,0
22,110012,0,1,0,1,0,0,1,0,2,1,0,0,3,0
23,110013,1,0,0,0,0,2,0,0,0,1,0,0,0,0
24,110120,0,0,0,0,0,0,0,1,0,1,1,0,0,3
25,110130,0,0,0,0,0,0,0,1,1,0,0,0,0,1
26,110140,0,0,0,2,0,1,0,3,0,0,0,0,3,0
27,110014,0,2,0,0,2,1,1,3,0,0,0,1,2,0
28,110033,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,110143,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,110050,0,0,0,2,3,0,0,0,2,1,1,0,0,0
31,110015,0,0,0,0,2,1,2,1,0,4,4,5,0,0
32,110145,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,110018,0,0,0,0,1,0,0,0,0,1,1,0,0,0
34,110146,0,0,0,0,0,0,2,0,0,0,0,0,0,1
35,110020,0,1,1,8,13,11,24,13,11,9,3,3,6,1
36,110025,0,0,2,1,0,2,2,0,1,4,1,2,2,0
37,110028,0,3,1,0,1,0,1,1,5,4,3,4,0,0
38,110029,0,0,0,0,0,0,0,0,0,0,1,2,0,1
39,110148,0,0,0,0,0,1,1,0,0,0,0,0,0,0
40,110149,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41,110032,0,0,0,0,1,0,0,0,1,2,1,0,3,0
42,110150,0,0,0,0,0,0,0,0,1,1,0,1,1,0
43,110155,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,110160,0,0,0,1,0,0,0,2,0,0,0,0,0,0
45,110180,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46,110030,0,3,13,16,11,11,6,17,6,8,22,16,21,9
47,120001,0,0,0,0,1,1,1,1,0,0,0,1,0,0
48,120005,0,0,0,1,1,0,1,0,0,1,1,0,0,0
49,120010,0,4,1,0,0,0,1,6,3,3,9,7,5,4
50,120013,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,120017,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,120020,0,15,7,23,28,26,49,45,13,13,10,6,9,2
53,120025,0,1,0,0,2,1,4,3,3,4,5,2,4,0
54,120030,1,1,0,0,2,4,3,1,3,0,5,0,1,0
55,120032,0,0,0,0,0,2,0,0,0,0,0,0,0,0
56,120033,0,0,1,3,3,5,2,1,0,1,2,2,0,0
57,120034,0,0,0,2,0,0,0,0,0,0,0,0,2,0
58,120035,0,0,0,0,1,6,1,2,1,0,0,0,0,0
59,120038,0,0,2,2,7,4,5,6,2,3,5,2,0,0
60,120080,0,0,0,0,1,0,1,2,1,0,0,0,0,0
61,120039,0,1,0,0,1,2,2,1,0,1,0,0,0,0
