,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,110040,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2,110034,0,0,0,0,1,0,0,0,2,0,1,1,1,1
3,110002,0,3,2,0,0,1,0,0,1,0,1,3,0,0
4,110045,0,0,0,0,1,0,2,3,2,0,0,0,1,0
5,110004,0,0,4,2,5,2,2,2,2,4,3,2,0,1
6,110070,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,110080,0,3,1,0,0,0,0,0,0,1,2,1,0,0
8,110090,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,110007,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,110008,0,0,0,0,0,0,0,1,0,0,0,0,2,0
11,110094,0,0,0,0,0,0,0,0,0,0,2,0,0,0
12,110009,0,0,0,0,2,0,1,0,0,0,0,0,2,1
13,110010,0,1,0,0,0,0,0,0,0,0,1,2,0,0
14,110110,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,110011,0,0,0,0,0,1,0,0,0,0,0,1,2,0
16,110012,0,0,0,0,0,0,0,8,0,0,1,2,0,0
17,110013,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,110120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,110130,0,1,0,0,0,0,0,0,0,0,2,0,0,0
20,110140,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,110014,0,0,0,0,0,0,0,1,0,0,0,0,1,1
22,110033,0,0,0,0,0,1,0,0,0,0,0,2,1,0
23,110143,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,110015,0,0,0,0,0,0,0,2,1,0,2,1,0,0
25,110018,0,0,0,0,0,0,2,1,0,0,5,4,5,0
26,110146,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,110020,0,2,0,1,4,1,6,5,1,2,12,17,1,1
28,110026,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,110028,0,1,0,0,1,0,0,1,0,3,1,2,0,0
30,110029,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,110149,0,0,0,0,0,0,0,0,0,0,0,1,1,0
32,110032,0,0,0,0,0,0,1,0,1,2,0,0,0,1
33,110150,0,0,0,0,0,0,1,2,0,0,2,0,0,0
34,110160,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,110175,0,0,1,0,1,0,0,0,0,0,1,0,0,0
36,110030,0,0,0,0,1,0,0,1,1,1,1,3,2,0
37,120001,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,120010,0,1,0,0,0,0,1,0,1,0,1,0,2,0
39,120017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,120020,1,8,4,1,75,41,17,33,1,1,2,0,5,1
41,120025,0,0,1,1,0,2,0,0,0,0,2,0,0,0
42,120030,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,120032,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,120033,0,2,0,1,2,2,1,0,1,0,0,0,0,0
45,120034,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,120035,0,0,0,0,4,0,2,3,1,0,0,0,0,0
47,120038,0,0,2,1,0,0,2,0,0,0,0,0,0,0
48,120080,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,120039,0,0,0,0,1,1,0,0,0,0,0,0,0,0
50,120040,0,4,1,2,2,2,2,5,2,1,1,2,2,1
51,120042,0,1,0,0,1,0,1,1,0,0,0,0,0,0
52,120050,0,0,3,0,0,1,0,0,0,1,0,0,0,0
53,120045,0,1,0,1,0,0,0,0,0,0,0,1,1,0
54,120060,0,0,0,0,1,1,0,3,0,0,0,0,0,1
55,120070,0,0,0,0,0,0,0,0,0,0,3,0,0,0
56,130006,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,130010,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,130014,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,130020,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,130030,0,0,0,0,0,0,0,0,1,1,0,0,0,0
61,130040,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,130050,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,130070,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,130080,0,0,0,0,0,2,0,0,0,0,0,0,0,0
65,130083,0,0,0,0,0,3,0,0,1,0,0,0,0,0
66,130100,0,1,1,1,1,8,3,0,1,0,0,0,0,0
67,130110,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,130120,0,0,1,1,2,0,0,0,0,0,3,0,2,0
69,130130,0,0,0,0,0,1,0,1,0,0,0,0,0,0
70,130140,0,0,1,1,1,0,0,0,1,0,1,0,0,2
71,130165,0,0,1,0,2,0,1,2,0,0,0,0,0,0
72,130170,0,0,0,0,0,0,0,0,2,0,2,1,0,0
73,130180,0,0,0,0,0,0,1,0,0,1,0,2,1,0
74,130185,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,130190,0,0,1,0,1,0,0,0,0,0,0,1,0,0
76,130210,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,130240,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,130250,0,0,0,0,1,3,2,0,1,0,1,1,0,0
79,130255,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,130260,2,48,70,34,13,10,10,4,12,19,10,18,9,0
81,130270,0,0,0,0,0,15,0,0,0,0,0,0,0,0
82,130300,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,130310,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,130340,0,0,0,0,1,0,0,1,0,1,0,1,1,0
85,130350,0,0,1,1,1,1,0,0,0,0,0,1,1,2
86,130353,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,130360,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88,130380,0,0,0,0,0,0,0,0,0,0,1,1,1,0
89,130390,0,0,0,9,3,0,0,0,0,0,0,0,0,0
90,130395,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,130400,0,0,0,0,0,0,0,0,0,0,0,0,2,0
92,130406,0,0,0,1,1,0,0,2,0,0,0,0,0,0
93,130420,0,0,2,0,0,1,1,0,1,1,1,4,0,0
94,140010,0,2,1,7,2,4,4,2,4,2,0,5,5,1
95,140017,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,140020,0,0,0,1,1,0,0,0,0,0,0,0,0,0
97,140030,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,140040,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,140045,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,140047,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,140060,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,150010,1,6,2,1,1,0,0,0,0,1,1,2,0,0
103,150020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,150030,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,150034,0,0,0,1,0,0,0,0,0,0,0,0,1,0
106,150040,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107,150050,0,0,1,1,0,0,0,0,1,0,0,0,1,0
108,150060,0,3,0,1,1,0,2,0,1,1,3,1,1,0
109,150080,1,20,16,11,3,1,2,6,3,1,3,1,0,0
110,150085,0,0,3,0,0,0,0,0,0,0,0,0,0,0
111,150090,0,0,1,1,0,1,0,0,0,2,0,0,0,0
112,150095,0,0,0,0,0,0,0,0,1,1,1,1,2,0
