,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,110037,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,110034,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,110002,0,0,2,0,1,0,0,1,0,0,0,2,2,0
4,110045,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5,110004,0,2,4,2,0,2,1,1,1,3,3,1,2,0
6,110070,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,110080,0,0,0,0,2,0,0,0,0,1,0,0,0,0
8,110005,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,110006,0,0,1,0,0,0,0,1,0,0,0,0,1,1
10,110008,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,110009,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,110010,0,1,0,0,0,0,0,0,0,1,2,0,0,1
13,110110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,110011,0,0,0,1,1,0,0,0,1,0,0,0,0,0
15,110012,0,0,1,0,0,0,0,0,0,0,2,1,2,0
16,110140,0,1,0,0,0,0,0,0,0,1,0,0,0,0
17,110033,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,110050,0,0,0,0,0,0,0,0,2,0,0,1,0,0
19,110015,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20,110145,0,0,0,0,0,0,0,0,1,0,1,0,0,0
21,110018,0,0,1,0,0,2,0,0,0,0,1,0,0,0
22,110020,0,2,1,6,7,4,2,0,4,11,10,2,10,2
23,110025,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,110028,0,0,1,0,1,2,0,1,0,1,0,0,0,0
25,110149,0,0,0,0,0,0,3,0,0,0,0,0,0,0
26,110032,0,0,0,1,0,4,2,2,0,0,0,0,0,0
27,110150,0,0,0,0,0,1,0,0,0,0,0,1,0,0
28,110030,0,1,0,1,1,1,0,1,0,0,1,0,1,0
29,120001,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,120005,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,120010,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,120013,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33,120017,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,120020,0,0,0,0,0,0,2,0,0,1,2,1,4,3
35,120030,0,0,0,0,0,0,2,0,0,0,0,1,1,0
36,120032,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,120035,0,0,0,0,1,0,0,0,0,0,1,1,0,0
38,120038,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,120080,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,120039,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,120040,0,0,0,2,6,3,2,3,3,10,6,2,3,2
42,120042,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,120050,0,0,0,1,0,1,0,0,0,0,0,0,0,0
44,120045,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45,120060,0,0,0,0,0,0,1,0,0,0,1,0,1,0
46,120070,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,130008,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,130010,0,0,0,0,0,0,0,0,0,0,0,0,2,0
49,130040,0,0,0,1,0,0,0,0,0,0,1,0,0,0
50,130050,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,130060,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,130063,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,130068,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,130070,0,0,1,1,2,0,1,0,1,0,0,0,1,0
55,130080,0,0,0,0,0,1,0,0,0,0,0,2,2,0
56,130100,0,0,0,0,0,0,0,0,0,0,0,1,1,0
57,130110,0,0,0,0,0,0,0,0,1,0,2,2,2,0
58,130115,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59,130120,0,0,0,1,0,0,1,0,0,0,1,0,1,0
60,130140,0,0,1,0,0,0,1,1,0,0,0,0,0,0
61,130165,0,0,0,0,0,0,0,0,1,0,0,1,0,0
62,130170,0,0,0,1,1,0,1,0,0,1,0,1,1,0
63,130180,0,0,0,0,0,0,0,0,0,0,2,0,0,1
64,130185,0,1,0,0,1,0,0,0,0,1,0,3,1,0
65,130190,0,0,0,0,0,0,0,1,0,1,0,0,1,1
66,130230,0,0,0,0,0,0,0,1,0,0,0,0,1,0
67,130250,0,0,1,0,0,0,1,1,0,0,1,2,2,0
68,130255,0,0,0,0,0,0,0,0,0,0,0,2,0,0
69,130260,0,17,32,8,13,11,8,8,13,21,31,57,52,32
70,130280,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,130290,0,0,0,0,0,0,0,0,0,3,1,2,0,0
72,130310,0,0,0,0,0,0,0,0,0,0,1,1,0,0
73,130320,0,0,0,0,0,0,0,0,0,0,0,1,1,0
74,130340,0,0,0,0,2,0,0,0,1,1,0,0,3,0
75,130350,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,130353,0,1,0,0,0,0,0,1,0,0,0,0,0,1
77,130356,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,130380,0,0,0,0,0,0,0,0,0,0,0,0,2,0
79,130406,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,130420,0,0,1,0,0,0,0,0,0,0,0,1,5,1
81,130426,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,130440,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,140005,0,0,0,0,0,0,0,0,0,0,0,0,2,0
84,140010,0,1,0,1,0,0,0,1,4,2,3,2,6,3
85,140015,0,0,0,0,0,0,0,0,0,0,0,0,0,1
