,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,1,1,1,4,2,5,2,3,7,3,2,2,1
1,110037,1,1,0,0,2,1,1,1,1,1,2,3,1,0
2,110040,0,0,0,0,0,1,0,0,0,0,1,1,3,2
3,110034,0,1,1,3,0,1,0,0,0,1,1,2,3,0
4,110002,0,1,1,1,7,2,3,8,11,4,11,6,14,6
5,110045,0,0,0,1,0,0,0,3,1,2,1,0,1,0
6,110003,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,110060,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,110004,0,9,16,11,9,8,11,11,7,11,14,7,19,5
9,110070,0,0,0,0,1,2,1,0,0,2,1,1,0,0
10,110080,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,110090,0,0,1,0,0,1,0,0,0,0,1,1,0,0
12,110005,0,7,2,0,0,0,2,1,0,1,1,1,0,1
13,110092,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,110006,0,1,4,6,10,5,0,3,0,0,0,1,2,0
15,110007,0,1,0,0,1,0,0,0,0,0,0,0,0,1
16,110008,0,0,0,0,0,0,0,2,0,1,0,2,0,0
17,110094,0,1,0,0,2,0,0,0,0,0,2,5,2,0
18,110009,0,0,1,1,4,4,8,13,3,2,2,9,1,1
19,110100,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20,110010,0,1,0,1,0,7,1,2,1,1,0,2,4,2
21,110110,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,110011,0,1,1,2,2,7,4,7,12,8,14,10,15,5
23,110012,0,9,4,13,9,4,8,12,4,12,3,5,10,1
24,110013,0,0,4,1,2,3,2,1,1,0,6,5,4,0
25,110120,0,0,0,0,0,0,2,4,0,0,0,0,0,0
26,110130,0,1,0,0,2,1,1,0,0,0,0,0,1,1
27,110140,0,0,1,5,1,0,0,0,0,0,0,2,2,1
28,110014,0,11,14,6,7,2,2,0,0,0,0,1,8,0
29,110033,0,0,2,1,1,0,0,1,1,1,0,0,0,0
30,110143,0,0,0,1,0,1,0,0,1,0,0,0,0,0
31,110050,0,0,0,0,0,1,1,3,0,0,0,1,0,0
32,110015,1,5,5,12,13,3,12,12,15,7,9,6,0,0
33,110145,0,1,0,0,0,0,1,0,1,0,2,1,1,0
34,110018,0,2,12,12,6,11,3,7,5,10,6,8,16,4
35,110146,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,110020,0,1,8,3,8,1,11,1,0,3,4,5,8,0
37,110025,0,1,0,0,0,0,0,2,0,2,2,0,0,1
38,110147,0,1,1,1,0,1,2,1,1,1,0,0,1,0
39,110026,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40,110028,1,10,2,1,4,13,4,11,3,3,15,5,5,4
41,110029,0,0,0,0,2,2,1,2,0,1,1,4,7,3
42,110148,0,0,0,0,0,0,1,0,0,0,2,0,0,0
43,110149,0,1,0,0,0,0,1,3,3,1,4,2,1,3
44,110032,0,2,4,1,0,4,1,2,4,1,3,5,0,1
45,110150,0,0,2,2,0,0,0,2,0,0,0,0,0,0
46,110155,0,0,0,2,1,0,1,0,1,0,0,0,0,0
47,110160,0,0,0,0,0,0,0,0,0,1,0,0,4,0
48,110170,0,0,0,0,2,0,0,0,3,1,2,1,2,0
49,110180,0,0,0,1,1,0,2,0,1,0,2,1,2,0
50,110030,1,0,2,1,1,1,0,2,5,1,1,3,4,0
51,120001,0,4,5,1,2,3,0,0,0,0,2,1,0,0
52,120005,0,0,2,0,0,2,1,0,0,0,0,0,0,0
53,120010,0,11,9,6,5,2,6,0,0,1,4,1,1,1
54,120013,0,4,2,1,3,3,2,0,0,0,0,1,0,0
55,120017,0,0,2,0,1,3,2,0,0,0,0,0,0,0
56,120020,0,1,2,1,2,1,1,0,1,0,0,0,1,0
57,120025,0,1,0,2,1,2,1,0,0,0,0,0,0,0
58,120030,0,1,0,0,2,1,2,0,0,0,0,1,0,0
59,120032,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,120033,0,0,1,1,0,0,0,0,0,0,0,2,0,0
61,120034,0,1,0,2,1,0,2,0,0,0,1,1,0,0
62,120038,0,2,0,2,3,6,7,0,0,0,0,1,0,0
63,120080,0,4,4,4,2,8,9,0,0,0,1,1,0,0
64,120039,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,120040,1,281,316,284,332,443,454,7,13,9,7,16,6,1
66,120042,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,120043,0,0,0,0,0,1,0,1,0,0,1,0,0,0
68,120050,0,6,7,9,8,5,14,3,8,1,6,1,3,1
69,120045,0,4,4,3,7,5,4,1,1,1,1,0,0,0
70,120060,1,1,2,0,4,2,2,1,3,2,7,3,1,0
