,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,5,6,6,8,15,4,14,14,10,9,12,6,2
1,110037,0,1,0,1,0,1,4,7,10,2,4,2,3,0
2,110040,0,0,1,1,4,2,2,6,8,6,3,2,2,0
3,110034,0,1,1,2,0,2,3,0,1,2,0,2,1,0
4,110002,0,9,30,19,38,31,34,29,28,31,24,10,30,18
5,110045,0,3,2,3,1,3,13,14,7,5,2,3,8,0
6,110003,0,0,5,2,1,2,1,5,2,2,1,1,2,2
7,110060,0,0,0,1,0,0,1,0,0,1,1,1,0,0
8,110004,1,50,32,52,38,41,59,82,43,83,59,62,70,27
9,110070,0,1,3,3,3,5,4,5,0,2,2,2,0,1
10,110080,0,6,5,4,5,5,13,8,7,12,13,13,13,3
11,110090,0,0,0,0,0,0,1,1,2,1,0,1,3,0
12,110005,0,5,6,4,4,6,10,13,9,14,12,1,3,1
13,110092,1,2,2,1,2,4,3,7,10,3,0,4,1,0
14,110006,1,2,5,13,7,6,3,12,2,3,5,4,8,3
15,110007,0,1,3,2,2,1,2,4,3,5,3,0,0,0
16,110008,0,1,1,3,0,2,1,1,1,2,2,6,3,2
17,110094,0,0,0,3,5,2,4,7,7,9,6,5,5,1
18,110009,0,2,7,10,10,9,10,18,26,26,22,52,48,10
19,110100,0,0,2,2,0,2,4,2,2,1,2,0,0,0
20,110010,0,3,4,7,8,9,14,8,7,11,3,10,9,2
21,110110,0,0,1,1,3,2,2,5,2,3,4,0,4,0
22,110011,0,10,7,9,14,29,29,11,28,17,19,18,26,9
23,110012,0,21,27,19,17,21,30,41,32,31,30,35,17,4
24,110013,0,1,4,10,13,9,10,12,6,9,7,7,4,4
25,110120,0,3,1,2,3,9,9,3,3,4,3,4,6,0
26,110130,0,0,2,2,8,3,1,2,5,2,3,1,1,0
27,110140,1,1,2,2,4,2,6,3,0,5,4,8,8,0
28,110014,0,1,3,2,4,12,11,5,4,8,8,5,2,3
29,110033,0,2,5,5,3,10,4,2,6,0,4,4,7,3
30,110143,0,1,2,3,1,0,0,2,1,1,0,2,0,1
31,110050,0,0,4,4,4,4,16,22,5,7,5,4,3,2
32,110015,0,7,25,22,14,6,16,11,16,6,10,11,15,1
33,110145,0,0,0,1,0,2,2,4,2,2,1,0,0,0
34,110018,0,27,37,23,27,27,22,24,38,45,29,49,35,13
35,110146,0,0,1,0,0,1,1,2,0,1,0,0,2,0
36,110020,1,76,85,100,126,144,164,163,190,182,193,218,236,61
37,110025,0,3,1,8,5,0,6,4,7,8,7,9,4,0
38,110147,0,1,3,1,3,3,2,0,1,2,2,4,3,1
39,110026,0,1,1,0,0,0,0,0,0,0,1,0,0,0
40,110028,0,5,5,7,10,31,26,25,71,51,56,28,49,17
41,110029,0,0,1,1,4,6,5,4,3,10,1,8,9,2
42,110148,0,2,1,2,2,1,5,1,3,0,3,0,1,2
43,110149,0,0,3,0,1,2,10,7,9,6,10,11,6,2
44,110032,0,6,5,2,5,7,8,6,4,2,5,5,3,2
45,110150,0,1,0,0,5,4,0,3,8,0,1,0,4,0
46,110155,0,0,1,3,0,0,2,0,5,2,1,0,0,0
47,110160,0,0,2,6,0,4,0,1,2,0,2,1,0,0
48,110170,0,1,0,3,4,1,1,3,3,1,2,1,3,1
49,110175,0,0,0,0,0,1,0,4,5,0,1,2,2,1
50,110180,0,0,0,3,2,0,0,0,0,3,2,1,1,0
51,110030,7,9,49,31,21,16,42,91,74,42,52,74,92,33
52,120001,0,13,1,1,1,3,3,2,1,1,1,0,0,0
53,120005,0,0,0,1,1,1,1,0,0,0,0,0,0,0
54,120010,0,7,5,2,2,3,4,8,1,4,5,6,3,0
55,120013,0,1,3,1,0,0,1,1,0,2,0,0,1,0
56,120017,0,2,1,5,2,0,1,0,3,0,0,2,0,0
57,120020,0,15,21,11,12,11,5,8,11,15,4,10,20,10
58,120025,0,3,2,2,2,2,1,2,0,4,6,1,0,0
59,120030,0,2,5,1,4,1,4,0,0,0,1,0,0,1
60,120032,0,0,0,0,2,1,0,0,0,1,1,3,0,0
61,120033,0,2,1,1,2,1,0,1,2,7,4,3,2,0
62,120034,0,2,3,7,0,3,0,3,2,0,1,0,0,0
63,120035,0,3,0,1,1,1,2,3,1,2,1,2,1,1
64,120038,0,3,2,0,2,2,0,0,1,1,1,1,4,1
65,120080,0,4,1,5,2,0,3,3,0,1,0,0,2,0
66,120039,0,1,1,2,0,0,0,0,0,1,0,2,2,1
