,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,1,1,0,1,0,3,1,0,1,2,2,2,0
1,110037,0,0,1,2,1,0,4,2,0,1,1,4,4,0
2,110040,0,1,1,4,7,0,2,0,2,2,2,0,5,0
3,110034,0,1,0,1,5,2,3,3,1,6,3,1,4,4
4,110002,0,1,4,8,8,3,4,7,25,42,58,38,26,11
5,110045,1,1,1,0,1,2,0,6,2,2,0,4,5,0
6,110003,0,0,0,1,1,2,0,1,1,0,0,3,0,0
7,110060,0,0,0,2,1,0,1,1,0,0,1,1,0,1
8,110004,1,2,3,2,7,11,15,11,10,8,16,7,13,9
9,110070,0,1,0,0,2,0,3,2,0,4,0,0,0,0
10,110080,1,5,0,0,2,2,4,5,2,8,9,11,10,0
11,110005,0,1,0,1,2,4,1,2,3,2,0,0,4,0
12,110092,0,0,0,0,0,0,1,3,1,1,2,1,0,0
13,110006,1,0,0,0,3,0,2,7,1,5,7,8,4,3
14,110007,0,0,0,0,0,0,0,2,0,0,0,0,1,0
15,110008,0,0,0,0,0,0,0,2,0,0,2,1,2,0
16,110094,0,0,0,0,0,0,0,1,5,1,2,3,1,0
17,110009,0,0,1,0,0,0,0,3,1,0,1,0,4,0
18,110100,0,1,1,3,1,2,0,0,0,4,0,1,0,0
19,110010,2,1,1,1,0,3,4,1,7,20,7,7,10,0
20,110110,0,1,0,3,3,1,1,0,1,12,3,0,1,0
21,110011,1,2,2,2,2,5,9,8,7,4,6,7,11,5
22,110012,0,0,6,6,13,8,11,13,29,17,26,7,9,5
23,110013,0,3,1,1,1,0,2,2,2,0,10,6,9,0
24,110120,0,0,0,0,0,0,0,0,4,12,11,15,17,1
25,110130,0,0,1,1,1,0,2,9,2,7,3,4,6,0
26,110140,0,0,0,2,0,0,0,0,0,2,1,2,1,3
27,110014,0,1,0,0,1,0,0,1,1,1,4,0,4,3
28,110033,0,2,1,5,4,2,0,0,10,2,5,3,9,0
29,110143,0,1,1,0,0,0,1,0,0,0,0,1,0,0
30,110050,0,1,0,0,0,1,3,3,0,1,6,4,13,2
31,110015,0,1,2,2,5,0,1,4,9,14,16,23,7,4
32,110145,0,0,1,0,0,0,0,0,2,0,0,1,1,0
33,110018,1,1,0,0,2,0,1,4,1,5,2,13,18,8
34,110020,3,44,96,83,192,187,403,290,241,342,318,436,347,70
35,110025,0,0,3,0,4,0,0,0,8,4,0,3,0,0
36,110147,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37,110026,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,110028,0,0,2,1,2,2,0,4,1,2,7,18,13,7
39,110029,0,2,0,1,2,0,0,1,1,0,0,0,0,0
40,110148,0,0,0,0,0,0,0,0,1,0,0,1,0,0
41,110149,0,0,0,1,0,0,0,1,1,1,0,2,0,0
42,110032,0,0,0,0,1,2,0,2,1,6,9,9,3,1
43,110150,1,0,0,1,2,0,1,0,2,4,1,2,0,1
44,110155,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45,110160,0,2,0,1,0,3,1,3,6,8,5,1,2,4
46,110170,0,0,0,0,0,0,0,0,0,0,4,3,1,0
47,110175,0,0,0,0,1,0,0,0,1,2,4,0,0,0
48,110180,0,0,0,0,0,0,0,2,0,1,0,0,0,0
49,110030,0,0,0,1,2,4,3,38,26,17,24,24,29,3
50,120001,0,1,1,0,0,2,6,5,4,5,2,2,5,0
51,120005,0,1,0,0,0,5,4,0,0,5,0,1,0,0
52,120010,0,3,1,1,6,14,7,8,4,10,4,3,6,1
53,120013,0,5,1,0,2,1,5,6,3,1,1,5,0,0
54,120017,0,1,0,0,0,6,13,13,9,10,8,12,14,4
55,120020,1,3,4,2,0,5,1,4,2,5,1,15,24,3
56,120025,0,2,0,1,2,2,3,0,4,4,0,3,3,1
57,120030,0,3,1,1,1,0,4,0,2,3,2,1,4,2
58,120032,0,0,0,0,0,0,0,0,2,1,0,1,1,0
59,120034,0,1,0,0,1,2,8,8,6,7,8,4,2,2
60,120035,0,0,0,0,0,0,1,0,0,0,0,0,2,0
61,120038,0,8,0,0,1,8,2,6,4,2,8,8,9,2
62,120080,0,0,0,0,0,7,20,10,13,7,8,5,9,4
63,120039,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64,120040,16,369,394,509,435,365,344,310,411,423,386,432,416,130
65,120042,0,0,0,0,0,0,1,3,0,0,0,1,0,0
66,120043,0,0,0,2,0,0,0,0,3,0,0,0,0,0
67,120050,0,7,4,1,4,13,20,11,10,9,10,15,22,2
68,120045,0,3,0,0,0,7,14,9,14,13,4,9,5,2
69,120060,0,7,0,3,1,2,4,8,7,18,6,13,3,4
70,120070,0,3,0,0,0,1,12,13,7,3,3,11,6,3
71,130002,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,130014,0,0,0,0,0,0,0,1,0,1,1,0,0,0
73,130030,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,130040,0,0,1,0,1,0,0,0,0,1,0,0,1,0
75,130050,0,0,0,0,0,0,0,0,0,0,0,0,2,0
76,130070,0,5,0,1,3,13,21,15,11,9,8,10,5,2
77,130100,0,0,0,1,1,0,0,0,0,0,0,0,0,0
