,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,2,13,27,29,26,39,38,37,26,7,6
1,110037,0,0,0,1,4,4,1,4,11,7,7,10,2,0
2,110040,0,0,1,4,7,8,7,4,5,4,4,15,19,2
3,110034,0,0,0,2,2,5,2,7,5,3,5,12,8,3
4,110002,0,2,0,16,32,122,45,16,25,27,39,74,95,18
5,110045,0,0,0,1,7,30,23,11,24,9,18,23,37,16
6,110003,0,0,0,0,1,0,0,0,2,2,1,1,3,1
7,110060,0,0,0,0,2,7,4,1,0,4,2,1,3,3
8,110004,0,30,21,112,149,289,307,477,356,115,118,120,21,4
9,110070,0,0,1,3,3,8,6,3,3,3,3,5,13,0
10,110080,0,0,0,1,12,8,20,13,6,21,25,30,35,14
11,110090,0,0,0,0,0,2,1,2,1,2,2,1,0,0
12,110005,0,0,0,1,2,1,2,2,0,3,4,8,3,1
13,110092,0,0,1,0,0,1,0,0,0,3,2,2,2,0
14,110006,0,0,0,0,1,2,3,0,1,2,5,6,1,2
15,110007,0,0,0,0,2,0,2,1,2,0,0,5,3,0
16,110008,0,0,0,0,2,1,1,5,9,5,5,5,4,0
17,110094,0,0,1,5,0,17,7,6,5,9,11,21,20,6
18,110009,0,3,2,16,30,42,42,102,86,32,35,52,9,4
19,110100,0,1,3,0,1,1,2,2,5,1,3,2,2,0
20,110010,0,0,1,8,12,17,24,15,15,17,27,26,52,12
21,110110,0,0,0,2,4,5,8,6,4,6,10,8,12,5
22,110011,0,2,4,4,17,21,20,11,20,13,12,16,20,3
23,110012,0,4,5,3,6,21,20,44,22,12,15,31,46,11
24,110013,0,0,2,7,9,24,12,16,18,20,27,28,60,12
25,110120,0,0,1,7,3,18,15,22,21,7,4,10,1,1
26,110130,0,1,2,0,4,1,3,2,2,0,1,7,2,1
27,110140,0,0,0,0,3,10,4,5,6,3,4,7,14,5
28,110014,0,1,0,1,2,1,2,4,16,13,16,14,4,2
29,110033,0,0,1,8,10,12,12,11,10,7,16,27,26,11
30,110143,0,0,1,0,0,0,0,1,2,2,1,4,1,0
31,110050,0,0,0,0,0,1,4,6,8,9,5,12,1,2
32,110015,0,2,4,2,4,11,10,3,9,10,8,16,11,2
33,110145,0,1,0,0,0,6,1,5,5,4,9,1,2,0
34,110018,1,4,2,23,30,64,51,109,94,27,33,39,9,6
35,110146,0,0,0,0,0,1,0,0,0,1,2,1,0,1
36,110020,0,0,20,112,322,358,311,205,212,326,369,655,670,175
37,110025,0,0,1,0,3,0,4,4,6,2,6,14,7,1
38,110147,0,0,1,2,3,8,3,4,4,4,2,1,0,0
39,110026,0,0,0,0,0,5,1,1,3,1,3,3,3,0
40,110028,0,1,1,2,4,30,20,38,54,28,49,51,13,5
41,110029,0,0,0,1,0,5,3,1,9,9,5,6,0,2
42,110148,0,0,1,4,6,6,11,12,7,2,5,8,1,1
43,110149,0,1,0,0,0,3,8,10,17,13,16,19,15,3
44,110032,0,10,1,3,2,5,4,5,25,19,6,19,12,2
45,110150,0,0,0,0,1,1,1,2,12,14,10,2,3,0
46,110155,0,0,1,0,0,2,1,1,1,4,0,4,0,0
47,110160,0,0,0,0,1,4,4,1,4,2,6,7,5,0
48,110170,0,0,1,0,1,6,0,3,0,3,4,3,3,0
49,110175,0,0,1,1,1,1,1,0,2,0,4,3,3,0
50,110180,0,0,0,1,1,2,0,1,0,2,1,0,1,0
51,110030,0,0,0,2,4,12,2,4,4,8,14,15,21,3
52,120001,0,0,0,0,1,0,1,0,1,2,1,1,5,4
53,120005,0,0,0,1,0,0,0,0,3,0,0,0,3,1
54,120010,0,1,0,2,0,0,1,1,1,1,2,2,6,12
55,120013,0,0,0,0,0,0,0,0,1,0,0,0,2,1
56,120017,0,0,0,2,1,1,0,0,1,0,0,0,0,2
57,120020,0,1,2,6,0,0,1,0,1,0,0,3,3,2
58,120025,0,0,0,1,1,0,0,0,0,0,1,1,5,3
59,120030,0,1,9,7,10,10,13,8,0,0,0,0,0,3
60,120032,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,120033,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,120034,0,0,0,0,0,2,1,1,0,0,0,1,4,1
63,120035,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,120038,0,1,0,0,0,1,1,0,2,0,0,1,2,3
65,120080,0,0,1,0,0,0,0,0,1,2,0,0,3,6
66,120040,0,5,0,3,17,7,5,4,17,26,16,26,121,127
67,120043,0,0,1,3,0,0,0,0,0,0,0,0,0,0
68,120050,0,2,0,4,2,0,4,3,5,1,2,3,7,6
69,120045,0,0,0,0,2,1,0,0,0,0,1,1,4,9
70,120060,0,3,3,2,0,0,0,2,10,4,6,3,2,2
71,120070,0,0,0,0,1,2,5,5,3,1,1,1,2,5
72,130002,0,0,0,1,0,3,2,6,10,7,4,4,0,1
73,130006,0,0,0,0,0,0,1,0,0,0,2,1,2,0
74,130008,0,0,0,0,0,0,0,0,0,0,2,0,0,0
75,130014,0,0,0,0,0,1,4,2,0,0,2,4,2,0
76,130020,0,0,0,0,0,0,0,0,2,2,2,3,2,2
77,130030,0,0,0,0,0,0,0,0,0,0,1,3,1,2
78,130040,0,0,5,10,4,10,14,19,8,5,6,5,7,3
79,130050,0,0,0,0,2,0,2,0,4,3,0,3,1,1
80,130060,0,1,0,0,0,0,1,1,0,9,3,5,9,1
81,130063,0,0,0,0,0,0,0,0,0,2,0,0,1,0
82,130068,0,0,0,0,1,0,0,0,0,0,0,0,4,2
83,130070,0,0,0,1,0,0,2,0,1,3,5,3,19,5
84,130080,0,1,0,0,2,4,3,9,7,3,3,8,8,8
85,130083,0,0,0,0,0,0,0,0,1,2,0,0,0,0
86,130090,0,0,0,0,0,0,0,0,0,0,0,2,0,0
87,130100,0,1,2,0,0,0,0,0,0,0,5,0,12,4
88,130110,0,0,0,0,0,0,0,3,4,6,23,14,6,1
89,130115,0,0,0,0,0,0,0,0,0,0,2,1,0,0
90,130120,0,0,1,0,0,0,2,11,14,18,24,14,11,15
91,130130,0,0,0,0,0,0,0,0,0,2,0,0,0,0
92,130140,0,0,0,1,0,0,0,2,3,2,8,2,0,0
93,130150,0,0,2,0,0,2,0,0,0,0,0,0,1,0
94,130160,0,0,0,0,0,0,0,0,2,0,0,0,0,0
95,130170,0,0,0,1,11,11,33,14,10,12,16,36,52,12
96,130180,0,0,0,0,0,0,0,0,0,0,0,1,1,0
97,130185,0,0,0,0,0,0,0,0,0,2,1,3,4,0
98,130190,0,0,0,3,1,0,0,0,0,6,4,6,0,2
99,130200,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,130210,0,0,0,0,0,0,0,0,0,0,1,0,1,1
101,130220,0,0,0,1,0,0,0,2,3,1,0,0,0,0
102,130230,0,0,0,0,0,0,0,0,0,0,1,0,1,1
103,130240,0,0,0,0,0,0,3,3,3,9,5,7,14,0
104,130250,0,0,0,2,3,3,2,3,0,2,1,1,3,2
105,130255,0,1,0,0,0,0,0,0,0,1,2,3,0,0
106,130260,1,43,6,13,12,8,11,39,45,253,448,390,146,57
107,130270,0,0,0,0,0,2,2,15,9,7,12,20,32,15
108,130280,0,0,0,0,0,0,0,0,1,0,0,1,0,0
109,130290,0,3,2,4,9,12,4,4,0,1,7,5,4,1
110,130310,0,0,0,0,0,0,0,0,0,0,0,7,9,0
111,130320,0,0,0,0,0,0,0,0,1,0,0,0,1,0
112,130330,0,0,0,0,0,0,0,0,1,0,0,0,2,0
113,130340,0,1,0,0,0,0,1,0,2,5,2,8,4,3
