,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,2,1,0,0,0,1,0,2,0
1,110037,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2,110040,0,0,2,0,1,4,1,1,2,1,3,0,0,0
3,110034,0,0,0,0,1,0,0,0,1,0,0,1,0,0
4,110002,2,7,14,9,7,29,9,9,12,17,21,24,26,3
5,110045,0,0,1,1,4,4,3,0,5,6,0,0,0,0
6,110003,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,110060,0,1,0,0,0,0,0,0,0,0,0,0,2,0
8,110004,0,3,7,3,1,2,5,4,1,5,2,4,3,0
9,110070,0,0,1,2,1,1,0,2,0,0,0,1,0,0
10,110080,0,7,4,6,4,3,11,7,8,5,7,6,9,1
11,110005,0,3,0,1,0,1,1,1,0,0,1,1,0,0
12,110092,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,110006,0,1,1,0,0,0,0,0,1,0,0,0,0,1
14,110008,0,1,1,1,1,1,3,1,2,4,2,0,0,0
15,110094,0,0,0,0,0,1,2,1,1,0,0,3,1,0
16,110009,0,1,3,0,0,0,2,1,0,0,1,0,0,0
17,110010,0,4,2,8,10,5,7,5,16,6,14,8,3,3
18,110110,0,2,0,0,0,3,0,0,2,1,1,0,0,1
19,110011,0,1,0,2,1,9,2,5,1,1,6,2,1,0
20,110012,2,7,9,11,11,8,7,12,13,12,16,4,7,3
21,110013,0,1,4,5,2,3,2,1,0,0,1,2,3,0
22,110130,0,0,0,0,0,0,1,1,0,2,0,1,1,0
23,110140,0,1,1,6,1,0,2,4,1,2,0,0,0,0
24,110014,0,3,0,0,0,0,0,1,0,1,2,0,0,0
25,110033,0,1,0,0,3,1,2,3,0,0,3,3,2,0
26,110143,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,110050,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28,110015,0,1,2,2,2,4,8,4,1,4,1,1,1,0
29,110018,0,3,4,0,2,1,1,3,1,2,1,8,0,0
30,110020,3,105,168,169,207,268,257,293,314,338,384,299,316,102
31,110025,0,1,3,1,0,0,0,3,2,9,2,5,4,0
32,110147,0,1,0,0,0,0,0,0,0,0,0,1,0,0
33,110026,0,0,0,0,0,0,0,0,2,1,0,1,1,0
34,110028,0,6,4,2,1,3,0,9,5,7,4,2,1,0
35,110149,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,110032,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,110150,0,1,1,0,0,0,0,0,0,0,0,0,1,0
38,110155,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39,110160,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,110170,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,110175,0,0,0,1,1,0,0,0,0,1,0,0,0,0
42,110180,0,0,0,0,0,5,1,0,0,0,1,1,1,0
43,110030,0,4,6,6,9,1,7,5,5,3,6,5,7,3
44,120001,0,0,2,1,0,0,0,0,3,0,1,1,0,0
45,120005,0,0,0,0,0,0,0,2,0,0,0,2,2,0
46,120010,0,0,0,2,1,1,1,0,0,2,1,0,0,0
47,120013,0,0,0,0,0,4,0,0,0,0,0,1,0,0
48,120017,0,0,0,0,0,0,1,1,0,0,0,0,1,0
49,120020,0,0,0,0,0,0,1,0,4,4,12,2,0,1
50,120025,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,120030,0,0,0,0,1,0,0,0,0,1,0,0,0,0
52,120032,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,120033,0,0,0,0,0,0,0,0,1,1,0,2,1,0
54,120034,0,1,0,0,1,0,1,3,2,1,1,0,0,1
55,120038,0,0,1,2,0,2,1,2,1,3,1,1,0,1
56,120080,0,0,1,0,1,0,0,0,2,1,1,1,1,0
57,120039,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,120040,3,43,22,41,69,57,58,60,54,56,76,57,54,11
59,120050,1,0,0,5,1,4,2,2,4,1,1,3,2,0
60,120045,0,1,2,4,0,1,0,2,1,1,0,3,2,0
61,120060,0,0,0,0,0,0,0,0,2,1,2,2,1,1
62,120070,0,0,0,0,0,0,0,0,1,1,1,1,2,0
63,130002,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,130006,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,130010,0,0,0,0,0,0,1,2,1,0,0,0,0,1
66,130014,0,0,0,0,0,0,0,0,4,1,2,1,0,1
67,130020,0,0,0,0,0,0,0,0,0,0,0,0,2,0
68,130030,0,0,3,0,3,2,2,1,0,5,8,8,11,2
69,130040,0,0,0,0,0,0,1,0,0,4,4,0,0,0
70,130050,0,0,2,1,0,0,0,0,2,2,4,0,0,0
71,130060,0,0,0,0,1,0,0,2,1,1,2,1,3,0
72,130063,0,0,0,0,1,1,0,0,1,5,0,1,2,0
73,130068,0,0,4,0,0,1,0,0,0,0,2,0,0,1
74,130070,0,0,0,0,0,0,2,0,1,1,0,0,0,0
75,130080,0,1,0,2,0,3,3,5,5,5,8,4,6,7
76,130083,0,0,0,0,0,0,0,1,1,1,1,0,6,0
77,130090,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78,130100,0,0,0,2,0,0,1,1,0,0,0,0,1,1
79,130110,0,2,1,0,1,3,8,0,2,12,0,5,5,3
80,130115,0,0,0,0,0,1,3,0,0,0,0,4,2,0
81,130120,0,2,1,1,0,1,1,0,2,7,6,8,0,1
82,130130,0,0,0,0,0,0,0,1,1,0,1,0,0,0
83,130140,0,0,0,0,0,0,0,0,0,2,0,1,1,4
84,130150,0,0,0,0,0,0,0,1,0,0,0,0,1,0
85,130160,0,3,0,0,0,1,1,0,1,1,8,0,0,0
86,130170,0,2,6,1,3,5,5,7,4,2,6,8,2,1
87,130180,0,0,0,0,0,0,0,0,0,0,0,1,0,1
88,130185,0,10,2,1,3,3,3,5,15,10,5,8,13,7
89,130190,0,20,5,8,3,17,20,23,28,11,23,22,9,1
90,130200,0,0,0,0,0,0,0,0,0,0,1,0,0,2
91,130210,0,0,0,0,0,0,0,2,0,0,0,0,0,0
92,130220,0,0,0,1,0,0,0,0,0,0,0,1,0,0
93,130230,0,0,0,0,0,0,0,0,0,0,2,6,1,0
94,130240,0,0,0,0,0,0,3,0,0,2,0,13,6,0
95,130250,0,9,4,5,9,8,24,11,15,11,8,17,29,9
96,130255,0,0,0,0,0,2,3,0,0,2,0,0,3,1
97,130260,56,774,941,854,778,1014,1151,1153,1258,1203,1233,1257,1345,494
98,130270,1,0,3,1,1,4,4,4,2,2,0,2,3,2
99,130280,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,130290,0,2,0,5,3,0,3,11,1,7,6,2,5,0
101,130300,0,0,0,0,0,2,0,0,0,1,4,2,3,0
102,130310,0,0,0,0,0,1,2,1,2,10,7,3,5,7
103,130320,0,0,0,0,0,0,1,3,2,1,2,6,2,0
104,130330,0,0,0,0,0,0,0,1,0,1,0,1,1,1
105,130340,1,1,5,2,8,5,4,3,4,6,14,13,6,5
106,130353,0,4,4,10,2,1,2,18,20,25,19,14,14,3
107,130356,0,1,9,7,9,3,3,3,4,12,8,6,7,3
108,130370,0,0,1,0,0,6,0,0,0,0,3,1,1,0
109,130380,0,0,0,0,0,0,0,1,0,0,1,1,3,4
110,130390,0,0,1,0,0,0,0,4,0,1,0,0,3,0
111,130395,0,0,0,2,0,0,0,0,3,0,0,0,0,0
112,130400,0,1,1,0,0,0,0,0,0,0,0,0,0,0
