,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,2,64,80,58,19,35,47,38,25,34,37,46,43,11
1,110037,0,7,16,29,37,44,34,22,42,28,32,34,23,19
2,110040,0,5,21,18,15,15,15,15,25,12,10,19,12,3
3,110034,0,22,28,23,24,17,27,14,18,17,27,23,18,3
4,110002,1,110,123,106,146,173,201,256,212,191,179,118,119,58
5,110045,0,8,17,11,14,7,58,50,33,27,34,11,23,10
6,110003,0,8,13,13,7,12,12,18,10,8,11,5,5,3
7,110060,0,4,11,11,2,7,6,3,9,3,10,10,3,0
8,110004,2,172,197,116,125,105,120,222,118,116,117,127,96,36
9,110070,0,3,24,9,8,9,19,10,11,12,9,3,11,2
10,110080,0,4,7,9,19,5,12,14,20,17,26,13,18,5
11,110090,1,9,4,6,3,6,7,4,3,6,5,3,1,3
12,110005,1,83,53,38,45,46,44,62,72,50,53,55,30,12
13,110092,1,6,6,6,8,3,8,11,9,6,9,8,11,2
14,110006,1,32,87,56,87,77,42,33,36,38,39,21,20,11
15,110007,0,8,18,23,13,5,5,15,16,12,8,9,3,3
16,110008,0,6,37,16,24,9,9,12,10,14,11,27,9,3
17,110094,0,2,9,7,14,14,12,13,13,13,40,24,10,8
18,110009,0,16,42,40,39,56,70,77,104,80,156,176,113,31
19,110100,0,7,8,16,4,3,6,8,2,9,4,12,2,0
20,110010,2,16,37,58,40,33,34,39,31,27,26,24,36,13
21,110110,0,0,0,1,4,4,6,1,4,4,3,8,9,4
22,110011,0,70,109,80,52,60,39,68,64,46,50,65,80,30
23,110012,15,293,222,299,262,249,287,303,191,231,196,207,154,66
24,110013,1,24,34,25,26,24,25,32,28,13,36,33,31,17
25,110120,0,9,10,16,12,19,25,12,13,9,18,7,12,8
26,110130,1,30,31,23,23,19,15,13,14,11,10,9,7,3
27,110140,0,22,27,29,26,32,20,16,12,9,18,13,17,7
28,110014,1,59,51,62,39,33,52,46,14,51,25,18,21,13
29,110033,0,11,7,24,13,11,17,24,10,11,11,11,13,6
30,110143,0,11,17,13,10,3,13,8,1,2,2,4,6,2
31,110050,0,8,24,34,21,33,14,58,52,61,32,13,18,1
32,110015,5,35,47,61,69,60,56,36,60,51,34,46,39,6
33,110145,0,3,3,3,4,3,4,4,11,4,3,4,3,0
34,110018,5,88,57,78,72,70,75,58,67,48,71,100,58,29
35,110146,0,2,4,3,3,2,2,8,4,0,4,4,5,3
36,110020,10,122,173,220,237,200,231,194,240,383,280,239,292,125
37,110025,2,38,68,64,50,36,34,25,37,25,29,21,31,5
38,110147,1,4,8,5,10,7,6,16,13,10,8,3,8,3
39,110026,0,1,3,3,0,2,3,6,2,2,4,3,5,1
40,110028,5,202,176,118,93,88,120,79,112,124,86,66,64,32
41,110029,0,11,17,13,21,20,21,13,18,10,22,15,13,7
42,110148,1,5,7,7,3,9,6,5,3,7,12,2,2,0
43,110149,0,5,11,11,24,9,12,34,12,25,21,23,11,6
44,110032,0,30,30,57,40,26,33,27,37,34,33,22,15,7
45,110150,0,13,10,20,20,27,10,18,41,27,30,24,17,16
46,110155,1,5,6,5,6,5,6,4,3,9,4,3,1,3
47,110160,0,14,11,16,4,12,15,10,7,3,2,5,10,2
48,110170,2,12,15,49,55,19,25,14,24,24,28,10,9,3
49,110175,0,6,14,5,9,7,9,8,3,6,9,7,3,2
50,110180,0,4,7,18,13,9,4,5,2,6,7,3,9,0
51,110030,11,133,157,118,122,114,113,123,165,175,156,182,148,76
52,120001,0,17,9,19,7,13,10,7,3,9,9,6,5,4
53,120005,1,6,3,19,21,14,6,1,4,4,6,8,5,2
54,120010,1,39,31,36,37,33,31,25,40,36,28,32,12,3
55,120013,0,5,7,7,4,8,3,4,6,4,2,5,5,0
56,120017,0,9,10,2,8,11,5,10,2,4,4,2,3,0
57,120020,10,112,96,107,70,63,65,60,51,43,44,32,33,6
58,120025,1,23,20,19,15,11,22,22,21,14,16,15,12,3
59,120030,6,27,21,18,18,21,14,10,4,3,7,9,16,1
60,120032,0,0,0,3,2,2,3,2,0,1,0,1,3,1
61,120033,1,10,10,6,4,19,20,112,138,5,17,5,2,1
62,120034,0,6,31,13,11,8,8,10,6,2,5,3,4,0
63,120035,0,14,15,1,4,2,2,4,1,3,2,3,3,3
64,120038,1,22,22,41,27,14,14,7,6,7,8,12,12,1
65,120080,1,11,14,7,17,17,17,8,7,8,3,8,10,0
66,120039,0,3,7,6,1,4,1,2,4,2,8,9,3,1
67,120040,25,399,448,420,409,439,348,337,308,265,281,298,223,45
68,120042,0,13,12,10,2,6,5,5,6,6,7,5,7,1
69,120043,0,0,0,1,3,1,0,2,1,3,1,1,0,0
70,120050,0,29,40,87,87,80,100,62,94,121,122,97,47,12
71,120045,4,25,25,21,25,26,16,17,17,10,9,15,16,2
72,120060,1,34,18,21,12,25,29,32,26,21,32,30,24,2
73,120070,0,28,30,35,49,56,41,65,21,21,36,48,24,3
74,130002,0,5,2,1,1,3,4,8,15,5,6,19,30,4
75,130006,9,72,40,21,1,0,0,0,0,0,0,2,5,3
76,130008,1,0,6,3,3,1,1,0,4,2,2,3,6,0
77,130010,0,11,23,19,10,5,1,0,3,2,10,17,26,8
78,130014,1,16,13,14,17,14,15,18,19,10,10,18,11,5
79,130020,0,4,1,5,3,0,0,0,3,0,1,1,6,1
80,130030,2,12,3,27,21,14,10,6,11,21,12,22,15,4
81,130040,2,8,30,35,19,29,24,29,12,11,20,12,12,2
82,130050,0,16,17,13,19,2,12,6,12,15,12,15,9,1
83,130060,0,1,7,8,1,6,5,12,1,1,0,7,4,1
84,130063,1,8,1,3,0,4,10,4,2,8,10,8,7,2
85,130068,0,19,5,10,10,18,10,1,1,22,12,8,12,3
86,130070,4,11,32,22,32,45,36,35,45,35,29,39,32,10
87,130080,0,18,13,7,19,29,37,13,26,34,33,43,86,29
88,130083,0,1,4,1,1,8,8,5,10,5,4,6,11,14
89,130090,0,12,11,5,1,0,0,2,3,3,18,15,9,5
90,130100,2,21,19,23,4,13,12,7,12,12,11,15,17,6
91,130110,2,21,14,9,10,2,6,24,34,15,18,19,29,10
92,130115,0,0,4,1,1,0,1,1,2,5,5,17,5,4
93,130120,3,49,25,56,16,1,33,25,40,39,23,37,23,12
94,130130,19,59,8,59,47,21,25,20,28,42,40,37,23,10
95,130140,0,18,12,11,17,4,18,6,8,5,16,19,36,10
96,130150,0,5,3,1,5,3,3,2,3,5,18,5,5,3
