,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,1,5,7,2,1,1,3,1,0,1,1,0,1,0
1,110037,0,0,0,1,0,0,0,2,0,1,0,0,2,1
2,110040,0,0,1,5,2,0,0,2,1,2,0,0,2,0
3,110034,0,3,1,2,0,0,1,2,0,0,0,0,2,0
4,110002,0,7,8,10,18,8,11,11,1,8,12,2,8,1
5,110045,0,0,1,2,2,2,2,0,1,1,1,0,0,0
6,110060,0,0,3,1,0,1,0,0,0,0,0,0,1,0
7,110004,0,3,2,2,7,15,6,5,3,11,8,3,2,0
8,110070,0,3,3,4,4,0,2,1,0,0,0,0,1,0
9,110080,0,10,20,18,12,3,7,1,2,4,5,1,9,2
10,110005,0,0,2,1,0,1,0,2,1,1,0,3,2,0
11,110092,0,3,4,2,1,0,0,0,0,0,2,0,0,0
12,110006,0,1,2,1,1,0,0,1,0,0,0,2,1,0
13,110007,0,2,0,0,1,0,0,0,0,0,0,0,0,1
14,110008,0,1,2,0,2,2,0,0,0,0,0,0,0,0
15,110094,0,0,0,1,0,0,0,0,2,0,1,0,0,0
16,110009,0,2,2,0,2,2,2,1,0,0,0,2,1,1
17,110100,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,110010,0,1,4,0,2,1,1,1,0,1,0,1,1,2
19,110110,0,7,3,1,0,0,0,0,1,0,0,0,1,0
20,110011,0,11,9,5,4,6,2,1,1,0,0,1,0,1
21,110012,0,4,4,5,7,2,2,0,1,2,2,2,2,1
22,110013,0,2,4,0,2,1,1,1,1,2,3,1,1,0
23,110120,0,3,0,1,0,1,0,0,0,0,1,0,1,0
24,110130,0,1,0,2,0,1,1,2,0,0,3,0,0,0
25,110140,0,1,5,13,7,4,1,0,2,0,0,1,1,0
26,110014,0,4,1,1,1,0,3,0,0,0,0,0,0,0
27,110033,0,1,0,1,0,0,0,0,0,1,2,1,3,3
28,110143,0,0,3,0,2,1,1,0,0,0,0,0,1,0
29,110050,0,3,1,1,1,1,0,0,0,0,0,0,1,0
30,110015,0,0,2,5,6,0,0,1,1,4,3,2,1,0
31,110145,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,110018,0,2,5,6,14,7,6,4,5,0,1,1,1,2
33,110146,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,110020,3,81,172,141,137,34,35,22,11,27,25,12,34,2
35,110025,0,0,2,1,2,1,0,0,1,0,0,0,1,0
36,110147,0,0,0,0,2,1,0,0,0,0,0,0,0,0
37,110026,0,0,1,1,0,0,0,0,0,1,1,0,0,0
38,110028,0,6,5,3,3,2,5,3,2,1,2,0,5,2
39,110029,0,0,0,0,0,1,0,0,0,1,2,2,4,0
40,110148,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,110149,0,0,0,0,0,0,0,0,0,0,0,1,4,0
42,110032,0,3,2,0,1,0,1,0,0,0,0,1,1,1
43,110150,0,0,0,0,1,1,0,1,2,0,0,1,0,0
44,110155,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,110160,0,1,0,2,0,1,1,0,0,0,0,0,0,0
46,110170,0,1,1,1,1,0,1,0,1,1,0,0,0,0
47,110175,1,0,2,0,2,0,0,1,0,0,0,1,0,0
48,110180,0,0,2,0,0,0,0,0,0,0,0,0,0,0
49,110030,0,13,9,4,2,3,1,1,1,0,0,1,2,0
50,120001,0,1,0,0,0,0,1,0,0,3,1,1,1,0
51,120010,0,2,0,3,0,0,0,1,0,0,1,0,0,0
52,120013,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,120017,0,0,0,0,0,0,0,0,0,1,1,1,0,0
54,120020,0,46,22,14,3,3,4,0,0,1,9,12,4,2
55,120025,0,0,0,0,0,0,0,0,0,1,0,0,2,0
56,120030,0,0,0,0,0,2,1,0,0,0,0,0,0,0
57,120033,0,0,0,0,1,2,0,0,1,1,1,1,1,0
58,120034,1,1,0,0,0,0,0,1,1,0,0,1,2,0
59,120035,0,1,0,0,0,0,0,0,0,0,0,1,1,0
60,120038,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,120080,0,0,0,0,1,0,0,0,2,0,0,2,0,0
62,120039,0,1,0,0,0,0,0,0,0,0,2,2,0,1
63,120040,2,7,8,11,22,23,27,21,20,40,13,12,16,4
64,120042,0,0,2,1,0,1,0,0,0,0,1,1,4,2
65,120050,0,0,1,4,0,1,1,1,4,3,3,0,1,0
66,120045,0,0,0,0,2,1,2,0,2,0,0,0,2,0
67,120060,0,0,1,1,3,0,3,0,4,0,5,5,7,0
68,120070,0,0,0,0,1,1,1,1,1,1,1,0,2,0
69,130002,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,130006,0,0,0,0,0,0,0,0,0,1,3,0,0,0
71,130014,0,12,0,1,0,0,0,0,0,0,0,0,0,0
72,130040,0,0,0,0,0,1,0,0,0,0,0,0,0,1
73,130070,0,0,1,0,0,4,0,2,4,1,2,0,1,0
74,130080,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,130083,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,130100,0,0,0,0,1,0,0,0,0,0,0,0,1,0
77,130110,0,0,0,0,0,0,1,2,1,0,0,0,0,0
78,130120,0,2,0,0,1,1,1,0,0,0,0,0,1,0
79,130140,0,0,0,0,0,0,1,1,0,0,0,1,0,0
80,130150,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,130165,0,2,1,1,2,0,0,0,0,1,2,2,1,0
82,130170,0,3,0,0,2,0,3,1,2,1,1,0,3,0
83,130180,0,1,0,1,2,1,3,0,0,0,0,0,0,0
