,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,2,3,2,2,4,3,3,2,8,2,1,4,0
1,110037,0,0,1,0,0,1,0,0,2,2,2,2,1,0
2,110040,0,0,1,2,0,1,3,0,1,0,2,3,4,0
3,110034,0,1,1,6,1,1,1,0,3,2,0,3,3,0
4,110002,0,7,4,11,4,9,11,15,8,11,16,16,22,5
5,110045,0,2,1,2,1,2,1,4,3,3,2,0,2,1
6,110003,0,1,2,1,0,0,0,0,0,1,0,1,0,0
7,110060,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8,110004,0,24,14,3,12,10,6,17,10,9,15,23,8,8
9,110070,0,0,0,0,1,0,1,0,2,2,2,1,0,0
10,110080,0,1,1,1,0,1,1,3,3,4,5,2,2,0
11,110090,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,110005,1,3,2,2,1,3,6,6,8,0,3,1,1,0
13,110092,0,0,1,1,1,0,0,0,0,1,1,0,0,0
14,110006,1,0,2,2,1,2,2,1,2,0,1,3,0,1
15,110007,0,0,0,0,0,0,2,0,1,0,0,2,0,0
16,110008,0,0,2,2,1,2,0,4,1,1,6,2,1,0
17,110094,0,0,0,0,2,2,1,0,2,1,1,1,1,1
18,110009,0,2,4,7,5,4,0,1,9,1,7,9,9,2
19,110100,0,0,0,0,0,3,0,1,1,0,1,1,0,0
20,110010,2,7,11,7,15,1,3,7,9,8,9,5,6,3
21,110110,0,0,1,0,0,0,0,0,0,1,0,0,2,0
22,110011,0,6,5,5,5,19,14,8,11,5,8,6,16,3
23,110012,0,32,27,13,21,22,27,12,22,44,20,22,30,9
24,110013,0,3,7,2,1,2,0,4,0,2,1,3,2,0
25,110120,0,1,1,0,1,0,4,1,1,1,0,1,0,0
26,110130,0,2,4,1,1,1,1,1,4,0,0,1,1,2
27,110140,0,0,0,1,0,1,0,3,0,0,0,1,1,1
28,110014,0,1,0,0,1,1,0,3,1,1,3,5,2,1
29,110033,0,4,4,7,2,5,5,6,3,4,4,4,4,3
30,110143,0,2,0,1,0,1,0,1,1,0,2,2,0,0
31,110050,0,1,0,0,1,0,1,0,2,0,1,2,2,1
32,110015,0,1,9,6,9,13,10,8,5,4,7,6,4,1
33,110145,0,0,0,0,1,0,0,0,0,1,1,1,0,0
34,110018,0,12,16,8,7,9,6,9,7,13,8,19,16,4
35,110146,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,110020,0,31,36,29,32,35,76,45,32,58,81,49,65,12
37,110025,0,3,1,2,3,3,3,2,4,3,2,4,2,3
38,110147,0,1,2,1,1,0,0,1,1,1,1,0,1,0
39,110026,0,0,1,0,0,0,0,0,0,1,1,0,0,0
40,110028,0,5,9,3,1,3,8,5,1,4,4,9,6,1
41,110029,0,0,0,0,1,1,0,1,1,0,0,1,1,0
42,110148,0,0,0,0,0,1,1,2,0,1,1,2,3,0
43,110149,0,0,0,0,0,0,0,2,3,2,3,3,3,1
44,110032,0,5,3,3,4,3,3,4,3,4,8,2,2,2
45,110150,0,1,1,1,3,0,0,2,2,2,2,2,2,0
46,110155,0,1,1,0,0,0,1,0,0,0,0,0,0,0
47,110160,0,0,2,1,1,3,3,1,0,2,0,3,1,1
48,110170,0,1,2,2,2,2,0,0,0,2,1,1,1,0
49,110175,0,0,3,0,2,3,0,0,2,1,0,0,5,0
50,110180,0,1,3,1,0,0,0,0,1,1,1,0,4,1
51,110030,0,16,12,6,1,5,4,3,3,6,3,10,4,2
52,120001,0,0,1,1,0,3,1,0,0,3,1,0,3,0
53,120005,0,1,0,2,2,2,1,2,0,1,0,0,0,0
54,120010,0,2,0,4,4,7,4,6,3,9,4,2,8,1
55,120013,0,0,1,1,2,3,1,2,0,0,0,1,1,0
56,120017,0,0,1,0,1,0,0,1,1,0,1,1,0,1
57,120020,2,18,14,21,10,6,6,2,1,5,7,5,11,1
58,120025,0,0,0,0,2,5,2,2,3,2,1,0,0,1
59,120030,0,3,2,2,5,0,3,0,0,2,2,2,2,2
60,120032,0,0,0,0,1,1,0,0,1,0,0,2,0,0
61,120033,0,0,1,0,2,0,1,0,0,0,0,2,1,1
62,120034,0,0,1,1,0,1,2,0,0,1,1,1,5,1
63,120035,0,0,1,3,0,0,0,0,1,2,0,1,1,0
64,120038,0,2,1,2,2,0,0,2,1,1,2,3,3,0
65,120080,0,2,2,1,3,0,0,1,2,0,1,1,6,0
66,120039,0,1,1,0,0,0,0,0,0,0,1,0,1,0
67,120040,13,43,30,36,69,68,58,59,60,55,54,44,59,11
68,120042,0,0,3,5,0,0,1,1,0,0,0,0,0,0
69,120043,0,0,0,0,0,3,0,0,2,0,1,0,0,0
70,120050,2,10,7,5,2,7,3,2,3,2,1,3,4,2
71,120045,0,0,1,0,2,3,4,3,4,2,1,4,6,1
72,120060,0,3,4,1,3,5,5,0,5,2,1,3,1,1
73,120070,0,0,1,1,3,5,4,0,1,1,1,1,3,2
74,130002,0,1,0,3,2,1,0,2,0,1,0,0,0,0
75,130006,0,0,0,0,0,0,0,1,0,2,0,1,2,0
76,130008,0,1,1,0,0,2,0,0,0,0,0,0,1,0
77,130010,0,0,1,0,0,0,0,1,0,1,0,1,1,0
78,130014,0,0,1,0,0,1,0,4,9,4,8,4,6,3
79,130020,0,0,0,0,0,0,0,0,1,1,1,0,2,1
80,130030,3,3,2,1,1,0,2,1,1,2,1,2,3,0
81,130040,0,2,5,3,1,2,5,2,1,3,0,8,0,1
82,130050,1,1,2,1,2,0,3,3,4,0,1,2,1,0
83,130060,0,0,0,0,0,2,0,2,3,3,3,3,2,3
84,130063,0,0,0,2,1,0,1,1,2,0,1,0,2,1
