,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,1,1,1,4,7,3,12,11,8,5,8,7,5
1,110037,0,0,1,1,4,12,6,9,4,4,5,5,3,1
2,110040,0,3,13,20,10,13,17,26,20,23,20,21,25,7
3,110034,0,0,10,11,18,17,11,9,13,12,11,12,7,2
4,110002,0,28,27,57,33,29,62,118,141,106,100,86,122,39
5,110045,0,1,2,3,2,8,49,58,44,55,45,26,48,16
6,110003,0,1,5,0,0,2,1,0,0,2,2,7,3,1
7,110060,0,1,1,0,0,2,2,3,1,0,2,3,1,0
8,110004,0,36,45,64,90,80,126,122,115,108,114,63,105,32
9,110070,0,1,1,0,2,2,9,8,2,7,11,9,10,4
10,110080,0,2,3,6,3,17,19,25,8,4,7,18,26,4
11,110090,0,0,0,1,1,3,0,1,0,0,1,1,1,0
12,110005,2,9,7,3,1,3,6,10,7,5,1,1,3,1
13,110092,2,7,1,1,0,0,0,2,3,0,1,3,1,0
14,110006,2,5,2,1,3,1,1,0,6,7,3,6,7,7
15,110007,1,4,0,0,0,0,0,0,2,0,2,1,1,2
16,110008,1,0,0,1,1,1,6,3,12,8,9,14,7,3
17,110094,0,0,1,1,4,6,0,8,5,11,62,22,21,1
18,110009,0,0,5,12,18,27,37,48,56,70,78,67,21,11
19,110100,0,1,2,3,7,8,7,18,11,5,3,5,2,0
20,110010,0,3,16,38,20,22,27,40,38,43,53,76,84,27
21,110110,0,1,0,2,0,6,1,1,2,6,1,4,6,0
22,110011,0,27,24,43,29,37,60,100,119,108,116,117,90,25
23,110012,0,15,22,63,42,39,61,58,59,43,37,19,43,18
24,110013,0,5,6,3,3,4,15,21,15,6,52,40,23,6
25,110120,0,0,1,6,12,8,15,11,12,8,2,4,7,1
26,110130,0,0,1,3,2,5,7,6,5,13,20,7,8,2
27,110140,0,0,0,1,0,1,7,40,2,7,16,21,20,9
28,110014,0,1,1,0,7,1,2,1,0,5,11,5,11,6
29,110033,0,1,30,40,25,28,42,37,29,26,31,42,53,19
30,110143,0,1,0,7,2,2,1,1,12,3,5,0,2,0
31,110050,0,1,4,7,14,2,12,15,8,3,7,5,3,2
32,110015,0,25,29,44,32,23,45,69,75,57,46,49,27,0
