,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,110037,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,110040,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,110034,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,110002,0,0,0,0,0,0,0,1,1,1,0,2,1,0
5,110045,0,0,0,0,0,0,1,0,2,2,0,0,0,0
6,110060,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,110004,0,0,0,0,3,4,0,1,0,0,0,0,0,0
8,110070,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,110080,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,110005,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11,110008,0,0,0,0,0,0,0,2,0,0,0,0,1,0
12,110094,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,110009,0,0,0,0,0,2,2,0,0,0,0,0,0,0
14,110100,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,110010,0,0,0,0,0,0,0,1,2,0,0,0,0,0
16,110011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,110012,0,1,1,0,0,0,0,0,2,0,0,0,0,0
18,110013,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,110120,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,110140,0,0,0,0,0,0,0,1,2,0,1,1,0,0
21,110014,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,110033,0,0,1,0,0,0,0,0,0,0,0,1,2,1
23,110050,0,0,0,0,0,0,0,0,0,0,2,0,0,0
24,110015,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,110145,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,110018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,110020,1,2,6,0,0,0,5,0,11,3,5,5,6,1
28,110028,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,110029,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,110032,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,110150,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,110030,0,0,0,0,0,0,0,0,0,0,1,2,0,0
33,120010,0,0,0,1,0,0,0,0,0,0,1,0,0,0
34,120020,0,0,0,0,0,0,0,1,0,7,0,0,0,0
35,120025,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,120030,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,120033,0,0,0,0,0,1,0,0,0,1,0,0,0,0
38,120035,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,120038,0,0,0,1,0,1,0,0,0,0,0,0,0,0
40,120080,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,120039,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,120040,0,2,0,0,0,0,0,2,1,0,0,0,1,0
43,120042,0,0,0,0,0,0,0,0,0,1,3,1,3,0
44,120045,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45,120070,0,0,0,0,1,0,0,0,0,0,0,0,0,0
