,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,1,0,0,0,3,1,0,0
1,110037,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,110002,0,2,1,0,0,0,0,2,0,3,0,0,3,0
3,110045,0,0,0,0,1,0,2,1,0,0,0,2,0,1
4,110060,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5,110004,0,0,0,0,0,0,0,9,0,0,0,8,4,0
6,110080,0,0,0,0,0,0,1,1,1,0,1,0,0,0
7,110006,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,110008,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,110094,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10,110009,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,110100,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,110010,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13,110110,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,110011,0,1,1,0,0,0,0,1,0,1,0,0,0,0
15,110012,0,0,0,1,1,0,0,1,2,0,2,2,1,1
16,110013,0,0,0,0,0,0,0,0,0,0,1,1,1,0
17,110130,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,110140,0,0,0,0,0,0,0,1,0,0,0,2,1,0
19,110014,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,110033,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,110050,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,110015,0,0,1,1,1,0,1,3,4,0,0,1,0,0
23,110018,0,0,0,0,0,0,1,0,2,0,0,0,0,0
24,110146,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,110020,0,3,10,2,4,2,8,20,8,14,8,12,12,3
26,110025,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,110028,0,0,0,0,1,0,0,2,0,0,1,0,0,0
28,110032,0,0,0,0,1,0,0,0,0,0,2,1,0,0
29,110155,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,110160,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,110170,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,110030,0,0,0,0,0,0,0,0,2,2,2,0,0,0
33,120001,0,0,0,0,0,1,11,2,0,1,0,0,0,1
34,120010,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35,120013,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,120017,0,0,0,0,0,0,0,0,1,1,0,0,0,0
37,120020,0,0,1,0,0,0,1,2,0,3,5,3,4,3
38,120025,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,120030,0,2,0,0,2,1,6,7,0,0,1,0,1,0
40,120032,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,120033,0,0,0,0,0,0,0,0,2,0,1,0,0,0
42,120034,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,120035,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,120038,0,0,0,0,0,0,0,1,1,0,0,0,1,0
45,120080,0,0,0,0,1,0,0,1,4,1,0,0,0,0
46,120039,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,120040,0,7,35,9,12,13,10,26,32,13,9,16,10,7
48,120042,0,0,0,0,0,0,0,0,0,0,0,1,1,0
49,120043,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,120050,0,0,1,2,0,3,0,7,2,2,1,1,0,0
51,120045,0,0,0,0,1,1,0,2,0,2,0,4,2,0
52,120060,0,0,1,0,3,2,3,9,3,4,0,0,6,0
53,120070,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,130030,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,130050,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56,130060,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,130068,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,130070,0,0,1,0,0,2,0,2,4,0,0,0,3,1
59,130080,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,130090,0,2,0,0,0,0,0,0,0,0,1,0,0,0
61,130100,0,0,0,0,0,0,0,0,2,0,0,0,0,0
62,130110,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,130120,0,1,0,1,0,1,0,1,0,0,0,1,4,0
64,130130,0,0,0,0,0,2,0,0,0,0,0,0,0,0
65,130150,0,1,1,0,1,0,0,0,0,0,0,0,1,0
66,130160,0,0,2,0,1,0,0,0,0,0,0,0,0,3
67,130165,0,0,0,0,0,0,0,0,1,0,0,1,3,0
68,130170,0,0,0,0,0,0,0,1,0,1,0,0,0,0
69,130185,0,0,0,0,0,0,0,0,0,0,0,2,0,0
70,130190,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,130230,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,130240,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,130250,0,0,0,1,0,0,2,0,0,3,1,0,0,0
74,130260,0,1,1,7,29,20,26,34,40,24,33,18,20,3
75,130270,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,130290,1,0,0,0,0,0,1,0,0,1,0,0,0,0
77,130300,0,0,0,0,0,0,0,0,0,0,0,1,3,0
78,130310,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,130320,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,130340,0,1,0,0,0,1,3,0,2,4,0,2,1,0
