,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,1,7,6,0,4,5,1,2,0,2,2,0,7,0
1,110037,0,1,0,0,0,2,1,2,1,0,0,1,1,0
2,110040,0,3,1,0,0,0,0,0,2,0,0,1,2,0
3,110034,0,0,0,0,1,0,0,1,0,0,1,0,0,0
4,110002,0,8,10,4,2,3,4,5,4,3,6,5,9,6
5,110045,0,3,0,2,1,2,2,5,1,2,3,3,4,3
6,110003,0,2,0,0,1,0,0,0,1,0,0,1,1,0
7,110060,0,0,2,0,0,0,0,1,0,0,0,0,0,0
8,110004,0,6,16,7,9,24,15,31,23,25,27,48,36,1
9,110070,0,0,3,2,0,1,2,2,0,0,0,0,0,1
10,110080,0,2,0,0,1,0,2,4,3,2,1,4,2,1
11,110090,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,110005,0,2,0,1,3,1,0,1,1,1,0,1,4,0
13,110092,1,1,0,0,1,0,0,0,0,1,1,0,0,0
14,110006,0,0,0,0,0,2,1,0,1,1,0,0,1,0
15,110007,0,0,1,1,0,0,0,0,0,1,1,1,0,0
16,110008,0,2,0,0,0,1,0,0,0,0,0,1,1,0
17,110094,0,2,0,1,0,0,1,1,2,0,1,0,0,0
18,110009,0,2,2,5,1,2,2,3,8,2,2,1,4,1
19,110100,0,0,1,1,0,0,1,0,1,0,0,0,0,0
20,110010,0,1,2,2,3,3,6,4,7,3,4,7,4,1
21,110110,0,0,2,1,0,0,0,0,1,1,0,0,1,1
22,110011,2,0,5,4,7,3,8,4,2,1,1,5,7,5
23,110012,0,2,5,5,6,3,3,6,13,10,7,16,11,4
24,110013,0,2,1,1,3,2,1,5,8,2,1,2,4,1
25,110120,0,1,4,0,0,2,0,1,0,0,3,2,1,0
26,110130,0,1,2,2,1,1,1,0,2,1,0,0,0,1
27,110140,0,0,0,0,1,4,0,1,0,0,1,0,0,0
28,110014,1,1,0,0,2,0,0,4,0,0,1,3,6,0
29,110033,0,1,1,4,1,0,1,1,0,4,1,12,10,0
30,110143,0,0,2,1,4,0,0,1,0,1,0,2,0,0
31,110050,0,0,0,2,1,0,0,1,0,0,0,0,0,0
32,110015,0,2,2,2,3,2,1,2,4,2,4,2,6,2
33,110018,0,2,2,4,2,4,6,3,10,3,3,2,4,0
34,110146,0,0,0,1,0,0,1,0,0,1,0,0,0,0
35,110020,6,55,26,25,68,52,66,54,70,58,78,86,102,22
36,110025,0,3,0,1,0,0,0,0,3,1,0,3,1,1
37,110147,0,0,1,0,1,3,0,1,0,3,1,0,2,0
38,110026,0,1,0,0,0,0,0,0,0,1,0,0,0,0
39,110028,0,3,3,3,3,3,9,3,6,2,7,6,14,2
40,110029,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,110148,0,1,0,0,2,0,0,0,0,0,0,1,0,0
42,110149,0,1,0,0,0,0,1,1,0,1,1,2,2,1
43,110032,0,2,0,0,0,1,0,0,6,4,0,2,6,2
44,110150,0,0,0,0,1,0,0,0,4,0,0,0,0,0
45,110155,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,110160,0,1,1,0,0,0,0,2,0,0,0,0,0,0
47,110170,0,0,0,0,0,2,0,0,3,0,0,0,1,0
48,110175,0,0,0,0,0,2,0,0,0,1,0,2,1,0
49,110180,0,0,2,0,0,0,0,1,0,0,0,0,0,1
50,110030,1,5,7,6,6,3,5,11,9,9,14,10,13,4
51,120001,0,1,1,1,4,0,1,1,2,1,0,3,2,0
52,120005,0,0,1,1,0,0,0,0,0,1,3,2,1,0
53,120010,0,1,0,1,3,2,2,4,4,1,0,1,0,1
54,120013,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55,120017,0,2,0,1,3,0,0,1,0,0,0,1,1,0
56,120020,0,4,6,11,13,7,5,6,10,7,5,5,8,4
57,120025,0,0,3,0,4,1,0,0,2,1,3,0,0,0
58,120030,0,3,0,3,2,2,1,1,1,1,1,1,2,0
59,120032,0,0,1,0,0,1,0,0,0,0,0,0,1,0
60,120033,0,1,1,2,1,3,0,1,0,1,1,2,2,0
61,120034,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,120035,0,0,0,0,0,3,1,0,0,0,0,0,4,0
63,120038,0,1,2,0,0,0,0,2,0,3,0,1,1,1
64,120080,0,2,1,0,3,4,1,1,1,3,0,2,3,0
65,120039,0,0,0,0,0,0,0,0,0,0,0,4,1,3
66,120040,3,37,24,38,52,39,31,33,28,32,37,33,34,17
67,120042,0,0,1,0,0,0,1,0,0,0,0,0,3,0
68,120043,0,0,0,1,0,0,0,0,0,1,1,0,1,0
69,120050,0,2,1,1,5,5,1,3,0,6,2,0,2,2
70,120045,0,1,1,0,3,1,0,3,1,1,1,1,3,0
71,120060,0,5,1,2,1,1,1,3,1,2,0,0,0,6
72,120070,0,3,0,0,4,0,1,2,2,1,1,1,2,2
73,130002,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,130006,0,0,0,0,0,0,0,0,1,0,0,1,0,0
75,130008,0,0,0,0,0,0,0,0,0,0,0,0,2,0
