,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,2,1,0,0,2,0,0,0
1,110037,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,110040,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,110002,0,3,1,1,7,4,3,2,7,6,5,1,0,1
4,110045,0,0,0,0,0,1,0,0,0,2,3,0,0,0
5,110060,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,110004,0,2,0,0,0,0,2,9,0,3,10,8,21,1
7,110080,0,0,0,0,0,0,1,1,3,3,0,0,0,0
8,110090,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,110005,0,0,1,0,0,0,2,0,0,0,2,0,0,1
10,110092,0,0,0,1,0,0,0,0,1,0,0,3,0,0
11,110006,0,0,0,0,0,0,1,0,0,0,2,0,0,1
12,110007,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,110008,0,0,0,0,0,0,0,0,0,3,0,0,2,0
14,110094,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,110009,0,0,0,0,0,0,2,0,1,0,0,0,0,0
16,110010,0,0,1,0,0,3,0,0,0,1,1,2,7,0
17,110110,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,110011,0,0,1,0,0,1,0,1,0,0,0,0,2,0
19,110012,0,1,4,0,0,1,2,2,0,4,2,5,4,5
20,110013,0,0,0,2,0,0,0,0,0,1,0,1,1,0
21,110120,0,0,0,0,0,0,0,1,0,0,2,0,0,0
22,110130,0,0,0,0,0,0,1,0,0,0,0,1,1,0
23,110140,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,110014,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,110033,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26,110015,0,0,0,0,0,2,0,1,2,0,2,1,1,0
27,110145,0,0,1,1,0,0,0,0,0,0,0,2,0,0
28,110018,0,1,0,1,0,1,0,3,0,0,1,3,1,0
29,110020,0,1,6,7,4,7,9,9,8,20,27,21,18,4
30,110025,0,0,0,0,0,0,0,0,0,1,2,0,0,0
