,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,110037,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,110040,0,0,1,0,1,1,0,0,0,0,0,1,0,0
3,110002,0,0,0,3,1,1,2,2,1,19,1,1,3,0
4,110045,0,0,0,2,0,0,0,1,1,1,0,0,0,0
5,110060,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,110004,0,2,2,1,1,1,0,0,1,1,0,0,4,0
7,110080,0,0,0,1,8,2,0,0,0,1,3,2,3,1
8,110090,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,110094,0,0,1,1,1,0,0,0,0,0,1,0,0,0
10,110100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,110010,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,110110,0,0,0,2,0,0,0,0,1,0,1,0,0,0
13,110011,0,0,0,0,1,0,0,0,1,2,0,7,2,0
14,110012,0,1,1,0,0,0,0,0,1,0,0,0,1,0
15,110013,0,0,0,0,1,0,0,0,0,1,0,1,1,0
16,110130,0,0,0,1,0,0,0,0,2,0,0,0,0,0
17,110140,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18,110014,0,0,0,0,0,2,0,0,1,0,0,0,0,0
19,110020,0,2,3,27,25,17,2,10,11,9,18,25,23,4
20,110147,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,110026,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,110028,0,0,0,0,0,0,0,0,1,0,0,0,2,0
23,110029,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,110149,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25,110032,0,0,0,1,0,0,0,0,0,0,0,0,2,0
26,110150,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,110155,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,110160,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,110170,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,110175,0,0,0,1,0,1,0,0,0,0,0,0,0,0
31,110030,0,0,0,1,0,1,0,1,1,0,0,1,1,2
32,120001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,120020,0,0,0,0,0,0,0,0,0,1,0,1,6,0
34,120030,0,1,0,0,0,2,0,0,1,0,0,0,0,0
35,120033,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,120034,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,120080,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,120040,0,5,0,1,0,1,0,2,2,4,3,2,2,0
39,120042,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,120050,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,120045,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,120060,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,130030,0,1,1,0,0,0,0,0,0,0,0,0,0,0
44,130050,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,130063,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,130070,1,0,0,0,0,0,0,1,0,0,0,0,0,0
47,130080,0,0,0,0,0,0,0,0,0,0,2,0,0,0
48,130110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,130120,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,130165,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,130170,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,130185,0,0,0,0,1,0,1,0,1,1,0,0,0,0
53,130190,0,2,0,0,1,0,0,0,0,0,0,0,0,0
54,130195,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,130240,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,130250,0,2,0,0,0,0,0,0,2,0,0,1,1,0
57,130260,2,94,413,167,29,5,9,19,11,12,11,9,16,1
58,130270,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,130290,0,0,0,0,11,53,84,47,25,16,71,64,62,14
60,130300,0,0,0,0,0,0,0,0,0,0,2,0,0,0
61,130340,0,1,0,0,0,0,0,0,0,0,2,0,0,0
62,130353,0,0,0,0,0,0,0,0,1,0,1,0,1,0
63,130356,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,130370,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,130406,0,0,0,0,0,1,0,1,0,0,0,0,1,0
66,130420,0,0,0,0,0,0,0,0,0,0,1,1,0,0
67,130423,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,130430,0,0,0,0,0,0,0,0,0,0,0,0,2,0
69,130440,0,0,0,0,0,0,1,3,0,0,0,0,0,0
70,140005,0,0,0,2,0,0,0,0,0,0,0,0,0,0
71,140010,0,0,1,2,4,0,1,2,3,3,2,0,2,2
72,140015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,140030,0,0,0,0,0,0,0,2,0,0,0,0,0,0
74,140045,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,140060,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,140070,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,150010,0,2,2,4,0,0,1,1,0,15,84,103,186,65
78,150013,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,150020,0,0,0,0,0,0,0,0,0,0,1,0,3,1
80,150040,0,0,0,0,0,0,0,0,0,1,0,0,1,0
81,150050,0,0,0,0,0,1,0,0,0,0,0,0,1,0
82,150060,0,1,2,1,1,1,0,0,0,1,0,2,5,1
83,150070,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,150080,0,5,2,2,1,1,0,0,2,5,3,0,1,0
85,150090,0,24,29,1,5,1,1,0,0,4,3,4,7,0
86,150095,0,0,0,0,0,3,1,0,0,0,0,19,25,15
87,150120,0,0,0,0,2,0,0,2,0,0,1,0,0,0
88,150125,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,150130,0,0,0,1,1,1,1,0,0,0,1,13,13,0
90,150140,0,24,19,5,11,11,13,4,4,6,8,6,6,1
91,150145,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,150150,0,1,0,2,0,2,1,0,0,0,0,0,1,0
93,150157,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,150160,0,0,0,0,0,0,0,0,0,0,1,0,4,0
95,150170,0,30,13,1,3,4,1,1,7,34,53,99,67,10
96,150180,0,0,1,0,0,1,0,1,1,1,0,0,0,0
97,150190,0,0,0,0,1,0,0,1,0,0,0,0,0,0
98,150195,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,150210,0,1,0,2,6,7,7,9,6,11,3,2,1,0
100,150215,0,0,0,0,0,0,0,0,0,0,0,0,0,1
