,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,110002,0,0,0,0,0,0,0,0,1,2,1,0,2,0
2,110004,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,110008,0,0,2,0,0,0,0,0,0,0,0,0,1,0
4,110009,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,110010,0,0,0,0,0,0,1,0,2,0,0,0,0,0
6,110110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,110012,0,2,0,1,0,0,0,9,1,1,0,1,1,3
8,110013,0,0,0,0,0,0,0,0,0,0,0,5,4,0
9,110014,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,110033,0,0,0,0,1,0,0,1,0,0,0,1,0,0
11,110050,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,110015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,110020,1,0,1,1,2,1,4,6,4,1,3,6,3,0
14,110025,0,0,0,0,0,0,0,2,2,0,0,0,0,0
15,110026,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,110032,0,0,0,0,0,0,0,0,0,1,1,0,1,0
17,110155,0,0,0,0,0,0,0,0,0,2,0,0,0,0
18,110030,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19,120005,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20,120010,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,120013,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,120020,0,2,0,0,1,5,11,1,0,1,1,0,1,0
23,120025,0,0,0,0,0,0,0,0,0,0,3,0,0,0
24,120030,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,120033,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,120080,0,0,0,0,0,0,0,0,0,2,2,0,0,0
27,120040,0,2,3,4,1,0,2,0,1,1,1,5,8,11
28,120050,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,120060,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,120070,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,130002,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,130040,0,0,0,0,0,0,0,0,0,0,0,0,3,1
33,130063,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,130070,0,0,0,0,0,0,0,0,0,0,0,0,2,0
35,130115,0,0,0,0,0,0,0,0,0,0,3,0,0,0
36,130120,0,0,0,0,0,0,0,0,0,0,0,1,6,0
37,130160,0,0,0,0,0,0,0,0,0,0,0,0,2,0
38,130185,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,130200,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,130230,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,130240,0,0,0,0,0,0,0,0,0,0,0,0,13,0
42,130250,0,1,0,0,1,0,2,0,0,0,0,3,0,0
43,130255,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,130260,4,29,17,22,38,20,27,11,10,13,26,51,32,20
45,130290,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,130310,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,130320,0,0,0,0,0,0,0,0,0,0,8,1,0,0
48,130380,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,130406,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,140010,0,1,0,3,0,2,1,8,6,6,3,3,7,3
51,140017,0,0,0,0,0,0,0,0,3,3,1,0,0,0
52,140030,0,0,0,0,0,0,0,0,2,0,0,0,0,0
