,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,1,2,1,0,0,5,8,3,1
1,110037,0,0,0,0,1,0,0,0,3,4,8,0,1,5
2,110040,0,0,0,0,0,0,3,1,0,0,5,2,2,1
3,110034,0,0,0,0,0,0,0,0,0,2,0,0,3,0
4,110002,0,3,8,6,0,1,0,3,2,5,6,1,5,1
5,110045,0,0,0,0,1,1,2,1,1,2,0,1,0,0
6,110003,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,110060,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,110004,0,2,5,0,3,3,3,11,8,8,8,7,26,9
9,110070,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,110080,0,0,2,0,0,0,0,0,1,0,0,2,3,1
11,110005,0,0,0,0,0,0,0,8,0,0,0,1,0,0
12,110092,0,0,0,0,1,0,0,0,0,0,3,0,0,0
13,110006,0,0,0,3,3,1,0,0,0,2,2,0,0,1
14,110007,0,0,3,5,1,1,0,0,0,0,0,0,0,0
15,110008,0,0,0,0,1,0,0,0,0,1,3,0,0,0
16,110094,0,0,0,0,2,0,0,0,2,0,4,0,0,0
17,110009,0,0,0,0,2,0,1,1,7,0,3,3,0,0
18,110100,0,0,0,1,1,1,0,0,0,0,1,0,1,0
19,110010,0,0,0,0,0,5,0,0,0,2,1,1,2,0
20,110110,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21,110011,0,1,2,0,0,1,1,6,1,7,1,0,1,4
22,110012,0,4,6,5,8,6,10,4,5,5,6,6,8,1
23,110013,0,0,1,0,1,1,2,2,4,2,0,0,0,0
24,110120,0,0,0,0,0,0,1,0,0,0,3,0,0,0
25,110130,0,0,0,0,0,1,0,1,4,0,1,0,0,0
26,110140,0,1,1,0,0,0,0,0,0,3,0,0,1,0
27,110014,0,0,0,0,0,0,0,0,2,2,0,0,4,0
28,110033,0,0,0,0,0,1,1,3,0,0,4,0,1,0
29,110143,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,110050,0,0,0,1,0,0,0,0,0,2,1,0,0,0
31,110015,0,1,0,3,2,5,4,4,1,1,4,5,4,1
32,110145,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,110018,0,0,0,1,0,0,0,0,5,1,5,5,9,2
34,110146,0,0,0,4,0,0,0,0,0,0,0,0,0,0
35,110020,0,4,5,11,7,9,20,15,9,29,13,19,10,7
36,110025,0,0,0,0,1,0,0,0,3,0,1,1,1,0
37,110147,0,0,0,0,1,0,0,0,0,0,3,0,0,0
38,110026,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,110028,0,1,0,5,1,3,2,4,7,1,2,0,2,0
40,110029,0,0,0,0,0,1,0,2,0,1,4,0,0,0
41,110149,0,0,0,0,1,1,0,0,0,0,0,0,5,0
42,110032,0,0,0,0,0,0,2,1,0,1,3,0,2,1
43,110150,0,3,0,2,0,0,0,0,0,1,0,1,0,0
44,110155,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,110160,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,110170,0,0,0,2,0,0,0,0,0,0,0,0,0,0
47,110175,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,110180,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,110030,0,4,0,0,0,1,3,1,2,2,2,5,8,0
50,120001,0,1,1,0,1,0,0,0,0,0,0,0,0,0
51,120005,0,0,0,0,0,0,1,0,0,0,1,0,0,0
52,120010,0,0,0,0,2,1,2,0,1,1,2,1,2,0
53,120017,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,120020,1,2,1,0,2,0,3,1,2,2,2,0,0,0
55,120025,0,0,1,1,0,0,0,0,0,0,1,0,0,0
56,120030,0,2,0,0,0,0,0,0,1,0,0,0,0,0
57,120033,0,0,0,0,0,0,0,0,0,0,3,1,0,0
58,120034,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,120035,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,120038,0,0,0,0,2,0,1,3,0,0,1,0,0,0
61,120080,0,0,0,0,1,2,1,0,0,0,1,0,0,0
62,120040,0,5,4,13,10,6,13,8,6,20,16,13,9,7
63,120042,0,0,0,0,0,0,1,0,0,0,0,0,1,0
64,120050,0,0,2,0,3,0,0,0,0,0,0,4,2,4
65,120045,0,0,0,0,1,0,0,0,1,0,0,0,2,0
66,120060,0,2,0,0,0,0,1,0,0,0,1,1,0,0
67,120070,0,0,0,0,1,0,0,0,0,0,0,0,1,0
68,130010,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,130014,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,130030,0,0,0,0,0,0,0,0,0,0,0,2,0,0
71,130050,0,0,0,1,0,0,0,1,2,4,0,1,1,0
72,130060,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,130068,0,0,0,0,0,0,1,0,0,2,0,0,0,1
74,130070,1,0,0,2,1,0,0,0,0,1,0,0,0,1
75,130080,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,130100,0,0,0,1,1,0,0,0,0,0,0,0,1,0
77,130110,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,130115,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,130120,0,0,0,0,0,0,0,1,0,1,0,0,0,0
80,130140,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,130160,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,130170,0,0,0,0,0,1,1,1,0,0,1,0,0,0
83,130180,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,130185,0,0,0,0,0,0,0,0,1,0,2,1,0,1
85,130190,0,0,0,0,0,0,0,0,0,1,1,0,0,0
86,130240,0,0,0,0,0,0,0,0,0,0,1,0,4,2
87,130250,0,0,0,0,0,0,0,0,0,1,2,0,4,0
88,130260,4,26,44,32,40,44,40,32,58,42,43,53,24,20
89,130270,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,130290,0,0,0,0,0,0,0,1,0,0,5,0,0,0
91,130300,0,0,0,0,0,0,2,1,0,2,1,1,1,1
92,130310,0,0,0,0,0,0,0,0,0,0,0,1,1,0
93,130330,0,0,0,0,0,0,0,0,0,0,1,1,0,0
94,130340,0,9,16,8,10,12,16,14,45,24,34,22,20,12
95,130350,0,0,0,1,0,0,0,1,0,0,0,0,0,0
96,130353,0,0,0,0,0,0,0,0,0,2,3,0,2,0
97,130356,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,130370,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,130380,0,0,0,0,0,0,0,1,0,0,1,1,0,2
100,130395,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,130410,0,0,0,0,0,0,2,0,0,0,0,0,0,0
102,130420,0,0,0,0,0,0,0,0,1,1,1,0,1,0
103,130430,0,0,0,0,0,0,0,0,0,0,1,1,0,0
104,130440,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,140005,0,0,0,0,0,0,0,0,2,0,0,0,0,1
106,140010,0,2,8,10,2,12,9,8,3,5,23,12,13,8
107,140015,0,0,0,0,0,0,0,0,0,1,0,0,0,0
108,140017,0,0,2,0,0,0,1,0,0,0,0,0,0,0
109,140028,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,140030,0,0,0,2,1,1,0,0,0,0,0,0,0,0
111,140045,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,140047,0,0,0,0,0,0,0,0,1,0,0,3,0,0
113,140070,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,150010,0,2,3,8,3,1,1,0,7,7,4,3,0,2
115,150020,0,0,0,0,0,0,2,0,0,0,0,0,0,0
116,150030,0,1,0,1,0,1,1,0,0,0,0,0,0,0
117,150034,0,0,0,0,1,1,0,3,1,0,0,0,1,0
118,150040,0,0,0,0,0,0,0,0,2,0,1,3,2,0
119,150050,0,1,0,1,1,1,0,0,0,0,1,0,0,0
120,150060,0,1,1,2,0,3,4,7,2,6,9,0,3,3
121,150070,0,1,1,0,0,0,0,0,0,0,0,0,0,0
122,150080,0,6,4,4,5,6,4,2,2,5,6,8,5,1
123,150085,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124,150090,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,150100,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,150110,0,0,0,0,0,0,0,1,0,0,2,0,0,0
127,150120,0,0,1,0,1,0,0,0,0,0,0,0,1,0
128,150130,0,1,0,0,0,2,1,1,3,3,2,0,4,1
129,150140,5,18,27,22,20,22,15,30,23,14,16,26,26,9
130,150145,0,0,0,0,0,0,0,0,0,0,0,0,2,0
131,150150,0,1,0,0,0,0,0,0,0,0,0,2,2,0
132,150157,0,0,0,0,2,0,0,0,0,0,0,0,0,0
133,150160,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,150170,0,0,2,2,1,0,0,2,1,0,1,1,3,0
135,150172,0,8,0,0,0,0,0,0,0,0,0,0,0,1
136,150178,0,0,0,0,0,0,0,0,0,2,0,0,2,0
137,150180,0,0,0,1,2,3,3,1,0,3,4,3,1,0
138,150190,0,1,0,1,0,0,0,0,0,0,0,0,0,0
139,150200,0,0,0,0,1,0,0,0,3,0,0,0,0,0
140,150195,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,150210,0,0,3,1,0,2,0,1,1,5,2,0,4,1
142,150215,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,150220,0,1,1,0,1,1,0,1,2,1,1,3,0,0
144,150230,0,0,0,0,0,0,0,0,2,1,0,0,0,0
145,150240,0,1,0,2,2,2,0,6,3,1,2,0,2,2
146,150260,0,0,0,0,0,0,0,0,0,1,0,0,0,0
147,150270,0,1,0,6,2,4,2,0,0,0,4,1,0,0
148,150275,0,0,1,0,0,0,0,0,0,0,1,0,0,0
149,150280,0,0,0,0,0,0,1,1,0,1,0,1,0,0
150,150290,0,1,0,1,0,0,0,0,0,0,0,0,0,0
151,150293,0,0,0,0,0,1,4,0,0,0,0,1,2,0
152,150300,0,1,1,0,0,0,0,0,0,0,0,0,0,0
153,150304,0,0,0,0,0,0,6,3,0,0,0,1,0,0
154,150307,0,0,0,0,0,0,1,0,0,0,0,0,0,0
155,150309,0,1,1,0,0,0,0,0,0,0,0,0,0,0
156,150310,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,150320,0,0,2,0,0,2,4,0,0,0,2,2,0,0
158,150330,0,0,1,1,2,1,0,0,2,0,1,7,1,0
159,150340,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,150345,0,0,0,0,3,0,0,0,0,0,0,0,0,0
161,150350,0,0,0,0,0,0,0,0,0,0,0,0,2,0
162,150360,0,0,0,1,0,1,2,1,0,0,1,6,0,0
163,150370,0,0,0,0,2,7,0,4,1,0,0,1,1,0
164,150375,0,0,0,0,0,0,0,0,0,0,1,0,1,0
165,150380,0,2,2,0,0,0,1,2,0,0,0,0,5,0
166,150390,0,0,0,0,0,0,0,0,0,0,0,1,0,1
167,150405,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,150420,0,0,11,2,4,1,4,8,8,2,1,1,1,1
169,150430,0,0,0,0,2,0,0,1,0,0,0,2,0,0
170,150440,0,0,0,0,0,0,2,0,0,0,0,0,0,0
171,150442,0,0,0,1,1,0,0,2,0,4,5,3,3,0
172,150445,0,0,0,0,0,0,0,0,0,2,2,0,0,1
173,150460,0,1,0,0,0,0,0,0,0,0,0,0,1,0
174,150470,1,0,0,1,0,0,0,1,0,0,0,2,1,0
