,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,1,1,1,0,1,0,0,4,4,5,2,2
1,110037,0,0,0,0,0,2,2,1,1,2,1,0,0,2
2,110040,0,0,0,1,0,0,0,1,1,1,0,1,0,0
3,110034,0,0,1,0,1,0,4,0,1,9,2,1,3,1
4,110002,0,1,3,2,4,3,6,6,10,5,8,10,6,0
5,110045,0,0,1,1,0,0,0,1,2,0,0,0,1,0
6,110003,0,0,0,0,0,0,0,0,0,0,1,2,0,0
7,110060,0,0,0,0,1,0,0,0,0,0,3,0,1,0
8,110004,0,4,0,1,2,14,10,14,13,10,15,22,17,1
9,110070,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,110080,0,0,1,0,0,0,0,6,1,0,5,6,2,0
11,110090,0,0,0,0,0,0,0,0,0,0,4,2,3,0
12,110005,0,0,1,0,0,1,0,1,1,0,2,1,0,0
13,110092,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,110006,0,0,0,1,1,0,1,0,0,3,1,2,5,0
15,110007,0,0,2,0,0,0,0,0,0,0,2,0,0,0
16,110008,0,0,0,0,0,1,0,0,0,0,0,0,1,1
17,110094,0,0,0,0,1,0,1,0,2,0,7,1,0,1
18,110009,0,0,0,2,2,1,2,0,6,0,1,0,1,2
19,110100,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20,110010,0,1,0,0,0,1,3,0,0,0,0,3,3,2
21,110110,0,1,2,1,0,0,0,0,1,2,0,1,0,0
22,110011,0,0,1,4,0,1,4,4,9,4,4,8,2,2
23,110012,0,5,6,7,4,3,4,4,4,12,10,17,10,4
24,110013,0,0,0,1,0,0,0,2,1,1,1,0,8,0
25,110120,0,0,0,0,0,0,1,0,1,1,0,0,0,1
26,110130,0,1,0,1,0,0,0,0,1,1,3,0,1,0
27,110140,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28,110014,0,2,0,0,0,1,0,0,1,2,2,1,0,0
29,110033,0,1,1,0,0,0,1,1,0,3,0,0,1,0
30,110143,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,110050,0,0,0,0,1,0,0,1,1,0,1,0,0,0
32,110015,0,1,0,1,4,1,4,5,6,2,0,1,3,2
33,110145,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,110018,1,0,0,0,1,1,0,1,2,5,10,13,2,3
35,110146,0,0,0,0,0,2,0,0,0,0,0,0,0,0
36,110020,0,9,19,19,22,15,23,36,31,34,31,39,22,8
37,110025,0,0,0,0,0,0,3,3,1,1,4,9,10,1
38,110147,0,0,0,0,2,0,1,3,0,0,1,6,0,0
39,110026,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,110028,0,1,0,2,2,3,6,6,1,7,7,7,12,7
41,110029,0,0,0,0,0,0,7,0,1,0,2,0,0,0
42,110148,0,0,0,0,0,0,0,0,0,0,0,2,0,0
43,110149,0,0,0,0,0,2,0,3,2,1,1,3,0,3
44,110032,0,0,1,1,0,1,2,0,1,4,6,1,1,0
45,110150,0,2,1,0,1,0,1,0,3,1,3,0,1,1
46,110155,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,110160,0,0,0,0,0,2,1,0,0,0,2,0,1,0
48,110170,0,0,0,1,0,0,0,1,0,1,0,2,1,0
49,110180,0,0,0,0,0,0,0,0,0,1,0,0,2,0
50,110030,0,1,1,3,2,1,3,9,4,7,9,11,8,4
51,120001,0,0,0,0,2,3,0,0,0,1,0,0,0,0
52,120005,0,0,0,0,0,0,1,0,0,1,1,0,0,0
53,120010,0,0,0,2,2,0,3,3,2,3,2,0,0,0
54,120013,0,3,0,0,3,0,0,0,0,0,0,0,0,0
55,120017,0,1,2,1,0,1,0,1,0,0,0,0,0,2
56,120020,0,3,4,1,1,1,1,0,4,0,1,3,1,0
57,120025,0,1,0,2,1,1,1,0,1,0,0,0,0,0
58,120030,0,0,1,0,1,0,0,0,2,0,1,1,0,0
59,120032,0,1,0,0,0,0,0,0,0,0,0,0,1,1
60,120033,0,1,0,0,2,0,0,0,0,2,1,0,1,0
61,120034,0,0,0,0,1,0,0,0,0,0,1,0,0,0
62,120035,0,0,0,0,1,0,0,1,2,1,0,0,0,0
63,120038,1,2,1,0,1,4,4,1,1,2,0,0,3,0
64,120080,0,1,0,1,0,0,1,2,2,3,1,0,1,1
65,120039,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,120040,1,20,19,25,35,24,33,37,48,23,36,19,30,8
67,120042,0,1,0,0,0,0,0,1,1,0,0,1,0,0
68,120043,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,120050,0,1,0,0,1,3,2,0,3,1,0,2,2,3
70,120045,0,0,0,1,1,1,1,0,5,2,0,0,1,1
71,120060,0,0,0,0,1,0,0,2,3,0,0,2,1,1
72,120070,0,0,0,1,0,0,0,0,0,1,1,1,3,0
73,130002,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,130006,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,130010,0,0,1,0,0,0,0,0,0,0,1,0,0,0
76,130014,0,0,0,2,0,0,0,0,0,1,0,0,0,0
77,130030,0,1,0,0,0,0,0,0,0,0,1,0,0,0
78,130040,0,0,0,0,0,0,0,0,1,1,1,0,1,2
79,130050,0,0,0,0,0,0,0,0,1,0,0,2,0,0
80,130060,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,130063,0,0,0,0,0,0,0,1,0,1,0,0,0,0
82,130068,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,130070,0,1,0,0,3,1,1,0,3,1,3,0,1,0
84,130080,0,0,0,0,0,0,2,0,0,0,0,0,0,0
85,130083,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,130100,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,130110,0,0,0,0,0,0,0,0,1,0,1,0,1,1
88,130120,0,1,0,0,0,0,0,2,1,0,2,1,0,0
89,130130,0,0,0,0,0,0,0,0,0,0,2,0,0,0
90,130140,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,130150,0,0,0,2,0,0,0,0,0,0,0,0,1,0
92,130160,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,130170,0,1,1,0,0,1,1,2,1,2,1,0,1,0
94,130180,0,0,0,0,0,0,0,0,0,1,0,1,1,0
95,130185,0,1,0,0,0,1,1,0,0,0,2,1,0,1
96,130190,0,0,0,1,0,1,0,0,0,1,0,5,4,0
97,130210,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,130220,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,130230,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,130240,0,0,0,0,0,1,0,0,0,0,1,0,0,0
101,130250,0,0,0,0,0,1,0,2,0,2,3,4,0,0
102,130260,14,136,107,119,86,133,124,56,64,76,101,85,89,22
103,130270,0,0,0,0,0,0,0,0,1,0,1,0,1,0
104,130280,0,0,0,0,0,0,0,0,0,1,1,0,0,0
105,130290,0,0,0,0,0,0,1,0,0,2,1,0,1,0
106,130310,0,0,0,0,0,0,0,0,0,1,1,0,0,1
107,130320,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,130330,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,130340,0,0,1,0,0,0,0,0,1,0,2,2,0,0
110,130350,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,130353,0,0,0,0,0,0,0,0,0,1,0,2,0,0
112,130356,0,0,0,0,0,0,0,2,0,0,2,0,0,0
113,130370,0,0,0,1,2,0,0,0,0,0,0,0,0,0
114,130380,0,0,0,0,0,0,0,0,0,0,2,0,0,0
115,130390,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,130395,0,0,0,0,0,0,0,0,0,0,3,0,0,0
117,130406,0,0,0,0,0,0,1,1,4,2,2,1,0,1
118,130410,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,130420,0,1,1,0,0,0,0,0,1,1,3,1,0,0
120,130423,0,0,0,0,0,0,0,0,0,0,1,1,0,0
121,130426,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,130440,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,140005,0,0,2,0,1,0,2,0,2,3,2,1,2,0
124,140010,0,7,11,22,17,10,15,10,17,29,30,40,22,13
125,140015,0,0,0,0,0,1,0,0,1,0,1,1,2,0
126,140017,0,0,1,2,0,0,0,0,0,0,1,4,0,0
127,140020,0,0,0,1,0,0,0,3,0,0,0,1,2,0
128,140023,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,140028,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,140030,0,0,0,3,0,0,1,0,1,2,1,2,4,3
131,140040,0,0,0,0,1,0,0,0,0,0,0,0,1,0
132,140045,0,0,0,0,0,0,0,0,0,0,0,0,1,1
133,140047,0,0,0,0,0,0,1,0,0,0,0,2,1,0
134,140070,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,150010,2,10,6,9,5,8,7,5,8,11,8,11,4,2
136,150020,0,1,1,0,1,2,0,1,1,0,1,0,4,0
137,150030,0,1,0,1,0,1,0,0,1,1,0,0,0,0
138,150034,0,0,0,2,0,0,0,1,2,0,0,1,0,0
139,150040,0,1,0,1,2,1,1,0,0,0,2,3,1,0
140,150050,0,1,0,1,0,1,1,0,0,2,1,0,0,0
141,150060,0,2,4,6,7,2,5,1,1,3,12,6,2,3
142,150070,0,0,0,0,0,0,0,0,2,0,0,4,0,1
143,150080,1,17,9,12,9,11,16,12,11,10,7,13,17,4
144,150085,1,0,1,0,0,0,0,0,0,0,0,2,0,0
145,150090,0,1,1,3,3,0,1,0,2,0,1,1,1,0
146,150095,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,150100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,150110,0,0,0,0,3,0,0,2,0,0,0,1,0,0
149,150120,0,0,0,1,0,0,0,0,0,0,2,0,0,0
150,150125,0,0,0,0,0,0,0,0,5,0,0,1,0,0
151,150130,0,3,3,3,4,6,1,2,2,5,5,2,2,1
152,150140,4,65,93,75,69,36,41,37,38,59,60,62,85,15
153,150145,0,1,1,0,1,1,0,1,0,6,1,0,2,0
154,150150,0,3,1,3,2,1,0,0,1,2,0,0,3,0
155,150157,0,0,1,1,3,0,2,0,0,0,0,0,0,0
156,150160,0,0,0,0,0,0,2,0,0,0,3,2,3,1
157,150170,0,4,6,2,4,2,0,2,0,1,2,6,2,1
158,150172,0,0,1,0,0,0,0,0,0,0,1,1,0,0
159,150175,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,150178,0,3,0,0,0,2,0,0,0,3,0,1,3,0
161,150180,0,3,2,1,4,1,3,6,1,3,4,2,4,0
162,150190,0,0,0,1,1,0,0,0,1,0,1,0,2,0
163,150200,0,1,0,0,1,0,3,5,0,1,0,0,1,1
164,150210,0,4,1,3,5,3,4,3,2,4,14,4,1,0
165,150220,1,3,6,3,2,2,0,1,0,0,0,0,3,2
166,150230,0,0,0,0,1,2,0,0,3,0,0,1,0,0
167,150240,1,5,10,10,7,2,3,3,5,2,7,4,3,4
168,150250,0,0,1,0,0,0,0,0,0,1,0,0,1,0
169,150260,0,0,0,0,0,0,0,0,1,3,0,0,0,1
170,150270,0,0,0,0,0,5,0,1,0,0,1,2,0,0
171,150275,0,4,2,0,0,3,0,3,2,0,1,0,1,0
172,150276,0,0,0,1,0,0,0,0,0,0,0,0,1,0
173,150277,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,150280,0,1,0,0,2,0,0,0,0,1,2,0,0,0
175,150285,0,0,0,0,0,0,0,0,0,0,0,0,2,0
176,150290,0,1,3,0,0,0,0,1,1,0,0,0,1,0
177,150293,0,0,3,0,0,0,0,2,3,0,0,1,1,0
178,150295,0,0,1,0,3,3,0,0,2,0,0,0,1,0
179,150304,0,2,0,0,0,0,0,0,0,0,1,3,0,0
180,150307,0,0,0,0,0,0,1,0,1,0,0,0,3,0
181,150309,0,1,2,5,0,2,2,2,0,1,3,0,1,0
182,150310,0,0,0,1,0,0,1,1,0,0,0,1,3,0
183,150320,0,1,1,1,0,0,1,0,0,1,1,1,0,0
184,150330,1,18,2,0,2,0,2,5,0,1,3,2,0,1
185,150340,0,1,0,0,2,1,1,0,0,1,0,0,0,0
186,150345,0,1,0,1,2,0,0,0,1,0,0,0,0,0
187,150350,0,0,1,2,1,1,1,0,0,0,0,1,1,0
188,150360,0,2,0,0,0,1,0,1,0,0,0,0,4,0
189,150370,0,0,0,1,1,2,2,0,1,0,2,1,1,0
190,150375,0,0,1,0,0,1,0,0,0,0,0,0,0,1
191,150380,0,0,0,1,4,1,3,2,1,0,0,1,1,2
192,150390,0,0,0,0,0,0,0,0,0,0,1,0,3,0
193,150400,0,2,0,0,3,2,1,1,1,1,0,2,2,2
194,150405,0,0,0,0,0,1,2,0,0,0,5,0,2,0
195,150410,0,0,0,0,0,0,1,0,0,2,0,0,1,0
196,150420,2,13,2,9,9,2,3,1,3,5,5,5,11,2
197,150430,0,0,2,0,2,1,0,1,2,2,0,0,0,0
198,150440,0,1,1,2,1,0,1,0,0,0,0,0,1,0
199,150442,1,7,3,0,1,3,2,5,3,1,0,3,2,0
200,150445,0,1,0,1,3,1,0,0,0,0,1,3,0,0
201,150450,0,0,0,0,0,0,1,0,3,0,0,0,0,0
202,150460,0,1,0,1,1,1,0,1,2,1,0,5,1,0
203,150470,0,1,3,1,2,0,3,1,2,1,1,5,2,0
204,150480,0,0,2,2,5,3,0,1,1,0,1,0,4,1
205,150490,0,1,0,1,0,0,2,1,6,4,1,0,1,0
206,150500,0,0,0,1,3,1,0,0,0,0,2,1,0,0
207,150503,1,1,1,3,0,1,0,1,0,2,0,0,3,0
208,150506,0,1,0,1,2,0,1,0,0,0,2,2,0,0
209,150510,0,0,1,0,1,0,0,0,0,1,1,1,3,0
210,150520,0,0,0,0,2,0,0,0,0,0,2,1,0,0
211,150530,0,1,3,0,1,0,0,1,1,0,0,1,2,1
212,150540,0,0,1,0,0,0,0,0,0,0,3,0,0,0
213,150543,0,1,0,1,0,1,1,0,1,0,4,0,0,0
214,150548,0,0,3,0,0,0,0,2,1,0,1,1,2,0
215,150549,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,150550,8,3,9,2,0,2,0,0,8,4,7,13,5,4
217,150553,0,6,6,0,4,2,6,2,3,4,5,12,4,0
218,150555,0,0,0,0,0,0,0,0,0,1,2,1,0,0
219,150565,0,0,1,0,0,0,0,0,0,0,0,2,1,0
220,150570,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,150580,0,0,1,1,0,1,4,2,2,0,0,1,0,0
222,150590,0,1,0,1,0,2,2,0,0,0,0,4,1,0
223,150600,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,150610,0,0,0,0,0,1,1,0,2,1,0,0,0,0
225,150611,0,0,2,0,0,1,0,0,0,0,2,0,0,0
226,150613,2,9,2,2,6,2,2,6,5,1,2,2,3,0
227,150616,0,1,0,2,0,1,0,1,0,0,0,0,0,0
228,150618,0,0,0,0,2,0,0,1,3,0,0,2,1,0
229,150619,0,1,0,0,1,0,0,0,0,0,1,0,1,0
230,150620,0,0,1,0,0,3,4,1,0,1,3,0,0,0
231,150630,1,1,0,0,0,0,0,0,0,0,0,0,3,0
232,150635,0,1,0,0,1,0,0,0,0,0,0,0,1,0
233,150640,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,150650,0,0,2,1,0,0,1,1,0,3,0,6,1,1
235,150655,0,0,0,0,1,0,0,0,1,0,0,0,0,0
236,150658,0,0,0,0,0,0,0,0,0,0,0,0,3,0
237,150660,0,2,0,2,1,0,0,0,0,1,0,0,3,3
