,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,3,1,0,1,2,1,7,6,13,6,9,2
1,110037,0,0,1,0,2,0,2,1,4,4,3,5,1,0
2,110040,0,0,0,1,0,2,2,0,0,0,1,1,3,1
3,110034,0,1,0,0,2,0,1,1,0,8,9,1,1,0
4,110002,0,10,8,10,11,6,11,12,7,7,14,10,15,7
5,110045,0,1,4,1,1,0,4,0,3,6,6,2,7,1
6,110003,0,0,0,1,0,0,0,3,0,0,1,2,0,0
7,110060,0,0,0,0,0,1,0,0,2,0,0,1,0,0
8,110004,1,8,7,9,5,10,11,12,41,69,49,58,30,4
9,110070,0,0,0,0,1,0,0,1,0,1,0,2,1,1
10,110080,0,0,4,1,1,2,4,1,2,0,11,6,3,4
11,110090,0,1,0,0,0,1,0,0,1,3,0,1,0,1
12,110005,0,3,2,1,1,1,1,3,1,2,1,2,1,0
13,110092,0,0,1,0,0,3,0,0,1,0,3,2,2,0
14,110006,0,1,7,2,2,1,0,0,2,7,7,1,1,3
15,110007,0,0,0,0,1,0,0,0,1,0,1,1,1,0
16,110008,0,0,0,0,0,0,0,0,1,2,2,1,0,1
17,110094,0,0,0,1,0,0,1,0,1,2,3,2,1,0
18,110009,0,0,2,1,3,0,3,4,10,9,4,14,21,0
19,110100,0,0,0,1,0,0,1,0,2,1,0,1,1,0
20,110010,0,4,1,3,1,1,3,0,4,2,3,2,4,0
21,110110,0,1,1,1,2,0,1,3,3,1,0,0,3,1
22,110011,0,8,8,6,3,1,5,2,4,3,9,12,2,6
23,110012,0,4,11,7,6,9,7,10,18,27,26,23,17,7
24,110013,0,1,3,2,4,0,1,2,5,1,5,5,2,2
25,110120,0,0,1,0,2,0,0,0,3,1,3,3,1,0
26,110130,0,0,1,0,1,1,1,1,0,0,3,3,3,0
27,110140,0,1,1,2,0,3,1,0,1,4,0,1,4,1
28,110014,0,0,3,1,0,3,1,0,4,9,2,6,1,0
29,110033,0,0,2,1,2,2,0,1,1,3,0,2,1,0
30,110143,0,0,0,1,1,0,0,0,0,0,1,0,3,0
31,110050,0,0,0,1,1,3,1,0,2,1,1,0,0,0
32,110015,0,1,6,7,10,4,5,4,4,15,12,10,3,4
33,110145,0,0,0,0,3,3,0,0,0,1,1,1,1,0
34,110018,3,1,2,0,2,4,5,8,6,7,8,5,8,5
35,110146,0,0,0,0,0,0,0,0,0,1,0,0,1,1
36,110020,0,28,44,60,50,45,68,80,56,89,98,109,103,39
37,110025,0,2,0,3,8,0,2,3,3,11,6,6,3,1
38,110147,0,1,0,0,2,0,0,0,1,0,1,1,1,0
39,110026,0,0,2,0,0,1,1,1,0,0,2,1,0,0
40,110028,0,5,2,7,3,4,7,6,11,18,20,13,6,2
41,110029,0,1,1,0,0,1,2,0,2,2,6,2,2,0
42,110148,0,0,0,0,0,1,1,1,1,0,1,1,2,1
43,110149,0,0,1,1,1,0,0,0,2,4,1,2,1,1
44,110032,0,2,2,0,0,2,2,2,10,6,3,1,8,1
45,110150,0,0,1,1,0,0,0,1,1,1,5,1,0,0
46,110155,0,0,0,0,0,1,0,0,0,0,0,1,0,1
47,110160,0,0,0,3,6,0,1,0,0,3,0,0,1,1
48,110170,0,0,2,0,1,0,0,3,0,3,4,2,6,3
49,110175,0,0,0,1,0,0,1,0,1,0,1,2,4,0
50,110180,1,0,0,1,0,0,0,0,0,0,0,0,0,0
51,110030,1,7,6,8,6,7,7,4,14,10,22,20,16,11
52,120001,0,0,0,0,2,3,0,2,2,2,2,2,0,0
53,120005,0,1,0,0,1,0,0,0,1,0,0,3,0,0
54,120010,0,1,0,1,7,2,2,0,3,2,1,1,2,0
55,120013,0,0,0,0,0,2,0,0,0,0,0,1,1,0
56,120017,0,0,0,1,0,0,0,6,2,1,0,0,0,0
57,120020,2,6,0,8,0,3,7,7,9,9,4,7,7,3
58,120025,0,0,0,0,1,2,0,0,0,2,3,1,2,0
59,120030,0,0,2,0,1,2,2,4,1,4,2,5,1,1
60,120032,0,0,0,1,0,0,0,0,0,0,0,0,1,0
61,120033,0,0,0,0,0,4,0,3,1,0,2,0,1,0
62,120034,0,0,0,0,0,0,0,0,1,2,0,0,0,0
63,120035,0,0,1,1,0,2,1,1,0,3,0,0,0,0
64,120038,0,1,3,0,2,2,0,8,1,4,3,1,0,0
65,120080,0,1,2,2,1,1,0,2,5,2,1,2,3,1
66,120039,0,0,0,0,0,0,0,0,0,0,1,0,1,1
67,120040,4,23,38,34,55,56,42,96,133,129,116,33,27,4
68,120042,0,0,1,1,0,2,0,1,1,0,2,0,0,0
69,120043,0,2,0,1,1,0,1,0,1,0,0,1,0,0
70,120050,0,1,2,2,5,0,4,3,8,5,1,5,3,0
71,120045,0,2,2,1,2,2,0,6,6,3,2,2,4,1
72,120060,0,1,1,5,3,11,3,3,5,4,1,0,3,1
73,120070,0,2,0,2,1,0,1,1,3,2,1,0,2,1
74,130002,0,0,0,0,0,0,0,1,1,1,1,1,0,0
75,130006,0,0,0,0,0,0,0,0,0,0,1,1,1,0
76,130008,0,0,0,0,0,0,1,0,0,0,0,1,0,0
77,130010,0,0,0,0,0,0,0,0,0,0,3,2,2,2
78,130014,0,0,0,0,0,0,0,0,0,0,0,0,2,0
79,130020,0,0,0,0,0,0,0,0,0,0,0,1,1,0
