,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,1,0,0,1,0,3,0,0
1,110037,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,110040,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,110034,0,0,1,0,0,0,0,0,0,1,0,1,1,0
4,110002,0,1,4,0,1,1,0,1,1,3,3,2,2,0
5,110045,0,0,0,0,1,0,1,0,2,3,3,0,0,0
6,110003,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,110004,0,0,1,1,0,1,5,0,10,18,5,6,8,3
8,110070,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,110080,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,110090,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,110005,0,0,0,1,1,0,1,0,0,1,0,0,0,1
12,110092,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,110006,0,1,1,3,12,5,2,4,0,1,0,0,0,0
14,110007,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,110008,0,0,2,0,0,0,0,1,0,0,3,0,0,0
16,110094,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,110009,0,0,0,1,0,1,0,1,1,3,1,1,3,1
18,110010,0,0,0,1,0,4,0,0,1,1,2,0,2,0
19,110011,0,5,0,0,0,0,1,1,2,0,1,2,1,0
20,110012,0,1,1,1,6,0,0,5,5,5,9,7,10,2
21,110013,0,5,5,5,6,1,6,4,0,0,0,1,0,0
22,110120,0,0,0,0,0,0,0,0,1,0,0,2,0,0
23,110130,0,1,0,0,0,0,0,0,1,0,0,0,1,1
24,110140,0,3,9,0,0,1,0,0,0,0,1,2,0,0
25,110014,0,0,0,0,0,1,0,1,0,1,0,0,2,0
26,110033,0,0,0,0,0,0,0,0,0,2,0,0,2,0
27,110143,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,110050,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,110015,0,0,0,3,2,5,2,10,2,1,3,0,2,1
30,110018,0,1,0,1,2,0,1,3,4,2,1,8,6,0
31,110020,0,1,4,3,10,6,13,15,20,22,22,20,22,14
32,110025,0,0,0,2,0,0,0,0,2,0,1,3,0,0
33,110147,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,110026,0,0,0,0,1,0,0,1,0,0,0,0,0,0
35,110028,0,1,0,0,0,0,1,0,4,3,5,5,2,0
36,110029,0,0,0,0,0,0,0,1,0,1,2,2,0,0
37,110148,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38,110149,0,0,0,0,0,0,0,0,2,4,1,1,1,1
39,110032,0,0,0,0,0,0,0,0,1,0,1,1,0,0
40,110150,0,0,0,1,0,0,0,0,1,1,3,0,0,0
41,110155,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,110160,0,0,0,0,0,0,0,1,0,0,0,2,1,0
43,110170,0,0,0,0,0,0,1,0,1,0,0,0,0,0
44,110175,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,110180,0,0,0,0,1,0,0,2,1,0,3,1,0,0
46,110030,0,4,0,5,2,0,0,2,0,1,3,7,2,1
47,120005,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,120010,0,0,0,0,0,0,0,2,0,0,0,1,2,0
