,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,2,1,7,1,4,0,1,2,1,2
1,110037,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,110040,0,0,1,0,0,0,0,0,0,0,0,0,2,0
3,110034,0,0,1,3,2,2,1,2,2,0,2,1,0,0
4,110002,0,1,3,1,1,0,2,2,3,1,3,1,1,1
5,110045,0,0,1,0,0,0,0,0,0,0,0,1,1,0
6,110003,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,110060,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,110004,0,1,3,0,0,3,1,2,3,1,0,0,0,3
9,110005,0,0,0,0,0,0,0,3,0,1,4,2,3,0
10,110006,0,2,0,0,0,0,0,0,1,0,2,0,0,0
11,110007,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,110008,0,0,0,0,0,0,1,2,0,0,1,0,1,1
13,110094,0,0,0,0,2,0,0,0,0,0,4,1,1,0
14,110009,0,1,0,1,0,1,2,2,0,3,0,2,2,1
15,110100,0,0,0,0,0,0,2,1,0,0,0,0,0,0
16,110010,0,0,0,1,0,2,1,10,5,3,1,2,3,1
17,110110,0,0,0,0,0,0,0,0,0,0,2,0,0,0
18,110011,0,3,5,1,0,2,1,3,2,0,2,0,1,0
19,110012,0,8,3,3,3,1,4,11,11,2,5,2,3,0
20,110013,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,110120,0,0,0,2,2,0,1,1,0,0,1,0,0,1
22,110130,0,1,0,0,0,0,0,0,1,1,2,0,1,0
23,110140,0,0,0,0,0,2,0,0,0,0,0,1,0,0
24,110014,0,0,0,0,0,0,0,0,0,0,0,0,2,0
25,110033,0,0,0,0,0,0,0,1,1,1,0,1,0,0
26,110143,0,0,1,2,2,0,0,0,0,0,0,0,1,0
27,110050,0,0,0,1,0,0,0,0,0,0,2,0,3,0
28,110015,0,1,1,6,5,3,10,5,2,2,1,4,7,0
29,110145,0,0,1,0,2,1,0,0,0,3,2,3,2,1
30,110018,0,0,0,0,0,0,2,0,1,2,6,13,12,2
31,110146,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,110020,0,4,11,9,3,0,2,0,2,0,0,5,1,0
33,110025,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,110147,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,110026,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,110028,0,0,1,1,0,2,5,2,1,5,6,5,4,3
37,110029,0,0,0,0,0,0,1,1,0,2,0,1,0,0
38,110149,0,0,0,0,1,0,1,1,0,1,0,0,2,0
39,110032,0,0,0,0,1,0,2,0,0,1,3,1,0,1
40,110150,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,110155,0,0,1,5,1,0,0,0,0,0,0,3,0,0
42,110160,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,110170,0,0,2,1,1,0,1,0,3,0,3,0,0,0
44,110175,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,110180,0,1,0,0,0,2,0,0,0,0,0,1,0,0
46,110030,0,1,2,0,1,0,0,7,2,1,2,2,2,0
47,120001,0,0,0,1,0,0,1,1,0,0,0,0,0,0
48,120010,0,0,0,0,0,0,0,0,0,0,2,0,0,0
49,120013,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,120017,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,120020,0,1,2,1,4,1,0,0,1,4,1,1,1,0
52,120025,0,0,0,0,0,0,0,0,1,2,1,0,0,0
53,120030,0,1,1,0,2,0,0,1,0,0,0,0,0,0
54,120033,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,120034,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,120035,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,120038,0,0,5,2,1,0,3,0,2,1,2,0,2,0
58,120080,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,120039,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,120040,0,2,4,0,3,2,2,3,1,2,0,1,3,0
61,120042,0,0,2,2,1,0,0,0,1,1,1,0,0,0
62,120043,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,120050,0,0,0,8,2,3,1,4,5,5,11,1,3,1
64,120045,0,0,4,6,3,3,3,1,2,1,0,0,1,0
65,120060,0,0,0,2,0,3,0,2,1,1,3,1,1,1
66,120070,0,0,0,1,0,3,11,10,2,1,4,2,4,0
67,130002,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,130014,0,0,2,2,1,1,4,5,3,3,4,3,1,1
69,130030,0,0,0,3,1,0,0,0,1,0,0,0,0,0
70,130040,0,0,0,0,0,1,2,0,0,0,1,0,0,0
