,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,3,1,5,6,37,38,33,106,150,141,118,33
1,110037,0,0,1,13,17,9,13,1,11,10,16,19,15,4
2,110040,0,0,1,5,0,0,3,1,2,4,3,5,1,1
3,110034,0,3,14,20,5,16,14,35,17,15,14,20,5,1
4,110002,0,3,2,2,1,8,35,19,26,24,17,20,19,11
5,110045,0,0,0,0,1,4,5,26,12,17,10,5,12,1
6,110003,0,0,4,4,18,4,0,4,0,1,8,7,13,1
7,110060,0,2,49,41,37,15,7,2,5,1,0,0,1,1
8,110004,0,119,130,125,112,108,258,171,49,59,119,124,146,9
9,110070,0,1,5,0,1,4,0,3,0,3,5,0,2,1
10,110080,0,0,0,0,1,1,6,0,0,0,4,2,1,0
11,110090,0,0,1,0,0,0,0,0,0,1,1,0,0,0
12,110005,0,7,43,24,56,156,155,43,8,7,11,14,5,0
13,110092,0,0,0,0,1,0,1,0,2,1,0,1,2,0
14,110006,0,0,20,18,30,27,41,33,25,14,16,30,21,1
15,110007,0,0,4,2,2,10,4,1,1,0,2,2,0,0
16,110008,0,0,1,0,0,0,0,2,0,4,1,5,1,0
17,110094,0,0,0,1,4,2,3,0,1,1,12,12,12,1
18,110009,0,6,22,24,13,1,8,13,4,1,2,5,26,13
19,110100,1,2,10,2,11,5,5,1,1,0,0,0,0,0
20,110010,2,16,13,19,43,43,21,9,3,6,5,2,4,3
21,110110,0,0,0,0,2,3,2,0,0,1,1,0,3,0
22,110011,0,2,6,6,3,17,54,23,26,19,27,22,12,1
23,110012,0,59,33,5,27,12,16,14,42,40,25,21,18,4
24,110013,0,0,0,0,1,0,0,3,2,0,0,6,1,1
25,110120,0,4,1,4,4,5,7,9,7,11,8,4,5,0
26,110130,0,1,119,48,81,35,55,46,18,8,46,5,5,0
27,110140,0,0,0,0,0,0,2,1,1,0,1,2,2,0
28,110014,0,15,39,51,25,38,52,59,3,34,51,29,28,3
29,110033,0,1,11,15,11,9,7,11,6,7,12,2,8,1
30,110143,0,0,1,9,14,3,6,7,6,4,7,2,0,0
31,110050,0,0,46,36,50,48,32,53,37,19,17,8,22,3
32,110015,0,23,46,43,21,28,91,57,45,39,20,9,10,0
33,110145,0,0,0,3,7,4,5,19,5,6,14,23,21,4
34,110018,0,3,2,1,1,3,8,9,9,28,101,166,150,23
35,110146,0,0,0,3,1,1,1,2,4,2,0,4,0,0
36,110020,0,1,3,9,46,53,41,26,27,20,22,38,25,6
37,110025,0,1,11,4,3,7,11,6,1,17,7,8,1,0
