,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,1,2,0,0,1,8,4,1,2,2,1
1,110037,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2,110040,0,0,0,0,0,0,1,0,1,3,2,0,0,1
3,110034,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,110002,0,2,0,3,3,1,2,2,2,5,4,5,6,0
5,110045,0,0,0,1,0,1,0,0,0,1,0,0,0,0
6,110003,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,110060,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,110004,1,1,0,1,4,1,1,1,6,13,7,5,12,0
9,110070,0,0,0,0,0,0,0,0,0,1,1,0,0,0
10,110080,0,0,1,0,0,0,0,1,5,0,0,0,0,0
11,110090,2,0,0,0,0,0,0,2,0,0,1,0,0,0
12,110005,0,1,0,1,1,0,0,0,0,0,5,4,0,0
13,110092,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,110006,0,1,0,1,2,0,1,0,2,0,1,0,0,1
15,110007,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,110008,0,0,0,0,0,0,1,1,0,0,1,0,0,0
17,110094,0,0,0,0,0,2,0,0,0,0,1,0,0,0
18,110009,1,0,0,0,0,0,3,1,1,2,2,5,7,0
19,110100,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20,110010,0,0,2,1,1,0,1,1,0,0,2,1,0,1
21,110110,0,0,1,0,0,0,0,1,2,1,0,0,0,0
22,110011,0,2,2,2,3,2,1,3,1,3,2,5,3,0
23,110012,1,3,7,0,2,1,2,4,1,12,6,8,4,2
24,110013,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,110120,0,0,0,0,0,0,1,0,0,2,0,0,0,0
26,110130,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,110140,0,0,0,1,0,0,1,1,0,0,0,0,0,0
28,110014,0,3,0,0,0,0,0,0,1,1,0,1,0,0
29,110033,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,110143,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,110050,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,110015,0,0,0,1,3,1,2,1,2,2,7,0,0,1
33,110018,0,1,1,1,1,1,0,5,2,0,1,3,8,3
34,110020,0,11,4,17,9,9,19,6,10,22,12,16,23,5
35,110025,0,0,0,1,0,0,0,1,0,1,0,3,0,0
36,110028,0,0,0,0,1,0,1,1,3,5,2,2,1,2
37,110029,0,0,0,0,0,2,1,0,0,0,0,0,0,0
