,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,1,0,1,5,2,0,0,1,0,0
1,110037,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2,110040,0,1,0,0,0,0,0,0,2,1,0,0,0,0
3,110034,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,110002,0,0,1,0,4,1,4,0,0,2,3,0,4,0
5,110045,0,0,0,1,0,0,0,0,0,1,1,0,0,0
6,110003,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,110004,0,1,2,0,2,1,2,0,1,0,3,1,2,1
8,110080,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,110090,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,110005,0,0,2,0,0,0,0,1,0,0,0,0,0,1
11,110092,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,110006,0,0,0,0,0,0,0,0,0,0,2,3,6,0
13,110007,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14,110008,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,110094,0,0,1,1,0,0,0,0,1,1,0,0,0,0
16,110009,0,1,0,0,0,1,0,0,1,1,7,0,0,0
17,110100,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18,110010,0,0,3,3,0,0,0,0,2,2,0,3,1,0
19,110110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,110011,1,1,8,2,4,0,1,0,1,0,1,1,1,0
21,110012,0,2,0,1,1,0,2,0,0,3,5,2,4,1
22,110013,0,0,0,0,1,0,1,0,0,0,0,0,0,1
23,110120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,110140,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,110014,0,0,0,0,2,0,0,1,0,1,0,4,1,2
26,110033,0,0,0,0,0,0,0,2,0,1,0,1,0,0
27,110143,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,110050,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,110015,0,0,0,1,1,5,0,0,0,1,2,3,1,2
30,110145,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,110018,0,0,0,1,0,0,2,0,3,2,0,0,0,0
32,110020,0,2,5,15,14,7,6,8,9,3,9,13,12,8
33,110025,0,0,0,1,0,0,0,0,0,3,0,1,0,0
34,110028,0,0,0,0,1,1,1,1,1,0,6,0,1,0
35,110029,0,0,0,0,0,0,0,0,0,2,0,0,0,0
36,110032,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,110150,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,110160,0,0,1,0,2,0,0,0,0,0,0,0,0,0
39,110170,0,0,0,0,0,0,0,0,2,0,0,0,0,0
40,110175,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,110180,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,110030,0,1,2,0,6,2,0,1,0,0,1,2,1,1
43,120001,0,0,0,1,1,0,1,1,0,0,0,1,0,0
44,120005,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,120010,0,1,0,0,0,4,0,1,0,0,0,0,0,0
