,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,1,0,1,1,1,1,1,0,3,0
1,110037,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,110040,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,110034,0,0,1,0,1,0,0,2,0,1,0,3,0,0
4,110002,0,0,1,0,0,1,0,3,2,0,2,5,1,0
5,110045,0,0,0,0,0,1,0,3,1,2,2,0,0,0
6,110004,0,0,0,1,1,1,3,3,8,9,3,7,5,0
7,110070,0,0,0,0,0,1,0,0,0,1,1,0,0,0
8,110080,0,0,0,0,1,0,0,0,0,1,1,1,1,0
9,110005,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10,110092,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,110006,0,0,0,0,0,0,0,0,0,0,0,0,2,0
12,110008,0,0,0,0,0,0,0,1,0,0,1,0,1,0
13,110094,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,110009,0,0,0,0,0,0,0,3,1,2,2,0,3,1
15,110100,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,110010,0,0,0,1,0,0,1,0,0,0,0,3,1,1
17,110011,0,0,3,0,0,2,1,2,2,0,1,0,2,1
18,110012,0,0,1,0,0,0,0,2,0,0,0,3,4,2
19,110013,0,0,0,1,0,0,0,0,1,0,0,0,2,0
20,110130,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,110140,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,110014,0,0,0,0,0,0,2,2,0,0,1,0,1,1
23,110033,0,0,0,0,0,0,0,0,1,0,1,1,0,0
24,110143,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,110050,0,0,0,0,1,0,0,0,0,0,0,2,3,0
26,110015,0,1,0,1,0,0,1,1,3,0,0,2,1,0
27,110145,0,0,0,0,0,0,2,0,0,0,1,0,1,0
28,110018,0,0,0,1,0,1,2,4,2,0,2,0,3,0
29,110020,0,2,2,5,5,6,4,3,15,17,25,14,15,2
30,110025,0,1,0,0,1,1,0,0,1,2,1,2,1,0
31,110026,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,110028,0,1,0,0,0,1,1,2,2,5,1,1,4,1
33,110029,0,0,0,0,0,0,0,2,0,1,0,0,1,0
34,110148,0,0,0,0,0,0,0,0,1,0,1,1,0,0
35,110149,0,0,0,0,0,0,1,0,0,1,1,1,2,0
36,110032,0,1,1,0,1,0,0,0,0,0,1,1,2,0
37,110150,0,0,0,0,0,0,0,0,1,0,0,2,1,0
38,110155,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,110160,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,110170,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,110175,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,110180,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,110030,0,0,0,0,0,0,2,4,6,3,4,9,9,3
44,120001,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,120010,0,0,0,1,0,0,0,1,0,1,1,0,1,0
46,120020,0,2,2,2,4,4,6,3,2,6,3,3,8,2
47,120025,0,0,1,0,1,1,2,0,0,0,0,0,2,1
48,120030,0,0,0,0,0,0,1,0,0,0,0,0,1,0
49,120032,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,120033,0,1,1,0,0,0,0,0,2,3,1,2,0,0
51,120034,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,120035,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,120038,0,0,0,1,1,0,0,0,1,3,1,0,1,0
54,120080,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,120039,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,120040,0,1,1,4,1,1,3,3,2,2,2,2,5,0
57,120042,0,0,0,0,1,0,3,1,0,0,1,0,0,0
58,120043,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,120050,0,2,0,0,0,0,0,0,0,1,0,0,0,0
60,120045,0,0,0,0,0,0,1,0,0,0,0,1,1,0
61,120060,0,0,0,0,0,0,0,0,1,0,0,1,2,0
62,120070,0,0,0,0,0,0,0,0,0,0,1,0,1,1
63,130002,0,0,0,0,0,1,1,0,0,1,0,0,0,0
64,130008,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,130030,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,130040,0,2,0,0,0,0,1,0,0,0,0,0,0,0
67,130050,0,0,0,0,0,0,0,0,0,1,0,4,0,0
68,130060,0,0,0,1,0,0,0,1,0,0,0,1,0,0
69,130063,0,0,0,1,0,0,1,3,0,2,0,0,1,0
70,130070,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71,130080,0,2,0,0,0,0,1,0,0,0,0,0,0,0
72,130110,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,130120,0,2,0,0,0,0,1,0,2,0,0,2,1,0
74,130130,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,130140,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,130160,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,130165,0,0,0,0,0,1,1,2,0,2,0,1,1,1
78,130170,0,1,0,0,1,0,0,0,0,0,0,1,0,0
79,130180,0,0,0,0,0,0,1,0,0,0,0,0,0,1
80,130185,0,2,0,0,0,0,0,2,0,1,0,0,2,0
81,130190,0,2,0,1,0,1,0,1,0,0,1,1,0,0
82,130240,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,130250,0,1,0,0,0,0,0,1,0,0,3,0,1,1
84,130260,1,188,26,71,25,23,15,11,14,10,13,8,18,0
85,130290,0,0,0,0,8,1,0,0,1,0,0,3,3,1
86,130300,0,0,0,0,0,0,0,0,0,0,0,0,1,1
87,130320,0,0,0,0,0,0,0,0,0,1,0,0,2,0
88,130340,0,0,0,0,0,0,0,1,2,0,2,1,2,0
89,130350,0,0,0,0,0,1,0,1,0,0,0,0,0,0
90,130353,0,0,0,0,0,1,0,2,0,0,0,1,0,0
91,130356,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,130370,0,0,0,0,0,0,5,0,0,0,0,0,0,0
93,130380,0,0,0,1,0,0,0,0,0,0,0,1,2,1
94,130390,0,0,0,0,0,0,0,0,0,0,0,2,0,0
95,130400,0,0,0,0,0,0,0,2,1,0,0,0,1,0
96,130406,0,0,1,5,0,0,7,4,0,1,0,0,0,0
97,130410,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,130420,0,0,0,0,2,6,1,2,4,4,4,1,7,3
99,140005,0,1,0,1,0,0,2,3,2,0,1,1,1,1
100,140002,0,0,0,0,0,0,0,0,1,1,1,2,0,0
101,140010,0,6,14,15,18,36,43,29,42,43,43,20,21,5
102,140015,0,0,0,1,0,0,1,2,0,0,1,0,0,0
103,140017,0,0,1,0,1,0,0,2,1,0,3,1,0,0
104,140020,0,0,2,2,1,3,5,0,0,1,1,1,1,0
105,140023,0,3,0,0,1,0,1,0,0,0,1,0,0,0
106,140028,0,0,0,1,1,0,1,0,0,0,0,0,0,1
107,140030,0,0,0,2,3,0,1,0,3,1,1,2,1,0
108,140040,0,0,0,1,1,1,1,0,1,1,0,1,0,0
109,140045,0,0,0,0,0,0,1,1,0,1,1,0,0,0
110,140047,0,0,2,2,2,1,2,1,2,0,2,3,5,2
111,140050,1,0,0,0,0,0,1,2,1,1,2,0,0,0
112,140060,0,1,0,0,0,0,2,0,1,0,0,1,0,0
113,140070,0,0,0,1,2,0,0,1,2,1,0,0,0,0
114,150010,0,1,3,0,0,1,0,1,3,1,5,6,2,1
115,150013,0,0,0,0,0,2,1,0,0,1,0,0,2,0
116,150020,0,0,2,1,0,0,0,0,1,1,2,7,6,3
117,150030,0,0,0,1,0,0,2,2,0,0,1,0,1,1
118,150034,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,150040,1,2,0,0,0,0,0,0,2,0,0,0,1,0
120,150050,0,0,1,0,0,0,0,1,0,1,0,0,0,0
121,150060,0,0,1,0,0,1,1,1,4,0,2,6,3,2
122,150070,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,150080,1,29,7,12,31,5,87,301,685,1138,883,1107,1330,515
124,150085,0,1,0,0,0,0,0,0,0,0,1,0,0,0
125,150090,0,0,1,1,0,0,0,0,0,0,0,0,0,0
126,150095,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,150110,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,150120,0,0,0,0,0,0,0,0,0,1,2,3,2,0
129,150125,0,0,0,0,0,0,0,0,2,0,0,0,0,0
130,150130,0,0,2,0,0,0,0,0,5,0,1,2,1,1
131,150140,2,61,90,35,28,16,19,19,53,71,58,54,47,30
132,150145,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,150150,0,0,1,1,0,0,0,2,1,3,8,2,6,0
134,150157,0,0,0,0,0,0,0,1,1,0,0,2,2,0
135,150170,0,1,1,0,0,0,0,0,0,1,1,2,3,0
136,150172,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,150175,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,150178,0,0,1,0,0,0,1,0,1,0,2,1,2,0
139,150180,1,1,2,2,0,1,1,1,0,0,1,0,3,1
140,150190,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,150200,0,0,0,0,0,0,0,0,0,1,0,1,0,1
142,150210,0,1,1,0,0,0,0,0,1,2,0,1,0,0
143,150215,0,0,0,1,1,1,0,0,0,0,2,0,1,0
144,150220,3,0,0,2,1,0,0,1,1,0,1,1,1,0
145,150230,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,150240,0,3,0,1,1,1,2,0,2,2,0,1,0,0
147,150260,0,0,1,0,0,0,0,0,1,0,0,0,0,0
148,150270,0,0,0,0,1,0,0,1,0,0,0,0,1,0
149,150275,0,0,0,0,0,0,1,0,0,1,1,2,0,0
150,150277,0,0,0,0,0,1,0,0,1,0,0,0,0,0
151,150280,0,0,0,0,0,0,0,0,0,1,0,2,0,0
152,150290,0,0,0,1,1,0,0,0,0,0,0,0,0,0
153,150293,0,2,0,0,0,2,9,7,3,5,2,0,1,0
154,150300,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,150304,0,0,0,0,1,1,4,0,1,2,0,1,0,0
156,150307,0,0,0,0,0,0,0,1,0,1,0,0,0,0
157,150309,0,0,0,0,1,0,0,0,0,0,0,0,2,1
158,150310,0,1,0,0,0,0,0,0,0,0,1,0,0,0
159,150320,0,0,0,0,0,1,1,1,0,0,0,0,1,0
160,150330,0,0,2,1,2,0,0,0,1,0,0,1,2,0
161,150340,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,150345,0,1,0,0,0,0,1,1,1,1,0,0,0,0
163,150350,0,0,0,0,0,0,0,0,1,1,0,0,1,0
164,150360,0,1,1,0,0,0,0,0,0,0,1,1,1,0
165,150370,0,0,1,0,0,0,0,1,0,0,1,2,2,0
166,150380,0,0,0,1,0,0,1,0,0,0,2,0,1,0
167,150400,0,0,1,0,0,1,0,0,0,0,0,0,0,0
168,150405,0,0,1,1,0,0,0,0,0,0,1,0,0,0
169,150420,0,2,1,0,0,1,0,3,1,4,2,4,9,2
170,150430,0,0,0,0,1,1,1,0,1,0,2,1,0,0
171,150440,0,0,0,0,3,0,0,1,3,0,0,0,0,0
172,150442,0,5,2,0,0,0,1,5,8,55,100,158,132,60
173,150445,0,0,0,0,0,0,0,1,0,0,0,1,1,0
174,150450,0,1,1,0,0,0,0,0,0,2,1,0,1,0
175,150470,0,3,1,0,0,0,0,2,0,0,0,1,1,1
176,150480,0,1,1,0,1,0,1,0,0,1,0,0,0,1
177,150490,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,150495,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,150497,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,150503,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,150506,0,0,0,0,0,3,1,2,0,0,0,0,0,0
182,150510,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,150520,0,0,0,0,3,0,4,7,2,3,6,4,4,1
184,150540,0,0,2,0,0,0,0,0,1,1,0,0,0,0
185,150543,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,150548,0,0,0,0,0,0,0,0,0,0,1,2,3,0
187,150549,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,150550,0,0,1,0,0,1,0,0,1,1,2,1,0,0
