,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,4,4,6,5,4,4,9,19,20,16,12,6,6
1,110037,0,2,0,0,1,3,1,7,3,5,6,6,5,0
2,110040,0,4,3,6,3,7,6,6,13,7,15,11,14,3
3,110034,0,3,2,4,1,3,1,2,6,0,10,6,7,1
4,110002,0,5,21,66,27,33,62,61,133,135,130,137,119,15
5,110045,0,2,2,2,2,3,5,20,19,11,14,19,8,2
6,110003,0,0,4,1,3,1,2,1,6,1,2,2,3,1
7,110060,0,0,10,15,3,2,3,4,2,0,1,1,2,1
8,110004,0,15,18,12,18,58,37,84,58,77,62,60,77,27
9,110070,0,0,1,0,1,0,5,7,4,6,9,15,8,0
10,110080,0,5,4,4,5,7,6,13,16,10,14,17,27,5
11,110090,0,0,0,0,0,4,5,3,1,1,0,3,2,0
12,110005,1,1,6,6,6,7,9,16,6,4,8,6,8,2
13,110092,0,0,1,4,0,4,1,6,4,4,1,5,4,0
14,110006,0,82,6,6,2,5,3,11,10,6,8,5,13,2
15,110007,0,0,3,0,0,1,3,6,4,2,1,3,2,1
16,110008,0,0,0,2,0,0,2,8,8,5,6,17,11,1
17,110094,0,2,1,2,1,2,2,10,10,17,19,53,23,1
18,110009,0,2,3,4,5,6,8,6,10,6,8,18,45,7
19,110100,0,2,2,6,1,0,3,5,9,4,2,3,2,0
20,110010,0,4,20,11,5,9,15,24,26,36,19,33,27,9
21,110110,1,1,0,2,3,1,4,7,6,3,7,3,9,2
22,110011,0,12,12,4,6,14,15,38,26,23,28,23,23,11
23,110012,1,5,17,14,14,11,19,15,19,28,35,43,23,9
24,110013,0,1,2,9,4,2,10,13,18,17,13,20,18,4
25,110120,0,1,3,1,1,0,3,1,5,2,8,8,9,1
26,110130,0,1,1,0,0,1,3,3,5,4,5,3,1,0
27,110140,0,1,1,1,4,2,7,4,11,7,4,15,9,0
28,110014,0,0,2,0,2,4,4,3,6,7,8,5,8,0
29,110033,0,0,1,4,0,4,6,10,23,13,10,6,16,0
30,110143,0,2,1,3,5,0,3,1,0,2,1,1,3,0
31,110050,0,1,2,3,0,4,3,5,2,3,29,33,7,2
32,110015,0,12,8,35,41,37,45,62,39,17,23,28,25,4
33,110145,0,0,0,3,6,14,27,57,17,30,31,14,9,4
34,110018,1,6,6,8,2,10,74,132,94,105,126,105,136,46
35,110146,0,0,0,0,0,0,2,7,2,2,0,0,1,3
36,110020,2,88,64,96,69,72,177,349,399,326,274,407,380,62
37,110025,0,1,7,10,6,7,7,7,11,9,24,18,5,7
38,110147,0,1,0,1,1,0,3,7,6,9,7,10,7,2
39,110026,0,0,0,0,0,0,0,2,1,2,8,12,14,9
40,110028,0,5,6,7,4,79,40,121,35,44,75,56,99,32
41,110029,0,0,0,1,0,0,7,2,6,6,4,7,1,1
42,110148,0,1,0,0,1,2,6,2,3,1,2,1,5,1
43,110149,0,0,0,2,3,2,0,9,13,5,8,11,3,4
44,110032,0,6,4,1,1,7,5,8,9,7,5,14,11,4
45,110150,0,0,1,0,5,1,1,1,4,2,4,5,0,6
46,110155,0,0,0,5,2,0,0,1,4,2,1,0,1,1
47,110160,0,2,2,2,0,0,2,3,5,1,7,8,3,0
48,110170,0,0,1,3,1,2,1,2,4,2,5,9,2,1
49,110175,0,1,2,0,2,2,1,0,4,4,2,7,3,0
50,110180,0,1,0,2,2,3,3,2,2,4,2,1,4,0
51,110030,0,19,34,39,33,33,33,110,98,70,105,102,84,28
52,120001,0,3,19,5,2,0,0,4,3,5,1,4,6,2
53,120005,0,11,2,0,1,1,1,0,1,2,0,1,4,2
54,120010,0,8,2,2,3,4,6,6,4,5,2,12,7,1
55,120013,0,0,1,0,0,3,1,0,0,0,0,2,4,0
56,120017,0,1,1,2,4,0,3,0,0,0,0,0,3,0
57,120020,1,60,109,107,71,27,9,13,13,17,26,29,29,11
58,120025,0,1,0,2,1,3,2,2,5,3,1,6,2,1
59,120030,0,5,2,7,11,22,7,2,1,3,1,7,11,0
60,120032,0,0,0,0,1,0,0,0,0,0,2,0,2,0
61,120033,0,3,2,9,5,1,0,2,8,5,3,3,6,1
62,120034,0,7,2,0,3,3,0,2,0,2,1,0,1,0
63,120035,0,4,4,10,5,2,2,1,4,1,0,2,7,3
64,120038,0,30,13,32,8,5,8,5,7,10,10,6,9,6
