,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,2,198,156,155,124,105,98,80,84,90,77,86,70,27
1,110037,4,41,53,41,37,16,24,27,21,22,18,19,22,8
2,110040,0,52,64,51,49,44,36,32,39,48,46,55,43,21
3,110034,0,91,112,100,118,68,79,34,61,35,52,42,55,12
4,110002,0,626,598,519,491,399,499,488,541,501,541,600,711,191
5,110045,0,10,11,17,9,11,8,34,53,68,42,65,116,54
6,110003,0,20,68,11,13,10,4,12,10,10,14,11,15,6
7,110060,0,24,16,14,16,12,11,5,9,7,17,15,15,9
8,110004,0,418,483,369,384,265,224,186,216,260,264,231,222,114
9,110070,0,33,36,26,20,17,16,7,10,12,16,27,23,10
10,110080,2,57,84,119,155,122,139,148,103,128,118,152,113,37
11,110090,1,7,9,18,10,9,4,5,6,6,4,3,6,1
12,110005,0,140,129,87,56,47,46,53,61,45,52,59,46,26
13,110092,1,55,35,31,29,38,25,22,39,22,32,47,35,16
14,110006,3,116,95,73,78,78,54,37,58,41,41,50,45,23
15,110007,1,49,41,35,25,18,20,11,15,16,19,22,25,12
16,110008,0,127,201,56,164,48,27,96,42,40,40,58,67,13
17,110094,0,55,30,49,52,48,54,70,68,68,73,63,63,24
18,110009,6,106,161,101,127,107,80,62,76,96,108,78,59,46
19,110100,1,56,56,49,45,37,19,12,19,20,22,29,29,12
20,110010,21,270,376,470,541,499,486,518,500,464,520,597,484,202
21,110110,0,11,8,11,25,26,29,33,31,38,35,40,38,16
22,110011,2,400,288,264,295,208,229,174,184,207,241,220,256,117
23,110012,5,859,740,747,697,777,769,975,710,664,757,827,732,300
24,110013,0,259,275,255,250,252,230,223,105,73,162,191,155,92
25,110120,0,42,37,27,28,17,17,17,12,13,14,16,8,10
26,110130,1,104,98,68,41,39,33,31,28,29,25,30,39,3
27,110140,0,56,95,76,83,51,54,26,30,28,23,50,44,12
28,110014,0,77,107,63,32,31,26,13,9,23,18,18,23,12
29,110033,4,118,158,166,196,195,183,167,156,130,205,196,168,63
30,110143,1,48,40,31,17,18,18,14,14,28,13,12,19,3
31,110050,1,27,21,26,22,20,6,9,13,8,6,14,12,2
32,110015,8,145,183,183,197,146,147,138,128,138,152,128,152,9
33,110145,0,13,17,15,9,13,5,10,5,7,8,4,7,4
34,110018,7,96,123,118,134,121,92,85,88,76,62,78,83,32
35,110146,1,21,12,12,8,9,9,8,9,9,8,13,12,4
36,110020,22,2593,3483,3248,3638,3417,3904,3914,3948,3886,3866,3713,3294,1391
37,110025,2,91,82,95,84,93,71,61,57,53,62,74,87,22
38,110147,0,6,8,8,11,8,5,8,4,6,1,4,3,1
39,110026,0,19,14,9,8,10,10,5,8,12,6,13,13,5
40,110028,7,138,131,108,102,122,90,115,128,124,106,102,102,44
41,110029,0,31,29,18,12,23,13,11,11,13,12,7,8,3
42,110148,1,16,16,20,14,8,6,9,12,4,10,3,5,2
43,110149,1,88,68,102,93,57,15,80,54,56,67,63,68,25
44,110032,0,162,91,87,89,68,56,79,63,54,36,56,44,15
45,110150,1,78,100,82,47,37,22,31,37,26,45,31,32,9
46,110155,1,12,9,16,19,8,15,3,12,14,9,12,6,1
47,110160,0,54,47,64,58,31,36,24,24,28,26,23,20,11
48,110170,0,64,61,40,45,35,27,15,31,29,39,29,25,6
49,110175,0,43,44,33,31,23,23,19,20,29,21,27,36,7
50,110180,1,26,20,28,22,10,23,9,14,22,16,22,18,4
51,110030,16,732,424,344,278,305,322,270,335,301,325,460,427,204
52,120001,2,103,81,80,57,70,64,82,42,55,67,55,94,22
53,120005,2,138,115,121,162,112,111,84,130,109,126,148,121,55
54,120010,3,333,259,328,315,285,307,253,226,247,281,243,235,99
55,120013,0,75,80,92,38,72,45,4,15,14,31,40,46,11
56,120017,2,100,93,99,46,48,48,59,46,48,67,69,58,33
57,120020,15,901,828,783,1004,927,854,1054,1118,789,813,792,727,191
58,120025,4,173,128,150,163,130,132,113,144,130,156,131,123,49
59,120030,25,472,344,392,318,351,267,231,66,25,158,211,119,13
60,120032,1,18,15,14,15,18,19,29,29,15,27,22,23,11
61,120033,17,328,216,277,268,254,232,209,196,164,163,137,133,40
62,120034,0,91,107,120,124,126,112,119,109,116,110,106,114,35
63,120035,1,47,47,57,70,81,68,79,82,69,94,95,156,53
64,120038,12,160,167,166,148,159,113,106,103,98,80,90,93,45
65,120080,3,185,183,148,77,98,90,71,67,85,124,101,101,38
66,120039,2,41,54,48,75,126,182,134,140,84,157,101,84,23
67,120040,61,3909,3460,3858,4980,3915,3777,3573,3656,3439,3650,3556,3373,945
68,120042,5,164,138,139,193,209,182,200,171,126,169,183,158,56
69,120043,1,12,17,19,26,50,35,22,24,37,15,21,39,11
70,120050,12,587,510,496,497,421,458,476,457,406,453,430,387,112
71,120045,5,196,183,173,134,131,109,116,121,104,108,131,118,41
72,120060,27,827,648,754,799,671,740,786,690,338,653,588,536,191
73,120070,3,252,172,178,184,195,179,185,174,153,160,158,130,62
74,130002,3,118,115,150,31,84,160,136,200,205,241,201,261,61
75,130006,0,31,75,42,2,2,0,0,3,35,39,108,123,50
76,130008,9,87,115,89,95,94,70,34,90,106,95,71,94,15
77,130010,12,235,138,125,53,20,11,10,17,10,62,137,129,73
78,130014,12,189,182,191,143,100,124,98,147,108,159,153,124,58
79,130020,61,166,61,135,127,84,11,8,96,125,183,127,152,62
80,130030,34,375,75,359,277,311,215,236,298,381,257,497,449,214
81,130040,0,185,169,126,106,168,214,146,171,200,224,183,148,30
82,130050,34,322,280,350,357,312,377,394,429,415,384,462,290,55
83,130060,2,600,513,417,565,623,600,494,378,387,414,510,443,187
84,130063,18,152,238,206,248,228,232,269,274,229,253,193,244,97
85,130068,19,196,176,205,134,156,124,4,15,39,6,155,199,88
86,130070,28,374,186,197,272,424,347,415,393,344,422,388,366,189
87,130080,4,272,266,225,387,353,395,418,411,334,228,456,437,186
88,130083,8,87,72,64,86,60,79,30,92,88,69,84,94,50
