,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,0,1,1,1,7,4,0
1,110037,0,0,0,1,0,0,0,0,0,0,1,2,3,0
2,110040,0,3,0,0,0,0,0,0,0,2,1,0,0,0
3,110034,0,0,0,0,0,0,0,0,3,0,1,0,1,0
4,110002,1,53,1,1,0,0,0,1,2,3,8,8,5,0
5,110045,0,9,0,0,0,0,0,0,0,1,0,0,0,2
6,110003,0,0,0,0,2,0,0,4,6,5,1,1,1,5
7,110060,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,110004,0,0,0,0,0,0,0,0,0,4,12,23,17,2
9,110070,0,3,0,0,0,0,0,0,0,0,1,0,0,0
10,110080,0,0,0,0,0,0,0,0,0,0,0,2,4,0
11,110090,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,110005,0,0,0,0,0,0,0,15,11,7,8,4,5,9
13,110092,0,0,0,0,0,0,0,15,3,6,2,1,7,2
14,110006,0,0,0,0,0,1,0,25,13,10,3,1,4,2
15,110007,0,0,0,0,0,0,0,10,3,4,2,0,0,3
16,110008,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,110094,0,1,0,0,0,0,0,0,0,2,3,1,0,0
18,110009,0,0,0,0,0,0,0,0,0,0,3,6,5,1
19,110100,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,110010,0,0,1,0,0,0,0,0,0,0,0,3,5,2
21,110011,0,2,0,0,1,0,0,0,0,2,2,1,3,1
22,110012,0,0,0,0,1,0,1,0,3,5,3,1,6,2
23,110013,0,5,0,0,0,0,0,0,0,0,0,1,1,2
24,110120,0,0,0,0,0,0,1,0,0,0,1,3,3,1
25,110130,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,110140,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,110014,0,0,0,0,0,0,0,1,0,0,1,4,3,1
28,110033,0,0,0,0,0,0,0,0,0,3,2,2,4,0
29,110143,0,1,1,0,0,0,0,0,0,0,0,0,0,0
30,110050,0,0,0,0,0,0,0,1,0,0,0,4,1,0
31,110015,0,0,0,0,0,0,0,0,0,0,5,2,1,0
32,110145,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,110018,0,1,0,0,0,0,0,0,3,2,6,3,7,2
34,110146,0,0,1,0,0,0,0,1,1,1,0,0,0,3
35,110020,0,6,3,4,1,1,3,3,12,19,21,23,29,18
36,110025,0,0,0,0,0,0,0,0,0,0,3,2,6,1
37,110026,0,6,0,0,0,0,0,0,1,0,0,0,0,0
38,110028,0,1,0,0,0,0,1,1,1,3,6,3,9,2
39,110029,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,110148,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,110149,0,1,1,1,0,0,0,0,2,2,1,0,2,0
42,110032,0,2,0,0,0,0,0,0,1,0,2,1,8,2
43,110150,0,0,0,0,0,0,0,0,1,1,4,2,1,0
44,110160,0,0,0,0,0,0,0,0,1,0,1,2,0,0
45,110170,0,1,0,0,0,0,1,0,0,0,0,0,0,0
46,110175,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,110180,0,0,0,0,1,0,0,0,0,0,4,0,0,0
48,110030,0,0,0,2,6,7,0,154,166,101,106,83,46,123
49,120001,0,2,0,0,0,1,0,0,0,0,0,0,1,0
50,120005,0,8,8,5,0,2,0,1,2,0,0,0,0,0
51,120010,2,172,104,52,21,12,23,42,33,19,38,30,2,1
52,120013,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,120017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,120020,0,0,0,0,1,0,0,0,0,0,1,1,2,1
55,120025,3,101,65,17,8,5,3,13,11,11,23,21,0,0
56,120030,0,0,0,0,1,1,0,1,0,0,2,0,0,0
57,120033,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,120034,0,14,53,134,87,56,52,99,158,111,124,76,58,18
59,120038,0,1,0,0,0,0,1,1,0,1,1,0,0,0
60,120080,0,1,0,0,0,0,0,0,2,4,0,0,0,0
61,120039,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,120040,33,34,2,5,13,4,1,25,45,28,31,21,13,3
63,120042,0,3,0,0,0,0,0,0,1,0,0,1,0,0
64,120043,0,0,0,0,0,0,1,3,4,3,1,0,0,0
65,120050,0,6,0,0,0,2,0,0,2,3,0,1,1,0
66,120045,1,1,0,0,0,0,0,1,2,0,0,0,0,0
67,120060,0,0,0,1,0,0,1,0,2,0,0,0,0,0
68,120070,1,4,1,1,0,0,1,0,3,1,3,2,1,0
69,130002,0,0,0,0,0,0,0,0,0,2,0,0,0,0
70,130020,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,130040,0,1,0,0,0,0,0,0,0,0,0,0,3,0
72,130050,0,0,0,2,7,0,2,2,0,0,0,1,0,0
73,130063,0,0,0,0,0,0,0,0,0,0,0,2,1,0
74,130068,0,0,0,0,1,0,1,0,0,0,0,0,1,0
75,130070,0,0,0,0,0,1,0,0,1,1,0,0,1,0
76,130080,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,130083,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,130110,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,130120,0,0,0,0,0,0,0,0,0,0,0,2,0,0
80,130130,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,130140,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,130150,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,130170,0,0,0,0,0,0,0,0,0,0,0,1,3,0
84,130180,0,0,0,0,2,0,0,0,0,0,0,1,1,0
85,130185,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,130190,0,0,0,2,0,0,0,0,0,0,1,0,1,0
87,130240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,130250,0,0,0,0,0,0,1,0,1,0,2,2,0,0
89,130255,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,130260,0,9,5,7,3,64,223,3,18,35,57,90,57,10
91,130270,0,1,0,0,0,0,0,0,0,0,0,1,0,0
92,130290,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,130300,0,0,1,0,3,2,1,0,0,0,0,0,0,0
94,130320,0,0,0,0,0,0,0,0,0,0,0,1,3,0
95,130340,1,31,22,44,54,34,36,16,0,2,1,15,5,0
96,130353,0,0,0,0,1,0,0,0,0,0,0,0,1,0
97,130370,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,130380,0,0,0,0,0,0,0,0,0,0,1,2,4,0
99,130390,6,0,0,0,0,0,0,0,0,0,0,0,0,0
100,130400,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,130406,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,130420,0,0,0,0,0,1,0,0,1,0,0,1,2,1
103,140005,0,0,0,0,0,0,0,0,0,0,1,3,2,0
104,140002,0,0,0,0,0,0,0,0,0,0,0,1,2,0
105,140010,0,0,0,1,1,1,1,1,0,2,29,66,96,22
106,140015,0,0,0,0,0,0,0,0,0,0,1,1,1,0
107,140017,0,0,0,0,0,0,0,0,0,0,2,1,2,1
108,140020,0,0,0,0,0,0,0,0,1,0,1,2,1,0
109,140023,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,140028,0,0,0,0,0,0,0,0,0,4,0,0,2,0
111,140030,0,0,0,0,1,0,0,0,0,0,0,1,2,0
112,140040,0,0,0,0,0,1,0,0,0,0,1,3,1,0
113,140045,0,0,0,0,0,0,0,0,0,0,0,2,2,0
114,140047,0,0,0,0,0,0,0,0,1,0,1,2,1,0
115,140050,0,0,0,0,0,0,0,0,1,0,2,2,0,2
116,140060,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,140070,0,0,0,0,0,0,0,0,0,0,0,2,1,0
