,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,120033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,120034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,120035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,120040,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,120060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,130008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,130068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,130083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,130250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,130260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,130310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,150080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,150145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,150215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,150285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,150553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,150680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,150747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,160030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,160050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,170070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,170210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,171660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,210020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,210047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,210070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,210080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,210087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36,210100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,210120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,210130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,210135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,210173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,210200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,210210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,210232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,210240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,210250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,210260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,210270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,210300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,210320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,210370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,210400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,210430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,210467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,210470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,210490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,210500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,210510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,210515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,210530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,210540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61,210570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,210580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,210594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,210630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,210632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,210637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,210640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,210650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,210660,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,210663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,210667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,210680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,210710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,210735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,210750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
76,210760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,210800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,210830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,210840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,210845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,210850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,210860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,210870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,210905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,210920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,210923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,210930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,210945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,210960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90,210980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,210990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,211000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,211010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,211020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,211040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96,211050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,211060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,211080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,211102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,211120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
101,211130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,56.0
102,211150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,211170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,211223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,211240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,211245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,211250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,211260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,211270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110,211280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,211290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,211300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,211400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,220330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,220700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,221100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,230010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,230070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,230090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,230250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
