,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,110040,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2,110034,0,0,0,0,1,0,0,0,0,0,2,0,0,0
3,110002,0,0,0,1,0,0,1,1,0,0,5,8,18,3
4,110045,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5,110004,0,3,2,1,0,1,0,2,1,2,5,1,10,0
6,110070,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,110080,0,1,0,2,0,3,1,6,2,1,1,3,5,2
8,110005,0,0,1,0,0,0,0,2,0,0,0,0,0,0
9,110092,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,110006,0,0,0,0,0,0,1,0,1,0,0,0,1,0
11,110007,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,110008,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,110094,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,110009,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15,110010,0,0,0,0,0,0,0,0,0,3,0,1,3,4
16,110110,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,110011,0,0,1,0,0,0,0,1,0,0,0,2,3,0
18,110012,0,0,0,0,0,0,0,0,0,0,5,1,1,0
19,110013,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,110120,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,110140,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,110033,0,0,0,0,0,0,0,0,0,0,0,2,0,1
23,110015,0,0,1,0,0,0,0,0,0,0,1,0,2,0
24,110018,0,0,0,3,2,0,6,3,3,1,9,9,4,0
25,110020,0,2,12,8,26,22,19,42,64,38,45,72,101,65
26,110025,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,110026,0,0,0,0,0,0,0,0,0,0,0,0,2,0
28,110028,0,0,0,0,0,1,0,0,0,0,2,3,3,1
29,110029,0,0,0,1,1,0,0,1,2,0,0,0,0,0
30,110148,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,110149,0,0,0,0,0,0,0,0,0,0,3,0,5,0
32,110032,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,110150,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,110170,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,110175,0,0,0,0,0,0,0,0,0,1,1,1,0,0
36,110030,0,0,0,0,0,0,0,2,0,0,1,1,1,0
37,120001,0,1,0,0,0,0,1,2,0,0,0,1,1,0
38,120005,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,120010,0,0,0,0,0,0,0,0,0,0,0,1,3,0
40,120013,0,0,0,0,0,0,0,0,1,0,2,1,0,0
41,120017,0,0,0,0,2,0,0,1,1,2,7,3,1,1
42,120020,1,0,2,0,0,1,1,3,5,10,1,2,2,0
43,120025,0,0,0,0,0,0,0,0,0,0,0,0,2,0
44,120030,0,2,0,0,0,0,0,0,0,0,0,0,0,0
45,120033,0,0,0,0,0,0,0,0,0,1,1,0,0,0
46,120034,0,0,1,0,1,0,0,0,0,0,0,0,0,1
47,120035,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48,120038,0,0,0,1,0,0,0,1,1,0,1,2,1,0
49,120080,0,0,0,0,0,0,1,2,3,0,5,2,2,0
50,120040,0,0,10,10,10,1,21,40,49,45,98,100,90,16
51,120042,0,0,0,0,0,0,1,1,1,0,0,0,0,0
52,120043,0,0,0,1,0,0,0,0,0,0,0,0,1,0
53,120050,0,0,0,0,0,0,0,1,1,0,5,12,1,0
54,120045,0,0,0,0,0,0,1,0,0,0,3,2,1,0
55,120060,0,0,0,0,1,0,0,0,0,1,0,0,0,0
56,120070,0,1,1,1,0,0,0,0,0,1,2,1,1,0
57,130006,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,130008,0,0,0,0,0,0,0,0,0,0,0,0,2,0
