,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,0,1,0,0,0,1,0,2,1,0,3,2
1,110037,0,0,0,0,0,0,2,0,0,1,1,0,1,0
2,110040,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,110034,0,0,0,0,0,1,0,1,0,0,0,2,0,0
4,110002,0,0,5,4,5,1,3,1,2,1,1,4,1,0
5,110045,0,0,0,0,1,1,0,0,1,0,0,0,3,0
6,110003,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,110004,0,0,4,4,4,3,8,3,2,4,8,6,2,3
8,110070,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,110080,0,0,0,1,0,0,2,4,2,0,0,1,2,0
10,110005,0,0,0,0,0,0,2,1,1,0,0,0,0,0
11,110092,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,110008,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,110094,0,0,1,0,0,0,1,0,0,0,1,0,0,0
14,110009,0,0,0,0,0,0,0,3,0,1,0,1,0,0
15,110100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,110010,0,0,0,0,0,0,0,0,2,0,0,0,1,0
17,110110,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,110011,0,0,0,0,1,1,0,1,1,2,1,0,3,0
19,110012,0,1,0,0,0,1,2,1,1,2,1,1,4,0
20,110013,0,1,0,0,0,0,0,1,0,0,0,1,2,0
21,110120,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,110140,0,0,1,2,0,0,0,0,0,0,0,0,1,0
23,110014,0,0,1,0,0,0,0,0,1,1,0,0,0,0
24,110033,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,110143,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,110050,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,110015,0,0,0,0,0,0,1,0,0,0,1,1,0,1
28,110145,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,110018,0,0,1,0,1,0,0,1,1,2,1,6,1,0
30,110146,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,110020,0,4,3,12,9,15,11,16,17,21,8,20,25,5
32,110025,0,0,0,1,0,0,1,0,0,0,0,0,1,0
33,110026,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,110028,0,2,0,2,0,3,2,1,0,0,1,2,1,0
35,110029,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,110148,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37,110149,0,0,0,0,0,0,0,0,0,0,2,1,0,1
38,110032,0,0,0,0,0,1,0,0,0,2,0,0,0,0
39,110150,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,110155,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,110170,0,0,0,1,0,0,0,0,1,2,0,0,0,0
42,110175,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,110180,0,0,0,0,0,0,0,2,0,2,0,0,0,0
44,110030,0,2,1,0,0,4,1,0,1,2,2,1,1,0
45,120001,0,1,0,0,2,1,2,1,1,0,0,0,0,0
46,120005,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,120010,0,0,0,0,0,1,0,1,0,1,0,0,0,0
48,120013,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49,120017,0,2,0,0,0,0,0,2,0,0,0,0,0,1
50,120020,0,6,3,1,4,1,0,0,0,0,2,0,2,1
51,120025,0,0,0,0,0,1,0,0,0,1,0,0,0,0
52,120030,0,0,0,0,0,0,1,1,0,0,0,1,1,0
53,120033,0,0,0,0,0,0,0,0,1,0,0,1,1,0
54,120034,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,120035,0,0,0,1,0,0,0,1,0,0,0,0,0,0
56,120038,0,1,0,1,0,1,4,2,2,0,1,0,0,0
57,120080,0,0,0,0,0,0,1,0,0,1,0,1,0,0
58,120039,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,120040,0,14,9,5,14,20,12,12,19,13,13,19,13,3
60,120042,0,1,1,1,0,0,0,0,0,0,0,0,0,0
61,120050,0,0,1,0,1,1,1,0,0,1,2,1,0,0
62,120045,0,1,0,0,0,1,0,0,0,0,0,1,2,1
63,120060,0,1,0,0,0,2,0,0,0,0,0,2,0,0
64,120070,0,0,0,0,0,0,1,2,0,0,0,0,0,0
65,130006,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,130008,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,130010,0,0,1,0,0,0,0,3,1,1,0,0,1,0
68,130020,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,130030,0,0,2,0,1,0,0,0,0,2,0,0,0,1
70,130040,0,0,0,0,0,0,0,0,1,0,1,0,1,0
71,130050,0,0,0,0,0,0,1,0,0,0,0,0,1,0
72,130060,0,0,0,0,0,0,1,1,0,0,0,0,0,0
73,130068,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,130070,0,0,0,0,0,0,0,0,2,0,0,0,1,0
75,130080,0,0,0,1,0,2,0,0,0,1,1,0,0,0
