,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,5,8,6,4,0,6,6,9,7,5,3,6,4
1,110037,0,0,0,2,0,1,2,2,3,1,0,0,2,0
2,110040,0,1,0,2,0,0,0,2,3,6,3,0,1,1
3,110034,0,2,0,2,0,0,2,1,3,2,5,1,2,0
4,110002,0,8,4,13,15,6,11,28,25,36,49,40,34,10
5,110045,0,0,1,2,2,2,5,6,4,0,4,9,2,0
6,110003,0,1,1,1,2,1,0,2,6,1,3,1,3,0
7,110060,0,0,1,1,0,0,0,1,2,1,0,1,1,0
8,110004,0,18,3,7,9,6,26,29,13,16,22,29,46,33
9,110070,0,1,2,0,0,0,0,2,3,3,3,5,1,0
10,110080,0,3,1,1,0,0,0,1,0,6,4,4,6,1
11,110090,0,0,0,1,0,0,0,1,1,0,1,1,1,1
12,110005,0,2,3,1,0,1,3,1,2,4,4,2,3,3
13,110092,0,1,1,1,0,2,0,0,0,1,3,2,0,0
14,110006,0,4,2,2,2,4,2,2,4,4,2,5,4,0
15,110007,0,0,2,0,2,1,1,2,0,1,2,0,1,1
16,110008,0,0,1,1,0,0,1,2,0,2,3,1,2,0
17,110094,0,0,0,0,1,0,2,3,1,3,1,2,5,3
18,110009,0,9,4,3,4,1,2,0,2,4,3,7,12,7
19,110100,0,0,0,2,0,0,2,2,0,0,0,0,5,1
20,110010,0,5,4,6,1,6,8,4,1,7,5,2,3,1
21,110110,0,0,0,1,0,0,0,2,2,0,2,3,2,1
22,110011,0,3,1,5,3,3,9,5,16,9,11,6,12,6
23,110012,1,12,13,9,8,14,9,16,32,24,44,27,41,5
24,110013,0,0,0,1,2,0,1,4,1,2,3,2,4,0
25,110120,0,0,1,0,2,2,1,1,3,2,2,0,2,0
26,110130,0,1,0,0,1,0,1,1,1,1,1,0,0,0
27,110140,0,0,0,0,2,0,3,1,0,1,7,3,1,2
28,110014,0,0,1,1,0,2,0,3,1,4,5,2,4,1
29,110033,0,2,1,2,0,1,2,3,0,0,3,3,5,1
30,110143,0,1,5,2,1,0,1,0,0,2,2,2,0,0
31,110050,0,0,0,1,0,0,0,1,0,0,2,0,4,3
32,110015,0,4,3,8,7,6,8,8,10,23,5,7,7,1
33,110145,0,0,0,0,0,0,1,0,0,1,0,0,2,1
34,110018,0,2,2,7,8,8,9,9,6,7,5,12,15,2
35,110146,0,0,0,0,0,0,0,0,0,1,1,0,3,0
36,110020,2,25,21,42,40,54,84,61,55,48,47,67,91,36
37,110025,0,3,0,1,1,1,1,2,6,4,4,2,3,1
38,110147,0,0,1,2,0,2,1,0,1,4,1,1,1,0
39,110026,0,1,0,0,0,1,0,1,1,0,1,0,4,2
40,110028,0,3,2,2,0,4,7,12,8,6,8,9,12,5
41,110029,0,1,0,0,0,0,1,0,2,0,1,1,0,0
42,110148,0,1,0,0,0,0,0,2,0,1,1,1,2,0
43,110149,0,1,0,1,0,1,3,2,9,4,6,3,4,3
44,110032,0,0,1,0,0,2,1,2,2,4,5,2,1,0
45,110150,0,0,0,0,0,0,2,2,1,1,0,1,2,2
46,110155,0,0,0,0,0,0,1,1,0,0,0,3,0,0
47,110160,0,0,0,0,0,0,0,1,2,0,2,1,1,0
48,110170,0,0,0,3,11,0,4,3,4,4,2,0,3,1
49,110175,0,0,1,1,1,2,0,0,0,0,1,2,1,0
50,110180,0,0,1,0,1,1,0,0,2,2,2,1,0,2
51,110030,0,18,23,28,19,17,10,39,24,31,18,42,35,8
52,120001,0,3,1,1,1,0,3,6,1,1,2,1,0,1
53,120005,0,0,0,0,0,1,1,2,0,0,0,0,1,0
54,120010,0,3,0,1,3,2,0,2,1,4,0,2,3,4
55,120013,0,0,0,0,0,0,0,0,0,0,0,1,1,0
56,120017,0,0,1,0,0,1,1,1,0,2,0,1,1,0
57,120020,1,29,44,23,26,29,10,19,10,15,17,22,21,14
58,120025,0,0,0,0,1,2,0,0,3,0,0,0,0,0
59,120030,0,2,0,0,2,2,0,1,0,0,1,1,4,0
60,120032,0,0,0,0,0,0,1,1,0,0,0,0,0,0
61,120033,0,1,2,3,2,3,0,5,0,4,1,2,1,0
62,120034,0,0,0,0,0,0,0,1,0,0,1,0,2,0
63,120035,0,4,0,1,1,1,0,1,1,4,2,5,1,0
64,120038,0,2,2,3,0,0,1,1,0,0,0,1,3,0
65,120080,0,0,0,0,0,5,2,0,0,1,2,2,2,1
66,120039,0,2,1,1,1,2,0,0,1,0,2,2,2,2
67,120040,1,36,28,17,52,50,45,49,43,32,55,72,79,18
68,120042,0,0,1,0,3,1,0,1,0,0,1,1,3,2
69,120043,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70,120050,0,1,1,2,1,3,2,9,2,1,1,4,4,0
71,120045,0,0,1,0,3,0,0,1,0,0,2,2,3,1
72,120060,0,1,3,1,2,1,2,5,3,4,12,10,5,1
73,120070,0,0,1,2,0,7,1,4,1,2,4,1,2,0
74,130002,0,0,0,1,0,0,0,1,0,1,0,0,1,0
75,130006,0,0,0,0,0,0,0,0,0,0,2,0,0,0
76,130008,0,0,0,0,0,0,0,1,0,0,0,1,0,0
77,130010,0,0,0,0,0,0,0,0,0,1,2,2,2,1
78,130014,0,0,0,0,0,0,0,0,1,0,0,2,1,0
79,130020,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,130030,0,0,0,0,0,0,0,0,2,1,1,4,5,1
81,130040,0,0,0,0,0,0,0,0,0,1,1,2,1,0
82,130050,0,2,0,0,0,0,0,1,0,0,2,0,0,1
83,130060,0,0,1,0,0,0,0,0,1,0,0,2,5,0
84,130063,0,0,0,0,0,0,0,0,1,2,0,1,0,0
85,130068,0,1,0,0,0,0,0,0,0,0,0,1,2,2
86,130070,0,2,0,0,0,4,2,2,0,2,3,2,1,0
87,130080,0,0,0,0,2,1,0,1,3,0,0,1,5,2
88,130083,0,0,0,1,0,0,1,0,0,0,0,2,0,2
89,130090,0,0,1,0,0,0,0,0,1,0,0,0,1,0
90,130100,0,3,2,0,2,0,3,1,1,2,3,3,5,1
91,130110,0,0,0,0,0,0,0,3,11,3,5,1,5,0
92,130115,0,0,0,0,0,0,0,0,1,0,3,2,0,1
93,130120,0,1,0,0,0,0,0,3,2,5,3,2,5,2
94,130130,0,0,0,0,0,0,0,0,0,0,3,1,1,0
95,130140,0,1,2,0,0,0,1,0,0,0,0,1,0,2
96,130150,0,1,0,0,0,0,0,0,0,1,3,0,2,1
97,130160,0,1,1,0,0,0,1,0,2,3,1,1,1,0
98,130165,0,1,2,5,1,0,0,0,0,2,2,0,3,0
99,130170,0,0,1,2,0,1,2,2,3,2,4,3,4,0
100,130180,0,0,1,1,1,2,0,0,3,1,2,0,2,0
101,130185,0,0,0,0,0,0,0,0,1,4,5,4,7,1
102,130190,0,5,1,2,1,2,0,2,2,8,4,8,5,2
103,130195,2,1,0,0,0,0,0,0,0,0,0,0,0,0
104,130200,0,0,0,0,0,0,0,0,1,0,4,0,0,0
105,130210,0,0,0,0,0,0,0,0,1,0,0,1,1,0
106,130230,0,0,1,0,0,0,0,0,1,1,0,0,1,0
107,130240,0,0,1,0,0,0,1,0,0,2,2,0,3,0
108,130250,0,1,3,1,1,0,2,0,2,4,11,3,12,0
109,130255,0,0,0,0,0,0,0,0,1,1,0,0,0,1
110,130260,34,380,348,384,328,319,366,331,393,353,333,395,469,102
111,130270,0,0,0,0,0,0,0,0,0,0,0,0,5,1
112,130280,0,0,0,0,3,2,0,0,0,0,1,0,0,0
113,130290,0,0,4,1,0,1,0,0,1,6,4,6,4,1
114,130300,0,0,0,0,0,1,1,0,0,0,1,0,0,0
115,130310,0,0,0,1,1,3,0,0,0,0,0,0,0,0
116,130320,0,0,0,0,0,0,0,0,1,0,0,0,2,0
117,130330,0,0,0,0,0,0,0,0,0,0,1,0,3,0
118,130340,0,4,5,3,1,3,10,24,16,6,10,6,17,7
119,130350,0,0,0,0,0,0,0,0,0,0,0,1,2,2
120,130353,0,0,1,2,2,1,2,0,0,1,4,1,6,1
121,130356,0,0,0,0,0,0,0,0,0,2,0,0,6,0
122,130370,0,0,0,8,14,2,0,0,0,0,0,3,0,0
123,130380,0,0,0,0,2,0,0,0,0,1,3,2,3,2
124,130390,1,0,0,0,0,1,2,0,1,2,0,3,3,1
125,130395,0,0,1,0,0,0,0,0,0,0,0,3,0,0
126,130400,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,130406,0,1,4,3,2,1,0,9,7,9,6,10,21,2
128,130410,0,0,0,0,0,0,0,0,1,0,1,0,0,0
129,130420,0,2,1,0,4,3,4,4,7,1,2,4,2,8
130,130423,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,130426,0,0,0,1,0,0,0,0,0,0,0,0,1,0
132,130440,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,140005,0,1,0,1,0,2,1,0,2,0,0,4,0,0
134,140002,0,1,0,0,0,0,1,0,0,0,0,1,0,0
135,140010,0,27,36,48,67,61,50,63,48,48,56,44,61,18
