,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,2,2,4,3,5,3,2,4,4,4,1,0
1,110037,0,1,1,2,1,0,0,2,4,0,0,0,2,1
2,110040,0,0,1,2,0,2,2,1,1,0,1,0,2,0
3,110034,0,2,9,13,19,7,8,13,0,1,2,1,1,0
4,110002,0,5,8,21,2,9,7,7,8,14,10,9,3,3
5,110045,0,0,0,0,0,1,0,0,6,3,1,1,1,0
6,110003,0,0,0,0,1,3,0,2,0,0,0,1,0,1
7,110060,0,1,0,1,0,0,0,1,0,0,1,0,0,0
8,110004,0,3,6,8,4,11,16,15,9,1,4,21,12,4
9,110070,0,0,0,0,0,0,0,0,1,0,0,2,1,0
10,110080,0,0,0,0,3,0,2,3,2,2,1,3,3,3
11,110090,0,0,0,1,0,0,1,3,0,0,0,0,0,0
12,110005,0,3,2,2,1,2,11,6,0,1,0,3,2,0
13,110092,0,1,1,0,1,1,1,2,0,0,0,3,3,0
14,110006,0,2,1,0,4,6,4,4,1,0,3,1,1,0
15,110007,0,0,0,0,0,2,1,3,0,0,0,0,1,0
16,110008,0,0,0,1,0,0,0,0,0,0,1,2,1,1
17,110094,0,0,0,0,0,0,0,1,0,0,0,0,2,0
18,110009,0,1,3,0,3,0,2,1,1,6,0,5,6,5
19,110100,0,0,0,1,1,0,0,0,0,2,0,1,1,0
20,110010,0,0,3,2,12,2,13,6,6,9,14,9,10,3
21,110110,0,0,0,2,1,1,1,1,1,1,3,0,0,0
22,110011,0,0,0,4,7,12,9,7,5,11,2,11,16,2
23,110012,0,2,2,7,0,1,9,0,5,10,4,8,6,2
24,110013,0,1,0,0,0,0,1,1,3,2,7,6,0,0
25,110120,0,0,0,0,0,2,1,0,1,2,0,0,2,0
26,110130,0,0,1,1,0,0,1,0,0,0,0,1,0,0
27,110140,0,0,3,1,0,1,0,2,0,1,0,2,1,0
28,110014,0,2,10,14,6,7,1,2,0,0,1,2,6,0
29,110033,0,0,2,1,3,9,17,12,2,3,5,2,1,2
30,110143,0,0,0,2,0,1,0,0,0,0,0,0,2,1
31,110050,0,1,3,3,2,0,3,1,1,0,1,1,1,0
32,110015,0,4,11,7,6,4,5,7,9,5,5,1,4,0
33,110145,0,1,0,1,0,0,1,0,0,1,0,2,0,0
34,110018,0,2,4,3,3,5,6,6,6,2,4,5,6,2
35,110146,0,0,0,0,0,0,0,0,0,0,1,2,1,0
36,110020,0,10,12,20,27,51,36,33,43,35,67,83,68,9
37,110025,0,0,2,6,1,2,0,0,0,2,11,7,4,0
38,110147,0,1,0,0,0,0,0,0,0,1,0,0,1,0
39,110026,0,0,0,0,0,0,1,0,0,0,0,1,0,0
40,110028,0,3,11,12,6,3,3,15,5,2,2,7,5,1
41,110029,0,0,0,2,0,1,2,0,1,1,1,1,1,0
42,110148,0,0,0,2,0,0,1,2,0,0,0,0,0,0
43,110149,0,0,0,1,0,2,1,0,1,2,4,1,2,1
44,110032,0,2,6,3,6,5,5,6,0,9,23,12,7,4
45,110150,0,0,2,0,3,1,0,1,1,1,1,1,3,0
46,110155,0,0,0,2,1,0,0,0,0,0,0,0,1,0
47,110160,0,0,0,1,2,1,1,0,0,0,0,0,0,0
48,110170,0,0,0,3,3,1,1,1,2,0,1,3,1,0
49,110175,0,0,1,0,0,0,0,0,1,0,1,0,0,0
50,110180,0,0,0,0,0,0,1,1,0,0,0,0,1,0
51,110030,2,19,3,10,16,22,11,21,13,7,23,19,31,6
52,120001,0,0,2,0,2,1,2,1,1,0,1,3,1,0
53,120005,0,0,0,0,0,0,0,1,0,1,0,0,0,2
54,120010,0,3,0,2,4,2,0,1,2,3,1,2,2,1
55,120013,0,0,0,1,0,0,0,0,0,0,1,1,0,0
56,120017,0,0,0,0,1,1,0,0,0,0,1,0,0,0
57,120020,0,2,11,6,6,9,9,15,17,9,15,11,9,2
58,120025,0,0,1,0,1,1,1,0,0,1,1,0,0,0
59,120030,0,13,5,1,0,1,0,0,3,1,1,2,2,1
60,120032,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,120033,0,0,0,0,0,0,1,2,0,2,2,3,1,0
62,120034,0,0,0,0,0,0,1,0,0,0,2,0,1,0
63,120035,0,0,0,0,0,0,0,1,1,2,0,1,3,0
64,120038,0,0,0,1,1,1,1,1,1,1,1,1,0,0
65,120080,0,0,1,0,1,0,0,0,0,1,0,1,1,0
66,120039,0,0,0,0,0,0,0,0,1,0,1,0,2,0
67,120040,1,11,12,11,21,14,20,19,25,33,27,44,25,10
68,120042,0,0,0,1,0,1,0,2,2,2,2,0,0,1
69,120043,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,120050,0,10,8,7,3,1,2,1,1,0,4,5,0,1
71,120045,0,0,2,0,1,0,0,0,0,0,0,0,2,0
72,120060,0,2,1,2,0,1,0,1,0,3,0,2,2,0
73,120070,0,4,8,7,8,12,1,3,1,0,1,0,1,0
74,130002,0,3,0,0,0,3,2,7,0,0,2,3,0,1
75,130006,0,0,0,0,0,0,1,0,0,0,1,0,0,0
76,130008,0,1,0,0,3,0,0,0,0,0,4,0,1,0
77,130010,1,14,0,4,0,0,0,0,0,0,6,2,3,0
78,130014,0,6,8,13,7,15,5,7,7,5,1,2,4,2
79,130020,0,0,0,0,1,0,0,0,1,7,0,0,0,0
80,130040,0,2,2,1,1,0,0,0,1,5,1,4,27,6
81,130050,0,0,1,5,1,3,3,4,1,0,3,4,1,0
82,130060,0,0,4,8,1,0,0,1,2,1,0,1,5,0
83,130063,0,1,0,0,0,1,4,0,2,1,1,0,0,1
84,130068,0,3,7,19,2,6,0,0,0,3,0,1,2,0
85,130070,0,0,1,7,11,5,4,4,6,16,7,5,2,1
86,130080,0,3,0,0,3,5,5,5,1,3,0,3,3,4
87,130083,5,5,0,0,0,0,0,0,0,0,0,0,0,0
88,130090,1,8,0,1,0,1,0,0,0,0,1,0,1,0
89,130100,1,15,6,23,3,6,14,4,5,3,1,6,26,9
90,130110,13,5,4,1,2,12,0,0,1,0,0,0,7,0
91,130115,0,0,0,0,0,0,0,1,0,0,0,1,1,0
92,130120,0,1,0,0,0,0,5,5,9,6,6,23,23,3
93,130130,0,0,2,0,1,11,1,0,0,0,0,1,0,0
94,130140,16,105,21,6,30,7,26,26,4,3,9,14,19,4
95,130150,3,1,0,0,5,0,3,2,0,0,2,5,6,0
96,130160,0,1,0,0,0,0,0,1,6,3,7,0,12,3
97,130165,0,0,1,0,3,0,1,1,0,0,0,2,0,0
98,130170,0,1,8,5,8,8,6,6,11,4,6,14,13,6
99,130180,0,0,0,0,0,0,3,2,1,9,8,1,1,0
