,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,0,1,1,0,0,4,4,9,0,5,2,1,0
1,110037,0,0,0,0,1,0,0,1,2,2,0,1,0,0
2,110040,0,0,1,0,0,1,1,1,0,0,1,0,0,0
3,110034,0,1,3,4,3,4,0,1,0,0,1,1,1,1
4,110002,0,0,1,0,0,0,5,8,11,8,2,1,0,0
5,110045,0,0,0,0,0,1,2,3,4,0,0,1,1,0
6,110003,0,0,0,0,1,0,0,0,2,0,0,0,2,0
7,110060,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,110004,0,0,1,0,6,2,8,5,10,5,3,2,2,2
9,110070,0,0,0,0,0,0,1,1,0,0,1,0,1,0
10,110080,0,1,0,3,4,4,2,0,0,1,0,0,1,0
11,110005,0,1,3,1,4,1,1,0,1,0,0,0,0,0
12,110092,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,110006,0,0,2,0,1,0,1,1,2,0,3,0,0,0
14,110007,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,110008,0,0,0,1,1,0,0,0,0,2,1,0,0,0
16,110094,0,0,0,0,1,0,0,0,0,2,0,3,0,0
17,110009,0,0,0,0,2,2,4,2,2,1,1,0,2,0
18,110010,0,0,2,0,3,5,6,2,0,9,1,2,3,3
19,110110,0,0,0,1,0,0,2,0,0,0,3,0,0,0
20,110011,0,0,2,1,0,1,7,5,1,7,2,6,4,0
21,110012,0,5,3,6,9,7,33,17,17,7,2,7,3,2
22,110013,0,4,0,2,0,1,2,0,0,0,0,0,0,0
23,110120,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,110130,0,0,0,1,0,0,0,0,0,0,0,0,0,2
25,110140,0,0,0,0,0,0,0,3,0,0,0,0,0,0
26,110014,0,0,0,0,0,0,0,0,0,2,0,0,0,0
27,110033,0,0,0,1,1,2,0,2,0,2,1,1,2,1
28,110143,0,0,2,0,0,0,0,0,1,1,0,0,0,0
29,110050,0,0,0,1,0,0,0,0,0,0,2,0,0,0
30,110015,0,0,4,8,2,3,6,10,3,2,3,1,2,0
31,110145,0,0,0,0,2,2,0,0,0,0,0,0,0,0
32,110018,0,0,0,0,5,2,4,4,4,13,1,0,2,0
33,110020,0,12,9,74,83,24,35,35,20,45,32,19,20,4
34,110025,0,0,0,0,0,1,2,0,1,1,1,0,0,0
