,MUNCOD,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110002,0.9578452313675155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110010,0.0,0.0,0.0,0.0,2.384699766299423,2.401190990731403,0.0,0.0
3,110011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,110145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,120030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.104625892579944
18,120034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,120038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,120042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,120060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,120070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,130002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,130010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,130080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,130110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,130120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,130150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,130180,0.0,0.0,0.0,0.0,0.0,4.504707419253119,0.0,0.0
30,130200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,130260,0.0,0.0,0.0,0.2148414631133321,0.0,0.05547773262506761,0.0,0.0
32,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,130395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,130406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,130420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,130430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,140010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,140015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,150010,0.0,0.671713473900573,0.679038752741619,0.0,0.0,0.0,0.0,0.0
41,150020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,150060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,150080,0.197861512769982,0.40017928031758226,0.0,0.0,0.0,0.0,0.0,0.0
44,150090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,150120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,150130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,150140,0.0,0.20937380482453077,0.0,0.21270109115659763,0.07132382729363164,0.0,0.0,0.0
48,150150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,150170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,150180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,150210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,150215,0.0,0.0,3.2193677161805425,0.0,0.0,0.0,0.0,0.0
53,150220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,150230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,150240,0.0,0.5350597929318601,0.0,0.0,0.5678075813668264,0.0,0.0,0.0
56,150275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,150280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,150290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,150307,3.9485114111979787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,150310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,150320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
