,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,1.8838067967749228,0.0,0.9443227317367984,0.0,0.9721952167995334,0.0,0.0,0.0,0.0,0.0,1.1822986249866991
2,110003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110004,0.0,1.129854135831064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110005,0.0,0.0,0.0,5.559879906594018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110010,0.0,0.0,0.0,2.1444501629782122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110011,0.0,0.0,0.0,0.0,7.185327561120193,0.0,0.0,0.0,0.0,1.8538086498711603,0.0
9,110012,0.0,0.7537669503342956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110013,0.0,5.180139345748401,0.0,2.6905588290687974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110015,0.0,2.515153801654971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6923698239190137
13,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110020,0.9624064781504857,1.155098991983613,0.39122176601417397,0.5967204245466914,2.2266620514035056,0.0,0.22588609467789772,0.0,0.23443470758958923,0.0,0.26372281677066134
15,110025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,110026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,110029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,110030,0.0,1.045696957021855,0.0,1.0893127525843944,1.113622949541744,0.0,0.0,0.0,0.0,0.0,0.0
20,110032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,110033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.618937644341802
