,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1690300557627336,0.0
1,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110013,0.0,0.0,0.0,2.6905588290687974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9646751409654413,0.0,0.0,0.0
5,110080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,120040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,130260,0.0,0.0,0.0,0.04859768937426101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,140010,0.0,0.0,0.0,0.6236085733706667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,140047,0.0,0.0,3.6028246144977665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,150080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19781924069062654,0.0
11,150330,1.603720631865929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,150618,0.0,0.0,0.0,2.0009204233947617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,150680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33924294544294953,0.0,0.0
14,160030,0.2025792388692837,0.0,0.0,0.2192160395991854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,170210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,171500,0.0,0.0,24.044241404183698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,171670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,172100,0.0,0.0,0.35732662512149105,0.366668377785763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,172210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,210110,0.0,0.0,0.0,8.438818565400844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,210260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,210460,0.0,6.030635628995296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,210490,33.15924728508663,0.0,0.0,25.36568867844762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,210900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127416294928985,0.0
25,210910,0.0,2.116894938504202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,211030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,211130,0.0913519819269239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,211245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,220465,0.0,0.0,0.0,0.0,10.897994768962512,0.0,0.0,0.0,0.0,0.0,0.0
30,221100,0.0,0.0,0.0,0.0,0.118962645729241,0.0,0.0,0.0,0.0,0.0,0.0
31,221140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
