,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,0.9419033983874614,0.9315757603987144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1822986249866991
2,110004,0.0,0.0,0.0,0.0,0.0,1.164646005846523,0.0,1.266480071936068,0.0,2.542103590721322,0.0
3,110007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110015,0.0,0.0,0.0,2.504759042180142,2.4993751562109474,0.0,0.0,0.0,0.0,0.0,0.0
12,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,110020,0.19248129563009714,0.5775494959918065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,110029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,110030,0.0,1.045696957021855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,110032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,110033,3.3605538192694153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,110034,0.0,5.971218725741924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,110040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,110045,0.0,0.0,0.0,2.6428458163750728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,110070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,110080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83192395171167
25,110090,0.0,28.169014084507044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,110094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,110110,0.0,0.0,0.0,0.0,0.0,0.0,11.325028312570781,0.0,0.0,0.0,0.0
