,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110001,4.316484654897052,0.0,0.0,0.0,3.8983315141119603,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,1.8838067967749228,0.9315757603987144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110004,1.179064530201738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.871990604815032,0.0,0.0
5,110006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110011,1.9255579304103363,0.0,1.791922015553883,1.794108148839212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110012,0.7818180396694473,0.0,0.7601094557616297,0.0,1.5474845638414756,0.0,0.0,0.8520572923323364,0.0,0.0,0.0
11,110013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,110015,2.7517886626307098,0.0,2.5100401606425704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110018,0.0,0.0,0.0,0.0,5.372011818426,0.0,0.0,0.0,0.0,0.0,0.0
15,110020,0.3849625912601943,0.0,0.978054415035435,0.3978136163644609,0.40484764570972825,0.6185669041963578,0.0,0.0,0.0,0.0,0.26372281677066134
16,110025,0.0,0.0,0.0,0.0,0.0,4.344614849893557,0.0,0.0,0.0,0.0,0.0
17,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,110029,0.0,0.0,0.0,0.0,0.0,11.252391133115786,0.0,0.0,0.0,0.0,0.0
19,110030,0.0,0.0,1.0667235585897914,0.0,2.227245899083488,0.0,1.2560289389067525,1.28308762205371,1.312559885544778,0.0,0.0
20,110032,0.0,0.0,0.0,4.178331174528893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,110033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,110034,6.792555359326178,0.0,0.0,0.0,5.804504295333179,0.0,0.0,0.0,0.0,0.0,0.0
23,110037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,110040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,110045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,110050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,110060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,110070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,110080,3.8486702844167335,0.0,4.045471095109026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,110090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,110094,0.0,4.45573229960344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,110100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,110110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.36175680411167,0.0,0.0
34,110130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,110140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,110143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,110146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,110148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,110149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,110150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,110160,0.0,8.81057268722467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,110170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,120001,6.657789613848202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,120013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,120017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,120020,0.0,0.0,0.0,0.0,0.0,1.2441370043669209,0.0,0.0,0.0,0.0,0.0
49,120025,0.0,0.0,0.0,0.0,0.0,0.0,6.3779577779195105,0.0,0.0,0.0,0.0
50,120030,2.8839221341023795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,120032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,120033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,120035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,120038,5.111167901865576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,120040,0.0,0.7823848655471609,1.3260594552017335,0.0,0.54955925347871,0.8398797292227753,0.28706430814631095,0.0,0.5955997093473419,0.6536930388228296,0.0
56,120042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,120045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,120050,2.2135157270292405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,120060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,120070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,120080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,130006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,130010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,130014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,130030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,130040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,130050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,130060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,130063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,130070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,130080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,130083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,130100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,130110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,130115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,130120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,130130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,130140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,130150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,130165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,130170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,130185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,130190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,130195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,130200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,130230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,130240,2.210188971157034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,130250,0.0,0.0,0.0,0.0,0.0,1.0893839533743668,0.0,0.0,0.0,0.0,0.0
89,130255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,130260,0.6525455803087845,0.18777015430951283,0.3342260351577141,0.19439075749704404,0.09899514973263884,0.10089916289009507,0.4296829262266642,0.3820076576163596,0.22191093050027044,0.34509711895670236,0.702160900170274
91,130270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,130280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,130290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,130300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,130320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,130340,0.0,0.0,0.8871854927428227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,130350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,130356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,130370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,130380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,130390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,130395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,130406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,130410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,130420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,130423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,130440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,140002,0.0,8.650519031141869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,140005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,140010,0.26640097609317637,0.0,0.6127094317426375,0.6236085733706667,0.0,0.3236287848386387,1.3469872945423442,0.0,0.3517930893765523,0.3746707580713448,0.0
113,140015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,140017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,140020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,140023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,140030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,140040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,140045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,140047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,140050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,140070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,150010,0.0,0.0,0.0,0.0,0.0,0.679038752741619,0.6924488453415504,0.7003536786076969,0.0,0.0,0.0
124,150013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,150020,0.0,1.8485655131617862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,150030,0.0,0.0,0.0,0.0,0.0,2.732389748073665,0.0,0.0,0.0,0.0,0.0
127,150040,3.5410764872521243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,150050,0.0,0.0,0.0,0.0,0.0,2.9795602169119837,0.0,2.977253781112302,0.0,0.0,0.0
129,150060,0.0,0.0,0.0,0.0,0.9366102202907237,0.0,0.0,0.0,0.0,0.0,0.0
130,150070,0.0,3.5129628328532285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,150080,0.3805421203045859,0.3875540880174089,0.39151661792284775,0.0,0.20008964015879113,0.0,0.0,0.20920545858882547,0.0,0.0,0.0
132,150085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,150090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,150095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,150100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,150110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,150120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,150130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,150140,0.06730688980246774,0.5508598578092992,0.13830856918402093,0.06946562181109381,0.2791650730993744,0.14026012643047797,0.14180072743773176,0.21397148188089493,0.0718374806308193,0.13912075681691707,0.1404372091194306
140,150145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,150150,0.0,0.0,0.0,0.0,3.4847455264579303,0.0,0.0,0.0,0.0,0.0,0.0
142,150157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,150170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,150172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,150178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,150180,0.9814409516051468,0.0,0.0,0.0,1.0272108144754548,0.0,0.0,0.0,0.0,0.0,0.0
