,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110004,1.179064530201738,0.0,0.0,0.0,0.0,1.164646005846523,1.2605571662674901,0.0,0.0,0.0,2.555485989548062
3,110008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110009,0.0,3.0275507114744173,0.0,0.0,0.0,0.0,0.0,6.905362013603563,0.0,0.0,0.0
5,110010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.029422119398481,0.0,0.0,0.0
9,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294988662756006,0.0,0.0,0.0
12,110025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,110028,0.0,1.752111294109402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110030,1.0261883260816025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,110032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,110033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,110034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,110037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,110040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,110045,0.0,0.0,0.0,0.0,0.0,2.735603884557516,0.0,0.0,0.0,0.0,0.0
21,110050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,110060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,110070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,110080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,110090,0.0,0.0,0.0,0.0,0.0,0.0,28.74389192296637,0.0,0.0,0.0,0.0
26,110143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,110145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,110148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,110170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,110180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,120001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.342370901810295
32,120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579383614965425,0.0,0.0,0.0
34,120017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,120020,0.0,0.0,0.0,0.0,0.0,1.2441370043669209,0.0,2.526081794528507,0.0,0.0,1.3090375955597446
36,120025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,120030,0.0,0.0,0.0,0.0,0.0,3.0853722501619822,0.0,0.0,0.0,0.0,0.0
38,120032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
