,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110010,0.0,0.0,0.0,2.1444501629782122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110020,0.0,0.5775494959918065,0.0,0.19890680818223044,0.0,0.0,0.0,0.2294988662756006,0.0,0.0,0.0
3,110045,0.0,0.0,0.0,0.0,0.0,2.735603884557516,0.0,0.0,0.0,0.0,0.0
4,130260,0.09322079718696923,0.0,0.0,0.0,0.0,0.0,0.0,0.05457252251662279,0.05547773262506761,0.0,0.0
5,150140,0.0,0.0,0.0,0.06946562181109381,0.0,0.21039018964571696,0.0,0.0,0.0,0.0,0.0
6,150405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,160030,0.2025792388692837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,170210,0.0,0.0,0.0,0.587602757032136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,170510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.041666666666668,0.0
10,170550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3123550844650547
11,171420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.689470871191876
12,171790,0.0,0.0,0.0,0.0,0.0,0.0,13.636983499249967,0.0,0.0,0.0,0.0
13,210330,0.8156806447139815,0.0,0.8295450774795103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,211130,0.0,0.0,0.0,0.09311914687962394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,211220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6720249455659794
16,221100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,230370,0.0,0.0,0.0,0.0,0.0,0.2899088526567247,0.0,0.0,0.0,0.0,0.0
18,230440,0.0,0.03805925216614234,0.11495503725309575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,230640,0.0,0.0,0.0,0.0,0.0,0.0,0.8380824673147838,0.0,0.0,0.0,0.0
20,240200,0.0,0.0,1.476080121629002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,240240,0.0,0.0,49.279290378218555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,240810,0.22788387037965452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,260170,0.0,0.0,0.0,0.0,0.0,0.0,1.3699380787988382,0.0,0.0,0.0,0.0
24,260280,0.0,0.0,0.0,0.0,1.7887487702352203,0.0,0.0,0.0,0.0,0.0,0.0
25,260290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,260610,0.0,3.2867707477403454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,260775,0.0,7.593591009188246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,260780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,260790,0.0,0.0,0.0,0.29149334957922934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,261160,0.06105624867965862,0.0,0.0,0.12367184171488323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,261370,0.0,0.0,0.8993048373607202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
