,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,3,14,10,22,11,23,36,46,61,59,58,110001
1,2,4,0,8,5,8,15,20,20,42,26,110037
2,8,5,10,9,12,13,9,25,19,30,25,110040
3,9,4,5,5,10,14,10,10,39,32,33,110034
4,139,80,68,122,108,92,102,121,121,152,120,110002
5,5,9,16,27,18,19,20,21,48,48,41,110045
6,2,3,6,4,6,4,9,3,4,13,22,110003
7,3,3,4,8,3,3,6,12,8,11,4,110060
8,60,51,47,64,75,148,152,205,400,323,461,110004
9,1,3,3,5,4,5,10,8,6,2,8,110070
10,5,14,8,16,8,20,24,25,32,62,66,110080
11,4,1,1,4,2,1,7,6,19,11,7,110090
12,13,17,10,24,8,11,39,13,31,29,42,110005
13,1,2,2,2,9,4,8,18,9,15,12,110092
14,19,22,21,35,19,14,23,27,39,48,43,110006
15,5,9,8,13,3,1,6,6,8,5,5,110007
16,4,7,3,4,4,9,4,7,18,17,12,110008
17,3,3,7,6,10,5,4,20,13,33,10,110094
18,14,15,21,21,27,27,37,46,60,53,63,110009
19,5,9,9,6,1,2,3,6,6,8,14,110100
20,15,15,32,22,26,30,33,30,50,40,53,110010
21,6,6,8,13,3,7,14,32,9,3,9,110110
22,28,54,47,70,66,71,76,77,79,82,115,110011
23,83,110,86,105,98,95,147,112,227,271,227,110012
24,11,14,20,28,10,25,29,30,23,34,42,110013
25,3,8,3,7,7,10,13,19,15,24,28,110120
26,3,3,4,9,7,11,8,14,8,23,15,110130
27,15,24,4,11,10,5,10,13,18,20,11,110140
28,5,8,5,10,10,12,28,24,44,25,43,110014
29,6,15,8,14,6,15,18,15,29,32,23,110033
30,0,1,2,9,4,2,5,4,6,8,6,110143
31,3,4,9,10,7,4,4,12,13,21,14,110050
32,17,16,34,62,53,51,74,76,92,102,76,110015
33,5,1,3,3,6,1,3,0,1,6,5,110145
34,16,11,14,31,32,39,59,82,79,99,119,110018
35,1,3,5,1,8,0,0,2,4,1,1,110146
36,218,269,368,468,393,677,755,857,968,968,993,110020
37,6,8,7,24,5,17,29,40,44,70,54,110025
38,3,0,1,7,3,6,10,7,5,6,10,110147
39,2,2,1,8,1,4,7,2,4,7,4,110026
40,25,16,42,37,30,51,69,105,122,128,125,110028
41,1,2,1,7,9,19,11,10,18,34,19,110029
42,1,1,1,4,8,7,6,8,5,8,13,110148
43,4,5,2,7,6,2,17,22,31,29,28,110149
44,9,9,8,11,11,15,19,38,50,51,31,110032
45,6,2,6,3,3,2,13,22,15,24,7,110150
46,2,2,4,3,4,4,6,2,11,6,4,110155
47,3,11,8,10,7,13,13,20,11,21,18,110160
48,2,7,9,3,1,7,22,13,27,15,13,110170
49,2,1,4,4,2,4,3,10,8,12,17,110175
50,1,5,5,4,1,7,2,9,11,11,4,110180
51,65,48,65,77,61,49,116,96,135,125,156,110030
52,13,4,5,19,17,3,5,5,10,14,17,120001
53,7,1,10,7,4,2,3,3,2,10,13,120005
54,21,13,29,40,27,28,24,14,33,25,26,120010
55,10,5,3,3,9,10,0,0,3,1,7,120013
56,6,5,6,3,4,5,14,4,7,8,6,120017
57,54,67,31,65,54,65,50,49,76,51,93,120020
58,8,9,13,14,11,28,4,9,25,15,16,120025
59,17,30,24,16,11,23,27,6,12,15,32,120030
60,1,1,4,1,4,3,3,3,1,3,3,120032
61,8,3,3,5,8,9,13,6,14,17,9,120033
62,5,4,4,4,3,7,1,4,2,6,3,120034
63,3,10,12,4,7,4,5,7,9,3,6,120035
64,16,16,11,21,31,17,28,14,14,16,19,120038
65,7,19,18,12,25,9,12,12,22,18,15,120080
66,2,6,1,3,0,0,1,1,6,1,7,120039
67,375,434,509,593,523,585,626,696,664,606,567,120040
68,8,3,3,2,6,8,7,8,4,7,8,120042
69,3,4,2,6,5,4,3,3,2,0,3,120043
70,15,13,16,37,19,20,20,24,31,22,49,120050
71,15,20,11,10,13,9,26,34,34,15,18,120045
72,20,20,26,18,38,30,18,23,26,28,17,120060
73,7,8,15,15,8,17,15,13,13,19,13,120070
74,0,1,3,0,0,4,4,2,9,7,7,130002
75,0,0,6,1,1,0,1,0,2,2,4,130006
76,1,0,1,0,0,2,1,2,1,6,2,130008
77,1,4,0,0,0,1,0,1,5,7,4,130010
78,15,15,16,7,3,5,12,10,18,12,11,130014
79,0,2,9,1,0,0,0,1,3,1,1,130020
80,2,1,2,1,1,1,3,10,23,16,18,130030
81,1,0,0,0,0,0,3,2,8,5,1,130040
82,12,1,6,3,2,7,11,7,13,6,17,130050
83,13,15,20,7,9,3,0,3,8,13,6,130060
84,0,0,0,0,0,0,4,7,8,5,4,130063
85,2,0,1,0,0,3,2,3,9,10,5,130068
86,28,12,28,55,35,55,30,67,47,23,36,130070
87,4,1,0,1,0,6,16,11,8,11,12,130080
88,3,0,0,0,1,3,2,1,4,1,1,130083
89,0,0,0,0,0,0,1,2,3,2,2,130090
90,2,1,4,4,0,1,4,8,14,22,14,130100
91,2,0,1,4,1,2,12,56,77,36,8,130110
92,3,0,0,0,3,1,0,11,14,14,9,130115
93,28,15,35,27,16,29,42,24,45,34,37,130120
94,2,0,0,1,0,0,1,4,9,16,7,130130
95,1,0,1,3,0,0,1,2,15,11,10,130140
96,1,1,2,2,2,4,7,8,6,4,8,130150
97,0,0,0,0,1,0,0,2,6,8,16,130160
98,2,1,0,1,2,1,1,1,1,2,5,130165
99,22,6,3,9,10,22,24,23,33,34,29,130170
100,6,1,0,0,2,0,1,0,4,1,5,130180
101,5,56,282,238,129,60,79,794,24,56,28,130185
102,39,1,1,1,8,23,30,30,49,56,58,130190
103,5,1,0,1,0,2,0,0,1,2,1,130195
104,0,2,0,1,3,0,1,0,2,2,2,130200
105,0,2,1,0,0,0,0,0,5,1,6,130210
106,1,0,0,0,0,0,4,3,3,0,1,130220
107,5,1,2,7,3,35,14,32,19,31,23,130230
108,1,2,0,1,0,5,3,12,10,9,14,130240
109,30,11,12,5,6,19,45,41,65,75,61,130250
110,1,0,0,0,1,0,1,11,11,5,8,130255
111,4293,3762,4084,3935,3196,3071,1669,2275,2564,2504,2368,130260
112,23,1,5,0,3,21,10,4,12,6,6,130270
113,1,1,0,1,0,1,0,3,4,6,3,130280
114,0,0,0,1,1,12,14,10,37,33,32,130290
115,3,0,0,0,0,5,1,7,10,5,5,130300
116,32,6,0,4,3,2,6,3,19,7,14,130310
117,5,4,2,2,1,3,2,2,8,15,14,130320
118,1,8,0,0,0,3,1,2,4,15,7,130330
119,42,46,24,18,22,43,42,66,64,58,64,130340
120,8,8,9,17,37,15,5,7,4,5,3,130350
121,5,5,10,4,1,2,8,7,15,31,30,130353
122,10,0,2,0,1,3,9,9,18,30,18,130356
123,5,4,5,2,1,1,0,1,4,6,4,130360
124,0,0,4,3,2,4,0,4,6,2,1,130370
125,6,10,1,10,0,1,4,6,15,15,20,130380
126,9,7,19,9,9,4,5,0,4,8,1,130390
127,0,0,1,0,1,0,1,1,5,5,1,130395
128,0,0,0,0,0,0,1,4,1,3,0,130400
129,9,7,3,4,2,6,17,19,22,22,18,130406
130,1,0,2,0,5,8,7,5,11,2,4,130410
131,26,11,12,8,0,10,47,35,43,56,83,130420
132,10,0,0,0,0,1,1,1,3,5,6,130423
133,0,0,0,0,0,0,1,0,6,0,1,130426
134,6,13,3,0,1,1,3,1,6,11,6,130430
135,1,1,0,0,0,1,2,6,4,5,7,130440
136,1,11,12,18,7,8,7,3,11,19,8,140005
137,0,1,4,1,10,8,12,5,4,6,9,140002
138,149,353,642,456,528,430,377,442,696,683,761,140010
139,1,1,4,1,5,2,4,4,7,11,15,140015
140,1,11,17,12,10,15,9,22,35,22,21,140017
141,2,18,20,25,20,19,15,11,22,21,9,140020
142,1,3,7,11,6,7,2,1,3,11,13,140023
143,1,2,17,12,8,4,7,1,6,5,11,140028
144,1,4,12,9,17,23,5,15,18,14,15,140030
145,1,0,6,4,3,4,4,3,2,2,11,140040
146,0,2,11,16,12,9,5,3,5,9,14,140045
147,2,5,20,24,12,13,8,7,21,20,31,140047
148,2,4,10,10,7,3,3,2,5,4,5,140050
149,0,1,3,0,1,4,9,8,11,7,4,140060
150,1,1,6,6,4,1,1,2,0,1,7,140070
151,218,89,116,100,84,87,81,78,112,133,120,150010
152,3,1,2,4,3,3,1,1,2,2,0,150013
153,11,18,17,23,19,21,18,14,20,43,34,150020
154,4,7,9,6,10,11,5,10,6,4,7,150030
155,3,3,6,18,4,7,9,11,7,7,6,150034
156,6,8,9,12,8,12,12,32,26,38,47,150040
157,16,10,20,10,17,10,12,18,21,26,30,150050
158,59,50,53,42,49,79,72,70,55,123,136,150060
159,13,7,5,4,8,6,7,6,6,10,21,150070
160,330,316,288,275,289,327,282,306,345,390,388,150080
161,2,6,4,6,2,9,7,7,8,8,13,150085
162,40,28,14,12,9,11,14,15,14,9,29,150090
163,45,40,19,24,16,10,7,9,8,5,22,150095
164,2,0,1,2,4,10,6,5,5,2,5,150100
165,5,9,5,10,14,10,4,8,2,8,6,150110
166,10,4,6,4,10,5,7,14,9,15,6,150120
167,0,1,0,1,2,2,0,6,4,3,10,150125
168,49,55,55,72,67,42,71,73,93,73,90,150130
169,1266,1462,1440,1273,1125,1236,1048,1263,1265,1510,1541,150140
170,4,7,8,12,12,8,13,15,22,18,24,150145
171,30,29,36,31,35,34,21,35,36,48,52,150150
172,7,3,2,8,9,4,2,4,2,7,13,150157
173,8,2,6,8,12,6,12,4,1,15,11,150160
174,68,71,50,57,45,68,69,77,76,91,114,150170
175,7,4,4,4,5,9,6,8,3,7,11,150172
176,1,1,6,1,0,3,6,1,3,5,5,150175
177,11,8,8,10,11,12,13,14,25,19,20,150178
178,33,35,19,27,36,29,31,51,41,68,78,150180
179,9,9,12,11,6,4,8,7,11,22,17,150190
180,6,3,8,7,8,10,9,15,9,9,12,150200
181,12,8,9,5,9,3,3,3,2,2,1,150195
182,42,38,38,52,47,58,65,59,48,75,56,150210
183,6,13,6,10,9,10,14,11,20,23,43,150215
184,60,63,24,39,38,34,48,39,37,43,46,150220
185,24,26,17,18,26,34,19,25,33,27,35,150230
186,101,105,113,99,111,128,103,99,125,148,149,150240
187,2,11,4,2,5,6,2,6,10,2,5,150250
188,9,9,10,7,5,3,7,1,16,1,10,150260
189,99,67,65,69,50,57,71,73,38,39,38,150270
190,11,14,14,8,13,12,13,15,13,14,19,150275
191,3,0,3,0,0,1,4,0,1,3,3,150276
192,3,4,6,3,11,3,5,15,14,0,4,150277
193,2,6,5,13,6,12,4,11,12,7,9,150280
194,1,0,2,0,2,4,1,8,7,20,11,150285
195,16,12,15,10,8,16,18,21,15,23,22,150290
196,38,18,24,12,23,16,19,25,17,23,18,150293
197,12,11,5,8,13,4,5,3,6,16,9,150295
198,3,1,0,0,0,0,1,1,0,1,1,150300
199,7,4,3,2,1,14,12,8,20,14,12,150304
200,5,5,3,11,9,11,13,9,6,7,10,150307
201,7,7,12,6,16,8,17,24,12,16,20,150309
202,2,2,13,7,6,8,10,11,5,7,13,150310
203,17,17,22,22,25,33,20,28,21,27,31,150320
204,167,29,25,37,22,29,32,23,22,42,48,150330
205,3,4,1,3,4,2,5,6,3,4,11,150340
206,93,60,71,41,10,15,10,19,29,12,32,150345
207,6,13,13,14,9,9,17,10,10,10,7,150350
208,100,67,56,39,77,52,48,31,52,49,56,150360
209,13,3,9,9,66,21,18,29,27,39,21,150370
210,4,2,5,0,2,4,2,3,9,8,8,150375
211,14,21,7,15,16,17,21,15,35,23,25,150380
212,3,3,2,3,1,4,10,13,19,36,23,150390
213,7,5,12,3,8,4,9,7,9,20,31,150400
214,12,14,15,16,13,12,12,15,6,20,29,150405
215,2,0,6,3,4,6,3,4,4,5,3,150410
216,82,102,159,118,104,93,103,91,97,122,127,150420
217,11,15,5,12,12,13,15,28,13,17,13,150430
218,10,19,16,10,11,17,13,19,8,15,16,150440
219,70,81,67,60,69,71,61,54,62,90,98,150442
220,24,19,24,29,26,27,19,20,14,40,50,150445
221,4,1,1,1,3,3,5,12,2,7,11,150450
222,9,12,8,17,6,14,6,8,17,17,17,150460
223,47,28,33,25,33,24,10,22,17,41,43,150470
224,0,0,0,0,0,0,0,7,18,21,11,150475
225,21,11,25,58,29,28,37,51,40,50,61,150480
226,34,16,17,27,14,19,22,21,26,15,9,150490
227,3,0,4,1,1,4,7,4,6,14,4,150495
228,10,7,3,4,3,3,3,6,4,5,9,150497
229,7,7,11,10,15,11,5,7,9,9,10,150500
230,11,12,12,9,26,27,15,28,22,21,19,150503
231,16,19,17,16,14,14,21,17,14,30,27,150506
232,2,11,14,11,8,15,22,12,28,35,35,150510
233,2,7,6,6,9,8,8,11,8,16,9,150520
234,45,51,38,18,18,24,27,33,52,35,52,150530
235,18,14,4,6,2,1,8,5,7,19,9,150540
236,7,7,5,2,18,7,12,10,9,15,12,150543
237,6,21,10,25,32,18,15,18,22,14,43,150548
238,6,2,3,2,2,2,0,5,3,1,5,150549
239,153,165,123,33,37,39,36,41,100,100,140,150550
240,53,38,32,34,42,45,54,62,74,109,133,150553
241,3,1,3,2,2,7,3,0,4,6,3,150555
242,8,6,2,1,2,6,13,5,5,4,4,150560
243,8,1,3,3,9,2,9,3,12,2,4,150563
244,3,2,8,4,2,12,5,4,13,14,13,150565
245,7,7,14,8,4,8,18,10,26,15,22,150570
246,10,12,11,15,9,14,15,18,8,6,23,150580
247,3,51,13,7,8,8,6,12,16,10,20,150590
248,4,7,12,8,12,22,20,16,22,19,19,150600
249,3,7,9,4,10,8,11,9,17,8,13,150610
250,5,9,3,1,7,5,12,5,6,7,7,150611
251,40,69,56,70,69,56,58,70,74,82,105,150613
252,11,22,26,33,38,11,14,22,11,14,11,150616
253,8,15,9,17,12,14,14,21,19,8,20,150618
254,5,0,10,9,8,13,16,18,16,27,25,150619
255,32,23,34,36,33,25,24,22,21,56,38,150620
256,6,9,8,14,6,7,6,14,8,21,6,150630
257,14,7,9,12,6,6,9,6,8,14,13,150635
258,3,3,3,0,2,8,7,6,2,4,4,150640
259,26,44,27,33,24,28,37,38,56,42,49,150650
260,16,11,10,6,8,19,11,5,9,13,25,150655
261,1,4,4,4,4,3,10,6,7,2,4,150658
262,16,37,18,13,19,14,15,14,13,17,21,150660
263,34,22,16,11,14,10,11,12,20,17,15,150670
264,82,121,309,223,312,461,435,393,459,452,567,150680
265,4,1,1,4,2,2,4,3,0,4,0,150690
266,6,24,17,11,21,19,14,22,14,17,30,150700
267,7,12,12,10,15,8,11,10,8,10,9,150710
268,23,16,6,16,9,12,5,7,15,12,13,150715
269,7,10,6,9,6,10,13,7,7,14,5,150720
270,11,11,19,16,32,21,33,42,27,28,24,150730
271,10,8,5,13,12,5,8,7,8,6,16,150740
272,18,10,16,10,12,6,5,8,15,4,8,150745
273,0,0,3,2,2,3,1,1,3,2,2,150746
274,16,17,8,8,14,4,7,11,9,11,19,150747
275,1,8,8,2,4,2,2,5,10,9,9,150750
276,17,20,19,23,24,25,29,37,26,39,48,150760
277,4,7,8,10,9,14,12,8,11,15,16,150770
278,4,1,1,3,3,1,4,6,6,9,4,150775
279,6,1,3,4,5,4,2,7,1,5,3,150780
280,11,8,16,11,9,8,14,5,12,16,12,150790
281,20,26,27,13,11,29,31,20,22,27,32,150795
282,7,4,15,3,2,1,8,6,5,3,5,150796
283,2,4,2,7,2,4,3,6,2,10,12,150797
284,25,23,28,19,13,32,35,29,32,48,36,150800
285,6,9,8,16,13,19,18,8,20,15,20,150803
286,9,5,4,3,7,9,6,5,3,6,8,150805
287,50,19,13,18,14,11,30,30,18,22,17,150808
288,31,50,44,44,53,46,58,48,45,44,54,150810
289,27,46,18,9,2,18,22,6,11,21,13,150812
290,7,10,9,9,29,22,16,11,16,32,28,150815
291,19,29,32,48,16,24,42,31,34,45,39,150820
292,41,13,8,9,8,20,22,21,29,27,42,150830
293,2,4,3,1,4,4,8,12,14,12,17,150835
294,21,10,13,13,39,53,39,35,41,49,80,150840
295,11,16,4,13,7,10,10,11,10,11,8,160010
