,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,7,24,18,16,14,16,27,15,14,22,29,110001
1,1,1,1,3,4,4,5,5,3,8,1,110037
2,4,2,2,3,7,5,11,3,7,10,9,110040
3,1,0,1,3,2,3,2,5,5,9,15,110034
4,23,37,25,27,47,62,50,57,119,81,93,110002
5,0,4,4,4,7,7,10,17,16,15,29,110045
6,2,4,3,4,8,8,13,13,13,4,4,110003
7,1,3,2,0,1,0,0,0,0,2,4,110060
8,59,51,21,31,71,75,85,79,102,74,147,110004
9,2,3,1,0,4,4,5,5,12,13,7,110070
10,4,2,6,4,4,8,16,11,23,21,12,110080
11,0,2,1,1,1,0,3,2,6,2,3,110090
12,10,7,11,14,18,16,17,34,21,16,25,110005
13,1,4,4,6,11,9,5,6,9,5,8,110092
14,7,8,15,11,17,15,19,31,22,16,23,110006
15,3,1,6,7,7,8,8,7,7,0,4,110007
16,1,0,1,2,0,1,4,8,10,3,7,110008
17,0,2,5,6,0,3,4,2,9,6,13,110094
18,6,3,9,5,8,11,21,22,14,14,23,110009
19,2,0,0,2,2,5,2,7,8,5,7,110100
20,4,6,6,13,12,9,13,16,19,15,12,110010
21,0,1,0,0,2,2,2,0,7,4,2,110110
22,11,5,14,14,6,23,41,30,61,24,26,110011
23,45,20,48,44,27,55,55,89,132,78,101,110012
24,2,6,3,7,2,4,15,10,14,20,12,110013
25,3,1,3,3,4,7,8,2,6,5,12,110120
26,3,3,3,11,1,2,1,3,8,4,8,110130
27,1,3,4,6,5,6,6,8,8,10,8,110140
28,5,6,9,3,4,3,12,10,6,6,14,110014
29,0,6,6,3,1,2,5,15,13,10,6,110033
30,2,0,1,3,0,5,2,0,6,1,2,110143
31,1,2,5,1,6,4,7,5,3,5,17,110050
32,9,12,17,22,21,28,19,21,37,34,53,110015
33,1,0,0,5,2,3,4,5,2,3,2,110145
34,36,22,26,26,28,43,40,33,27,34,50,110018
35,0,2,0,2,0,2,1,3,0,0,4,110146
36,125,130,128,192,194,354,298,246,397,267,380,110020
37,6,2,1,3,6,4,3,6,13,18,32,110025
38,3,2,2,2,1,4,2,10,5,3,2,110147
39,0,3,0,1,0,1,2,3,1,0,3,110026
40,14,20,31,23,33,49,84,47,42,56,59,110028
41,0,2,2,5,5,11,5,11,1,1,1,110029
42,2,4,1,0,6,3,3,5,5,5,15,110148
43,1,2,3,3,4,3,17,17,23,19,28,110149
44,3,5,4,8,14,10,9,4,5,19,11,110032
45,0,2,1,1,1,4,3,12,10,9,2,110150
46,1,0,2,0,1,0,0,0,1,2,3,110155
47,1,1,0,2,3,3,2,4,8,2,4,110160
48,1,3,5,4,3,1,0,10,3,9,14,110170
49,1,0,0,2,0,2,2,0,3,1,3,110175
50,0,3,1,2,5,3,2,3,2,2,3,110180
51,27,126,106,113,139,164,212,226,128,133,185,110030
52,0,2,3,10,4,3,3,3,3,5,7,120001
53,0,1,0,1,0,1,1,0,0,0,3,120005
54,2,7,5,11,5,3,12,8,6,5,6,120010
55,1,1,3,3,2,3,0,1,2,1,2,120013
56,0,2,0,2,2,1,1,6,1,3,2,120017
57,36,96,51,60,53,35,50,33,74,47,52,120020
58,4,3,2,6,1,3,5,7,6,4,4,120025
59,6,3,3,10,3,7,1,4,3,8,7,120030
60,0,0,0,0,0,0,2,0,0,0,0,120032
61,1,10,3,5,8,3,3,9,6,5,7,120033
62,2,0,0,1,0,0,1,5,0,4,3,120034
63,0,6,3,2,0,1,1,2,3,1,6,120035
64,3,4,5,6,3,6,8,4,1,1,2,120038
65,3,4,3,5,6,3,2,4,7,5,4,120080
66,0,8,0,1,1,2,0,1,3,4,8,120039
67,182,256,204,218,148,148,175,196,188,157,207,120040
68,1,7,3,5,0,1,2,0,10,7,3,120042
69,0,0,1,1,1,3,0,2,1,0,1,120043
70,5,13,9,11,4,3,5,9,4,5,5,120050
71,3,5,3,10,2,4,4,5,3,6,11,120045
72,11,9,5,6,15,11,9,10,13,20,22,120060
73,6,10,13,3,8,12,19,7,3,6,5,120070
74,0,0,1,2,0,0,1,0,0,0,2,130002
75,0,0,0,0,0,0,0,0,1,0,0,130006
76,0,0,0,0,0,0,0,0,1,0,3,130008
77,0,0,0,0,0,0,0,1,0,4,5,130010
78,2,2,3,2,3,3,4,5,2,2,1,130014
79,0,0,0,0,0,0,0,1,0,0,1,130020
80,0,0,0,0,0,2,1,9,13,7,14,130030
81,1,3,0,1,0,2,1,1,0,0,6,130040
82,0,2,2,5,3,5,3,1,3,1,7,130050
83,0,0,1,2,0,0,0,4,5,6,6,130060
84,0,0,0,0,1,0,1,1,0,1,4,130063
85,1,0,1,0,0,2,0,0,0,1,1,130068
86,0,1,3,6,4,5,10,7,4,8,4,130070
87,1,0,0,0,2,2,2,3,8,11,4,130080
88,0,0,0,0,0,4,2,1,2,0,6,130083
89,0,2,0,1,0,0,0,0,1,1,0,130090
90,1,0,3,0,2,2,1,5,4,11,6,130100
91,2,0,0,1,0,0,20,30,17,27,24,130110
92,0,0,0,0,0,0,0,2,5,12,17,130115
93,2,1,2,2,0,7,22,29,23,11,28,130120
94,0,0,0,0,0,1,0,0,3,16,7,130130
95,0,0,4,6,0,0,5,1,0,3,2,130140
96,0,0,0,0,0,1,0,1,4,5,5,130150
97,0,0,1,1,0,0,0,1,1,4,2,130160
98,2,6,2,0,8,1,2,3,9,3,6,130165
99,5,4,0,2,2,5,14,11,15,13,19,130170
100,2,0,1,3,3,2,3,2,3,10,5,130180
101,1,1,0,0,0,0,2,13,20,16,34,130185
102,5,2,2,0,2,0,7,21,22,48,38,130190
103,0,0,0,0,0,0,0,1,3,0,0,130195
104,6,0,1,0,0,0,0,1,0,0,0,130200
105,0,0,1,0,0,0,0,0,2,0,0,130210
106,0,0,1,0,1,3,1,2,0,0,0,130220
107,0,0,3,1,0,0,0,0,1,1,0,130230
108,3,5,0,0,2,0,1,3,5,0,5,130240
109,0,0,1,3,3,10,9,22,24,48,72,130250
110,0,0,0,0,0,1,3,3,5,3,4,130255
111,1606,1497,1413,1796,2031,2163,2051,2392,2415,2375,2474,130260
112,8,0,0,0,0,0,0,1,1,3,7,130270
113,1,0,0,0,3,1,0,2,0,0,2,130280
114,2,4,2,4,2,6,2,7,11,19,14,130290
115,0,0,1,0,4,1,2,1,1,1,1,130300
116,2,2,2,0,1,1,0,2,2,5,7,130310
117,0,0,0,0,0,0,0,6,5,8,7,130320
118,1,0,1,0,0,3,3,1,1,3,3,130330
119,14,17,27,18,30,61,31,31,34,40,55,130340
120,0,0,3,0,5,0,4,3,0,1,4,130350
121,0,0,0,0,1,0,4,9,12,17,23,130353
122,2,0,0,0,0,1,0,7,12,14,17,130356
123,0,0,0,0,0,0,0,1,0,0,0,130360
124,0,0,0,0,1,0,0,0,5,3,3,130370
125,0,0,0,0,1,0,0,1,4,5,8,130380
126,8,8,1,3,2,2,8,2,2,4,0,130390
127,0,1,0,1,3,0,1,0,0,0,2,130395
128,0,0,0,0,0,0,0,0,1,1,0,130400
129,0,19,15,10,0,3,5,22,27,36,22,130406
130,3,0,0,0,1,0,1,1,0,2,4,130410
131,1,5,13,5,14,4,23,27,15,15,22,130420
132,0,0,0,0,0,0,0,1,1,0,1,130423
133,0,0,0,0,0,0,0,1,0,1,1,130426
134,0,1,0,0,0,1,0,2,1,1,4,130430
135,6,4,0,0,0,2,1,1,0,0,6,130440
136,2,5,2,2,5,2,1,3,3,1,2,140005
137,0,2,1,2,0,0,1,0,0,2,2,140002
138,147,151,112,124,169,122,150,219,253,204,216,140010
139,0,3,0,1,0,1,0,2,1,4,0,140015
140,1,0,3,2,3,9,3,6,7,0,1,140017
141,1,3,7,3,3,1,4,4,6,4,10,140020
142,2,0,1,0,3,2,1,5,3,3,3,140023
143,0,0,0,3,1,1,1,0,1,3,3,140028
144,1,2,3,4,7,2,2,10,3,5,5,140030
145,0,4,0,0,0,2,0,5,3,0,1,140040
146,2,2,3,3,1,3,2,2,3,2,3,140045
147,4,7,3,1,1,8,3,4,3,8,2,140047
148,0,1,2,0,1,2,3,1,1,1,0,140050
149,1,0,1,0,0,1,1,2,1,4,2,140060
150,0,2,0,0,1,0,0,0,2,0,0,140070
151,31,41,31,44,44,46,52,60,56,71,47,150010
152,0,1,5,3,3,2,3,0,1,2,3,150013
153,4,4,4,3,2,6,9,6,11,6,6,150020
154,5,6,1,0,0,3,3,1,2,4,4,150030
155,2,2,1,3,3,3,1,3,6,2,6,150034
156,100,64,69,89,69,87,43,20,14,14,62,150040
157,5,14,12,5,8,11,5,17,14,17,21,150050
158,30,24,43,28,19,44,74,54,32,52,35,150060
159,2,0,7,1,2,0,2,2,1,2,2,150070
