,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,40,1,2,0,1,0,1,1,2,2,1,110001
1,6,0,1,0,1,1,4,0,1,1,2,110037
2,0,1,0,0,2,1,1,1,2,0,2,110040
3,8,0,0,0,0,1,0,1,1,0,2,110034
4,6,6,8,7,15,52,55,33,18,15,6,110002
5,1,0,1,1,2,11,7,9,2,2,3,110045
6,0,0,0,0,0,0,3,2,2,2,1,110003
7,0,0,0,0,0,0,0,0,0,2,1,110060
8,43,1,2,2,18,40,41,38,27,12,14,110004
9,0,0,0,0,0,2,1,0,1,1,2,110070
10,2,0,1,1,0,0,2,0,2,2,2,110080
11,1,0,0,0,2,1,3,0,0,1,0,110090
12,3,0,0,0,1,0,3,9,6,9,3,110005
13,0,0,0,0,0,0,3,2,1,0,3,110092
14,9,0,0,0,0,0,2,3,4,6,1,110006
15,2,0,0,0,1,0,0,2,1,3,1,110007
16,1,0,0,1,0,0,0,0,1,1,1,110008
17,0,0,0,0,0,3,1,2,1,1,6,110094
18,12,0,0,0,1,1,3,2,1,2,7,110009
19,0,0,0,0,1,7,1,1,2,0,0,110100
20,5,3,3,1,3,4,3,3,2,4,1,110010
21,0,0,0,0,0,0,0,0,0,3,1,110110
22,5,0,4,9,13,3,8,8,6,8,8,110011
23,51,2,1,2,1,3,7,5,13,3,13,110012
24,0,0,0,0,4,1,1,2,1,2,8,110013
25,3,0,0,0,0,1,1,2,0,0,1,110120
26,1,1,0,2,1,0,0,1,0,0,1,110130
27,1,0,3,0,1,2,0,0,0,0,1,110140
28,13,0,0,0,0,1,1,0,1,0,1,110014
29,0,0,1,0,1,1,1,2,1,2,1,110033
30,2,0,0,1,0,0,1,0,0,0,0,110143
31,1,0,0,0,1,0,4,5,0,4,5,110050
32,8,5,20,15,20,38,26,14,14,12,31,110015
33,0,0,3,5,4,1,6,2,7,10,5,110145
34,29,2,0,0,2,17,13,8,9,20,27,110018
35,0,0,0,0,1,0,4,2,1,1,0,110146
36,17,3,26,13,9,24,14,18,15,27,51,110020
37,3,0,1,3,0,0,0,4,1,2,1,110025
38,1,0,0,0,0,2,0,3,2,4,2,110147
39,0,0,0,0,2,0,0,0,0,1,2,110026
40,27,0,1,2,9,21,57,18,4,37,24,110028
41,0,0,0,0,0,0,2,1,1,0,2,110029
42,2,0,0,0,0,0,1,0,1,2,1,110148
43,1,0,0,0,2,0,2,2,0,5,1,110149
44,10,3,14,13,15,4,17,7,6,7,7,110032
45,0,0,0,0,1,0,0,0,1,0,0,110150
46,0,0,0,0,1,1,0,0,0,0,1,110155
47,2,0,1,1,1,0,2,0,0,0,2,110160
48,3,0,2,1,1,1,0,1,1,0,0,110170
49,1,1,0,1,0,1,0,0,0,1,1,110175
50,1,3,2,10,4,4,2,1,1,0,5,110180
51,13,0,1,0,2,2,46,72,41,54,36,110030
52,1,1,3,1,1,0,0,0,0,0,0,120001
53,0,0,1,1,0,1,0,0,1,0,0,120005
54,1,2,8,8,10,4,4,3,9,0,4,120010
55,1,1,0,0,0,1,0,0,0,0,0,120013
56,0,1,0,0,2,0,0,1,0,0,1,120017
57,13,14,21,11,6,1,1,6,5,7,8,120020
58,4,0,0,6,7,10,1,7,3,2,1,120025
59,2,1,1,1,9,5,2,1,0,2,5,120030
60,0,0,1,1,1,1,2,1,1,1,2,120033
61,3,1,2,7,2,1,1,13,22,16,4,120034
62,1,0,2,1,0,0,0,0,1,0,0,120035
63,4,1,2,8,7,7,3,4,4,2,5,120038
64,2,0,0,1,0,1,1,2,0,1,0,120080
65,1,1,1,2,2,0,4,0,1,1,6,120039
66,45,14,12,15,21,24,16,16,26,19,15,120040
67,6,4,1,2,1,1,0,3,3,1,4,120042
68,1,2,0,2,0,0,2,0,0,0,0,120043
69,6,1,4,1,2,3,2,3,7,30,23,120050
70,7,6,3,3,6,1,3,6,10,2,2,120045
71,4,1,8,4,4,2,3,1,6,3,8,120060
72,12,1,0,0,2,10,20,5,4,15,11,120070
73,0,0,0,0,0,0,0,1,0,0,0,130002
74,0,0,0,0,0,0,0,0,0,1,0,130006
75,0,0,0,0,0,0,0,1,0,0,0,130008
76,1,0,0,0,0,1,0,0,0,0,0,130014
