,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,0,0,0,0,1,0,0,4,1,1,2,110001
1,0,0,1,0,0,1,0,1,1,0,0,110037
2,0,0,0,0,1,0,0,1,0,0,0,110040
3,0,0,0,1,0,0,0,3,0,2,0,110034
4,0,0,1,3,2,6,15,13,3,10,3,110002
5,0,0,0,0,0,1,0,1,0,1,1,110045
6,0,0,0,0,0,0,0,0,1,0,0,110003
7,0,0,0,1,1,5,1,3,4,5,12,110004
8,0,0,0,0,0,1,0,1,0,0,0,110070
9,0,0,0,0,0,2,1,1,1,0,0,110080
10,0,0,0,0,0,0,1,0,0,0,0,110090
11,0,0,0,0,0,0,0,0,1,1,0,110006
12,0,0,0,0,0,0,0,0,1,0,0,110007
13,0,0,0,0,0,0,0,0,0,0,1,110008
14,0,0,0,0,0,0,1,2,1,2,2,110094
15,0,0,0,0,0,1,0,2,1,0,3,110009
16,0,0,0,0,0,0,1,0,0,0,0,110100
17,0,0,0,0,0,2,1,0,1,0,3,110010
18,0,0,0,0,0,0,1,0,0,0,1,110110
19,0,0,4,1,9,6,2,1,1,4,3,110011
20,0,0,0,2,0,1,2,5,6,0,6,110012
21,0,0,0,0,0,1,0,0,0,5,2,110013
22,0,0,0,0,0,0,1,0,0,0,0,110120
23,1,0,0,0,0,0,0,1,0,0,0,110130
24,0,0,0,0,0,0,2,0,1,3,3,110140
25,0,0,0,0,0,0,0,0,1,0,0,110014
26,0,0,0,0,0,2,0,1,0,0,1,110033
27,0,0,0,0,0,4,10,4,8,1,1,110050
28,2,3,3,4,0,7,4,2,4,2,9,110015
29,0,0,1,3,0,1,2,3,0,2,0,110145
30,0,0,0,0,0,1,1,8,4,8,16,110018
31,0,0,0,0,0,0,0,0,0,1,0,110146
32,0,0,2,2,5,31,17,22,25,33,24,110020
33,0,0,0,0,0,0,1,1,1,0,3,110025
34,0,0,0,0,0,1,1,1,0,0,1,110147
35,0,0,0,0,1,2,0,1,5,3,2,110028
36,0,0,0,0,0,0,0,0,0,1,0,110029
37,0,0,0,0,0,1,1,3,4,2,1,110149
38,0,0,0,0,0,0,0,1,0,2,4,110032
39,0,1,0,0,0,0,0,0,0,0,0,110155
40,0,0,1,0,1,0,0,0,1,0,0,110160
41,0,0,0,0,0,0,0,0,0,0,1,110170
42,0,0,0,0,0,0,0,0,1,0,0,110175
43,0,0,0,0,0,1,0,0,0,0,1,110180
44,0,0,0,0,1,1,0,2,3,0,1,110030
45,0,0,1,0,1,0,0,0,0,0,0,120001
46,0,1,1,0,0,0,0,1,0,0,0,120005
47,0,0,0,0,0,1,3,0,0,1,0,120010
48,0,0,0,0,0,0,0,1,0,0,0,120013
49,0,0,0,1,0,0,0,0,0,0,0,120017
50,5,1,0,0,0,0,0,1,1,1,3,120020
51,0,0,0,0,0,0,0,1,0,0,1,120025
52,0,1,0,0,5,0,0,0,0,0,0,120030
53,0,0,0,1,0,0,0,0,0,0,0,120032
54,0,0,0,1,0,0,0,0,0,0,1,120033
55,0,0,0,0,0,0,1,0,0,0,0,120034
56,0,0,1,0,0,0,3,0,0,0,0,120035
57,0,0,0,0,0,0,1,0,1,2,0,120038
58,0,0,0,0,0,0,1,1,1,0,0,120080
59,0,0,0,0,0,0,0,0,0,2,0,120039
60,6,0,2,1,14,5,19,29,14,6,17,120040
61,2,0,0,0,0,0,1,0,0,0,0,120042
62,0,0,0,2,0,0,1,0,1,0,0,120043
63,0,0,0,0,0,0,1,1,2,1,2,120050
64,0,2,2,1,0,1,0,5,3,0,0,120045
65,1,0,2,2,4,0,7,6,5,1,3,120060
66,0,0,0,0,0,7,9,1,3,8,5,120070
67,0,0,0,0,0,0,0,0,0,1,0,130068
68,0,0,0,0,2,0,0,0,0,0,0,130070
69,0,0,0,0,0,0,0,0,0,0,1,130080
70,0,0,0,0,0,0,0,0,0,1,0,130100
71,0,0,0,0,0,0,0,3,1,0,1,130110
72,0,0,0,0,0,0,0,2,0,0,0,130120
73,0,0,0,0,0,0,3,1,0,0,0,130130
74,0,0,0,0,0,0,0,0,0,0,1,130150
75,0,0,0,0,0,0,0,0,0,0,1,130165
76,0,0,0,0,2,0,1,2,1,3,0,130170
77,0,0,0,0,0,0,0,1,0,0,0,130190
78,0,0,0,0,0,0,0,0,0,0,1,130210
79,0,0,0,0,1,0,0,1,0,0,1,130250
80,8,2,9,7,10,8,12,13,19,28,27,130260
81,0,0,0,0,0,0,0,0,1,0,0,130270
82,0,0,0,0,0,0,0,0,0,1,0,130280
83,0,0,0,0,0,0,0,1,5,1,5,130290
84,0,0,0,0,0,0,0,0,0,1,1,130300
85,0,0,0,0,0,0,0,0,0,1,0,130320
86,0,0,0,0,0,0,0,6,4,1,6,130340
87,0,0,0,0,0,1,0,0,0,0,0,130350
88,0,0,0,0,0,0,1,0,2,0,0,130353
89,0,0,0,0,0,0,0,0,0,0,1,130356
90,0,0,0,0,2,2,0,0,0,0,2,130370
91,0,0,0,0,0,0,0,0,1,1,0,130380
92,0,0,0,4,0,0,0,3,0,0,1,130390
93,0,0,0,0,0,0,0,0,1,0,0,130406
94,0,0,0,1,4,0,2,1,1,1,2,130420
95,0,0,0,0,0,0,0,0,0,2,3,130426
96,0,0,0,0,2,0,0,0,0,0,3,140005
