"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";54;50;58;38;32;47;64;53;33;33;42;504
"110037 Alto Alegre dos Parecis";3;8;10;23;29;15;10;9;6;14;12;139
"110040 Alto Paraíso";5;14;16;22;21;23;14;21;12;15;14;177
"110034 Alvorada D'Oeste";37;53;73;46;61;51;27;42;23;20;37;470
"110002 Ariquemes";79;89;96;126;98;114;96;85;114;151;83;1131
"110045 Buritis";5;6;8;6;10;47;45;11;23;16;16;193
"110003 Cabixi";5;14;19;17;23;17;18;4;18;25;15;175
"110060 Cacaulândia";3;11;7;18;7;7;3;3;2;7;2;70
"110004 Cacoal";148;164;113;120;121;156;207;158;115;93;134;1529
"110070 Campo Novo de Rondônia";11;15;12;23;16;26;26;12;30;19;37;227
"110080 Candeias do Jamari";11;18;10;25;24;16;10;16;6;4;13;153
"110090 Castanheiras";7;9;6;7;4;2;2;6;-;2;2;47
"110005 Cerejeiras";44;78;44;46;55;25;18;21;28;32;38;429
"110092 Chupinguaia";9;10;3;6;7;6;11;3;3;4;4;66
"110006 Colorado do Oeste";33;42;41;39;31;27;24;23;24;26;35;345
"110007 Corumbiara";4;6;7;11;8;3;4;2;4;3;5;57
"110008 Costa Marques";27;19;16;25;6;4;25;11;11;17;24;185
"110094 Cujubim";-;3;3;9;12;3;2;6;7;15;28;88
"110009 Espigão D'Oeste";20;40;20;59;67;46;56;61;80;83;107;639
"110100 Governador Jorge Teixeira";4;17;5;11;19;26;29;28;10;6;7;162
"110010 Guajará-Mirim";32;55;45;50;56;62;62;54;55;34;34;539
"110110 Itapuã do Oeste";1;4;7;4;7;2;2;5;4;4;11;51
"110011 Jaru";84;97;72;62;68;82;97;90;111;95;96;954
"110012 Ji-Paraná";222;232;252;235;299;337;338;264;230;250;229;2888
"110013 Machadinho D'Oeste";21;35;32;36;18;38;37;20;15;35;65;352
"110120 Ministro Andreazza";14;12;18;13;17;25;26;28;10;12;11;186
"110130 Mirante da Serra";15;21;25;25;19;22;27;14;8;15;9;200
"110140 Monte Negro";28;45;57;70;30;22;44;1;2;5;20;324
"110014 Nova Brasilândia D'Oeste";23;46;50;34;36;36;56;7;43;36;32;399
"110033 Nova Mamoré";8;17;13;23;17;38;25;39;32;32;39;283
"110143 Nova União";4;9;11;17;6;10;5;-;2;-;5;69
"110050 Novo Horizonte do Oeste";10;12;18;22;20;22;18;17;18;12;19;188
"110015 Ouro Preto do Oeste";54;64;98;89;72;80;62;62;72;68;84;805
"110145 Parecis";3;2;5;4;3;4;3;1;2;4;2;33
"110018 Pimenta Bueno";75;53;75;126;111;78;67;53;78;121;147;984
"110146 Pimenteiras do Oeste";3;4;2;6;1;-;2;2;-;4;1;25
"110020 Porto Velho";134;199;179;226;142;210;140;117;154;96;136;1733
"110025 Presidente Médici";53;62;41;36;38;58;34;48;26;46;38;480
"110147 Primavera de Rondônia";2;6;6;5;2;1;5;2;7;3;12;51
"110026 Rio Crespo";-;3;3;1;4;-;3;4;-;4;1;23
