"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;3;1;2;-;1;3;3;1;15
"110037 Alto Alegre dos Parecis";-;-;-;-;2;-;-;-;-;1;-;3
"110040 Alto Paraíso";-;2;1;-;1;-;-;-;2;3;-;9
"110034 Alvorada D'Oeste";1;2;-;1;1;1;2;1;-;1;2;12
"110002 Ariquemes";6;2;6;3;3;14;6;8;31;32;13;124
"110045 Buritis";2;1;-;1;-;3;2;2;10;13;5;39
"110003 Cabixi";-;-;-;-;2;1;-;-;-;1;1;5
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;1;-;2
"110004 Cacoal";5;3;3;6;3;6;10;10;13;15;8;82
"110070 Campo Novo de Rondônia";1;1;1;1;-;3;2;1;-;3;2;15
"110080 Candeias do Jamari";2;-;1;1;-;2;2;4;13;11;2;38
"110090 Castanheiras";-;-;1;1;-;-;-;1;2;-;-;5
"110005 Cerejeiras";1;-;-;1;-;-;-;1;-;1;-;4
"110092 Chupinguaia";1;-;-;-;-;-;-;-;-;-;1;2
"110006 Colorado do Oeste";3;-;-;-;-;1;2;1;2;-;1;10
"110007 Corumbiara";-;1;1;-;1;1;1;-;1;-;1;7
"110008 Costa Marques";1;-;1;-;1;-;-;-;1;-;2;6
"110094 Cujubim";-;1;-;-;-;-;-;-;7;11;-;19
"110009 Espigão D'Oeste";-;-;1;-;1;2;1;3;3;4;5;20
"110100 Governador Jorge Teixeira";-;1;-;-;-;1;-;-;-;1;-;3
"110010 Guajará-Mirim";-;-;1;1;-;6;1;-;8;28;3;48
"110110 Itapuã do Oeste";-;-;-;-;-;2;-;-;2;2;2;8
"110011 Jaru";-;-;1;-;3;5;2;5;5;1;6;28
"110012 Ji-Paraná";2;5;5;2;4;7;7;11;15;22;7;87
"110013 Machadinho D'Oeste";-;1;2;1;2;1;-;3;16;18;4;48
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;1;-;2
"110130 Mirante da Serra";1;1;1;-;-;2;1;1;5;2;-;14
"110140 Monte Negro";-;1;-;1;1;5;2;2;1;2;-;15
"110014 Nova Brasilândia D'Oeste";-;-;-;-;1;2;-;2;1;1;1;8
"110033 Nova Mamoré";-;-;-;-;-;2;2;4;15;11;2;36
"110143 Nova União";-;-;-;-;1;1;-;-;1;1;1;5
"110050 Novo Horizonte do Oeste";1;-;-;-;-;-;-;1;2;-;1;5
"110015 Ouro Preto do Oeste";-;4;2;1;-;-;1;3;10;6;-;27
"110145 Parecis";-;-;1;-;-;-;-;-;-;-;-;1
"110018 Pimenta Bueno";1;-;1;1;2;2;2;3;3;6;2;23
"110146 Pimenteiras do Oeste";1;-;-;-;-;-;-;-;-;1;-;2
"110020 Porto Velho";9;18;23;32;39;71;38;41;182;180;55;688
"110025 Presidente Médici";-;3;-;-;-;2;1;-;1;3;3;13
"110147 Primavera de Rondônia";1;-;-;-;-;-;-;-;1;-;-;2
"110026 Rio Crespo";-;-;-;-;-;-;-;-;-;-;1;1
"110028 Rolim de Moura";3;-;-;2;5;2;3;4;8;7;3;37
"110029 Santa Luzia D'Oeste";-;-;1;-;-;-;1;-;1;2;-;5
"110148 São Felipe D'Oeste";-;-;-;-;-;1;1;-;5;-;1;8
"110149 São Francisco do Guaporé";2;-;1;1;-;-;1;1;-;6;-;12
"110032 São Miguel do Guaporé";3;1;-;2;-;2;-;2;1;2;4;17
"110150 Seringueiras";2;1;-;2;2;1;4;3;4;2;-;21
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;9;1;-;10
"110160 Theobroma";-;1;-;-;-;1;-;-;1;-;-;3
"110170 Urupá";1;-;-;-;-;-;-;-;-;1;-;2
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;-;1;2
"110030 Vilhena";16;1;1;3;3;7;5;4;13;10;9;72
"120001 Acrelândia";-;-;-;-;1;-;1;-;-;-;-;2
"120005 Assis Brasil";1;-;-;-;-;-;2;-;-;1;-;4
"120010 Brasiléia";3;-;2;1;2;-;-;2;-;-;-;10
"120013 Bujari";1;-;1;-;-;-;-;-;-;-;-;2
"120020 Cruzeiro do Sul";18;9;10;5;17;5;5;3;5;4;1;82
"120025 Epitaciolândia";1;-;1;-;2;1;1;-;-;-;-;6
"120030 Feijó";-;-;1;1;1;1;2;1;1;-;-;8
"120032 Jordão";-;-;1;-;-;-;-;-;-;-;-;1
"120033 Mâncio Lima";3;-;1;3;1;1;-;-;-;-;-;9
"120034 Manoel Urbano";-;-;-;-;-;-;-;-;1;-;-;1
"120035 Marechal Thaumaturgo";1;-;-;-;1;-;-;1;2;1;-;6
"120038 Plácido de Castro";2;-;1;-;1;1;-;2;1;3;3;14
"120080 Porto Acre";-;1;-;-;1;1;2;-;-;-;-;5
"120040 Rio Branco";41;30;25;22;37;29;30;30;26;16;20;306
"120042 Rodrigues Alves";2;-;1;-;-;2;-;-;1;-;-;6
"120043 Santa Rosa do Purus";-;-;-;-;-;-;1;-;-;-;-;1
"120050 Sena Madureira";3;2;-;4;4;-;2;1;5;1;2;24
"120045 Senador Guiomard";1;-;-;-;1;-;-;-;1;-;2;5
"120060 Tarauacá";-;1;-;1;3;-;-;1;-;-;2;8
"120070 Xapuri";-;3;-;2;-;-;-;1;1;1;-;8
"130010 Anori";-;-;-;-;-;-;-;-;-;1;-;1
"130014 Apuí";-;-;-;-;-;-;-;1;-;4;1;6
"130020 Atalaia do Norte";1;-;-;-;-;-;-;-;-;-;-;1
"130030 Autazes";-;-;1;-;-;-;-;-;-;-;-;1
