"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"110001 Alta Floresta D'Oeste";-;-;1;-;1;-;-;-;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;1;-;-;-;-;1;2
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;1;1
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;1
"110002 Ariquemes";1;-;1;-;1;-;-;1;-;-;-;-;4
"110045 Buritis";-;-;-;1;-;-;-;-;-;-;-;-;1
"110004 Cacoal";-;-;-;-;-;-;-;1;1;-;-;-;2
"110080 Candeias do Jamari";-;-;-;-;-;-;1;-;1;-;-;-;2
"110005 Cerejeiras";-;2;-;-;-;-;-;-;-;-;-;-;2
"110006 Colorado do Oeste";-;-;-;1;-;-;-;-;-;-;-;-;1
"110007 Corumbiara";1;-;1;-;-;-;-;-;-;-;-;-;2
"110008 Costa Marques";-;-;-;-;-;-;-;1;2;-;1;-;4
"110009 Espigão D'Oeste";-;-;1;-;-;-;-;-;1;-;-;-;2
"110010 Guajará-Mirim";1;-;-;-;-;-;-;-;-;-;-;-;1
"110110 Itapuã do Oeste";-;1;-;-;-;-;-;-;-;1;-;-;2
"110011 Jaru";-;-;-;-;1;-;-;-;-;-;-;-;1
"110013 Machadinho D'Oeste";1;-;-;-;-;-;-;-;-;1;-;-;2
"110140 Monte Negro";-;-;-;-;1;-;-;-;-;-;-;-;1
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;2;1;-;-;-;-;3
"110143 Nova União";-;-;-;-;-;-;-;1;-;-;-;-;1
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;-;-;1;-;-;-;2
"110018 Pimenta Bueno";1;-;-;1;-;-;-;-;-;-;1;-;3
"110020 Porto Velho";2;1;2;-;2;6;1;3;7;2;2;3;31
"110025 Presidente Médici";-;-;1;-;-;-;-;-;-;-;-;-;1
"110028 Rolim de Moura";1;-;-;-;1;1;-;-;-;-;-;-;3
"110032 São Miguel do Guaporé";-;-;-;-;1;-;-;-;-;-;-;-;1
"110150 Seringueiras";-;-;-;-;-;-;-;-;1;-;-;-;1
"110030 Vilhena";-;-;-;-;1;-;-;1;-;-;-;-;2
