,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,54,50,58,38,32,47,64,53,33,33,42,110001
1,3,8,10,23,29,15,10,9,6,14,12,110037
2,5,14,16,22,21,23,14,21,12,15,14,110040
3,37,53,73,46,61,51,27,42,23,20,37,110034
4,79,89,96,126,98,114,96,85,114,151,83,110002
5,5,6,8,6,10,47,45,11,23,16,16,110045
6,5,14,19,17,23,17,18,4,18,25,15,110003
7,3,11,7,18,7,7,3,3,2,7,2,110060
8,148,164,113,120,121,156,207,158,115,93,134,110004
9,11,15,12,23,16,26,26,12,30,19,37,110070
10,11,18,10,25,24,16,10,16,6,4,13,110080
11,7,9,6,7,4,2,2,6,0,2,2,110090
12,44,78,44,46,55,25,18,21,28,32,38,110005
13,9,10,3,6,7,6,11,3,3,4,4,110092
14,33,42,41,39,31,27,24,23,24,26,35,110006
15,4,6,7,11,8,3,4,2,4,3,5,110007
16,27,19,16,25,6,4,25,11,11,17,24,110008
17,0,3,3,9,12,3,2,6,7,15,28,110094
18,20,40,20,59,67,46,56,61,80,83,107,110009
19,4,17,5,11,19,26,29,28,10,6,7,110100
20,32,55,45,50,56,62,62,54,55,34,34,110010
21,1,4,7,4,7,2,2,5,4,4,11,110110
22,84,97,72,62,68,82,97,90,111,95,96,110011
23,222,232,252,235,299,337,338,264,230,250,229,110012
24,21,35,32,36,18,38,37,20,15,35,65,110013
25,14,12,18,13,17,25,26,28,10,12,11,110120
26,15,21,25,25,19,22,27,14,8,15,9,110130
27,28,45,57,70,30,22,44,1,2,5,20,110140
28,23,46,50,34,36,36,56,7,43,36,32,110014
29,8,17,13,23,17,38,25,39,32,32,39,110033
30,4,9,11,17,6,10,5,0,2,0,5,110143
31,10,12,18,22,20,22,18,17,18,12,19,110050
32,54,64,98,89,72,80,62,62,72,68,84,110015
33,3,2,5,4,3,4,3,1,2,4,2,110145
34,75,53,75,126,111,78,67,53,78,121,147,110018
35,3,4,2,6,1,0,2,2,0,4,1,110146
36,134,199,179,226,142,210,140,117,154,96,136,110020
37,53,62,41,36,38,58,34,48,26,46,38,110025
38,2,6,6,5,2,1,5,2,7,3,12,110147
39,0,3,3,1,4,0,3,4,0,4,1,110026
40,141,144,104,118,124,129,128,111,82,90,92,110028
41,17,15,6,25,28,42,25,52,38,24,23,110029
42,5,5,3,6,8,7,3,5,6,3,6,110148
43,8,13,15,11,17,7,41,24,14,32,11,110149
44,20,31,25,33,44,52,55,62,32,55,44,110032
45,4,13,7,7,18,11,14,26,16,18,26,110150
46,2,6,14,4,7,15,7,9,8,3,4,110155
47,6,17,9,6,14,11,8,4,3,12,12,110160
48,2,16,26,30,12,15,9,20,22,6,18,110170
49,3,11,9,2,5,7,10,3,8,8,12,110175
50,2,8,8,12,8,12,13,10,16,15,9,110180
51,141,190,155,174,90,141,159,150,124,142,157,110030
52,4,10,5,6,6,6,3,10,3,6,5,120001
53,7,2,7,5,6,3,5,2,2,2,4,120005
54,15,10,22,23,12,23,28,24,40,37,33,120010
55,3,2,4,6,6,2,1,0,2,1,1,120013
56,3,2,3,5,4,4,4,2,2,3,5,120017
57,83,71,83,76,52,86,69,76,70,52,79,120020
58,6,6,16,22,14,12,19,21,26,30,28,120025
59,8,8,3,8,5,5,0,6,3,3,13,120030
60,0,0,0,2,0,0,0,0,0,0,0,120032
61,6,8,4,8,8,12,13,43,16,12,9,120033
62,2,1,0,2,7,3,1,2,0,3,1,120034
63,1,1,4,4,5,6,1,0,6,1,2,120035
64,16,7,11,11,22,14,4,12,6,8,7,120038
65,6,8,1,7,5,4,2,6,3,6,1,120080
66,2,4,3,2,4,2,2,2,1,1,6,120039
67,227,222,150,219,189,192,152,149,166,123,178,120040
68,5,5,5,9,1,9,7,8,10,5,6,120042
69,0,0,0,3,0,0,0,0,1,0,1,120043
70,8,43,34,57,62,48,74,49,51,45,59,120050
71,17,8,4,15,8,10,20,18,12,13,14,120045
72,4,9,12,6,8,13,22,11,7,25,30,120060
73,5,10,8,12,29,41,38,12,3,14,15,120070
74,0,1,0,0,8,7,5,9,7,12,13,130002
75,0,0,9,4,3,0,0,0,1,5,4,130006
76,3,8,4,11,4,4,1,3,1,14,4,130008
77,3,2,1,0,0,0,0,3,2,10,17,130010
78,7,20,11,17,19,18,17,19,9,18,12,130014
79,0,0,0,1,2,0,0,0,1,3,2,130020
80,4,4,9,11,11,3,7,13,9,11,20,130030
81,8,17,7,8,12,15,20,17,16,18,6,130040
82,13,10,20,24,20,32,25,37,20,19,34,130050
83,4,2,4,1,1,4,12,5,4,6,1,130060
84,0,1,1,1,5,4,17,20,7,18,4,130063
85,2,4,4,7,6,12,3,2,7,8,31,130068
86,2,5,8,13,28,26,28,31,15,12,28,130070
87,19,13,11,8,27,27,25,47,65,56,79,130080
88,3,2,2,2,9,5,4,5,2,7,20,130083
89,3,3,2,0,0,0,0,0,2,4,3,130090
90,10,12,9,7,5,9,11,23,10,25,24,130100
91,12,10,3,7,2,5,15,15,12,20,13,130110
92,1,0,2,1,0,0,0,2,4,3,6,130115
93,20,9,16,16,31,30,33,43,30,30,29,130120
94,8,4,11,10,8,11,8,12,8,10,6,130130
95,1,6,7,7,3,23,26,12,7,14,11,130140
96,2,2,3,3,0,0,1,1,8,5,4,130150
97,17,20,20,10,0,4,11,46,19,25,5,130160
98,13,3,6,6,6,10,8,4,7,4,10,130165
99,29,18,13,14,18,20,22,13,34,16,21,130170
100,3,6,9,13,9,11,6,12,8,6,6,130180
101,22,29,32,23,38,43,30,38,38,43,53,130185
102,46,59,87,66,75,99,69,67,70,88,89,130190
103,1,2,4,0,1,0,1,5,0,0,1,130195
104,1,1,5,2,3,4,0,2,0,4,4,130200
105,0,1,1,3,2,0,0,1,3,2,6,130210
106,2,1,3,2,13,5,6,12,2,0,0,130220
107,1,1,0,10,10,8,13,11,5,17,4,130230
108,8,6,9,3,2,6,7,2,1,8,5,130240
109,33,28,38,43,44,49,54,65,53,65,84,130250
110,1,3,9,7,7,10,3,11,8,13,6,130255
111,823,896,904,1070,1439,1296,934,1189,1407,1576,1789,130260
112,16,1,14,20,5,8,13,39,26,25,10,130270
113,2,10,17,15,13,14,6,2,2,2,3,130280
114,11,17,16,35,32,30,32,22,30,63,53,130290
115,3,2,3,2,2,8,5,12,4,7,4,130300
116,13,9,16,21,4,3,10,8,2,12,33,130310
117,0,1,5,5,7,3,2,3,3,6,18,130320
118,3,2,5,8,10,3,17,17,2,9,4,130330
119,51,60,51,67,70,110,82,95,58,71,87,130340
120,0,6,3,5,6,10,3,13,6,0,24,130350
121,8,14,14,12,13,8,12,20,4,23,30,130353
122,7,12,15,8,1,5,9,7,21,12,19,130356
123,0,11,2,9,6,6,1,2,1,0,2,130360
124,0,0,0,2,4,2,2,4,6,10,11,130370
