,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
0,0,9,9,0,4,2,2,6,3,4,6,110001
1,2,1,1,0,2,0,1,0,2,0,0,110037
2,1,0,1,6,3,2,0,0,2,0,3,110040
3,1,0,0,1,0,1,2,3,1,0,1,110034
4,9,7,12,20,16,6,7,16,7,21,11,110002
5,0,0,2,3,1,1,2,2,1,2,2,110045
6,0,1,1,0,0,0,1,0,1,0,2,110003
7,0,0,0,2,0,0,0,0,1,2,2,110060
8,7,7,7,11,7,5,17,7,16,15,13,110004
9,0,1,0,2,3,0,0,0,1,0,0,110070
10,0,1,0,0,1,1,1,0,3,2,3,110080
11,1,0,0,0,0,0,0,1,0,0,0,110090
12,4,0,1,0,1,0,3,3,3,0,1,110005
13,3,1,0,1,0,0,2,0,0,1,0,110092
14,4,1,0,0,0,1,4,1,0,0,1,110006
15,4,2,0,0,0,1,1,1,0,0,0,110007
16,0,0,0,0,0,0,1,0,2,2,1,110008
17,0,2,0,2,0,2,1,1,6,0,3,110094
18,0,4,3,2,2,2,4,1,2,2,1,110009
19,1,0,1,0,1,0,1,0,0,2,0,110100
20,0,2,0,0,0,1,1,1,1,1,1,110010
21,0,0,1,2,0,0,0,0,0,2,0,110110
22,1,2,2,2,1,1,2,2,0,2,3,110011
23,10,9,6,7,7,16,18,8,6,21,12,110012
24,2,1,1,4,5,2,1,0,2,1,2,110013
25,0,2,0,1,1,4,2,1,0,0,1,110120
26,0,0,0,1,0,0,1,0,1,0,1,110130
27,0,0,2,4,2,0,1,1,0,3,0,110140
28,2,3,0,1,1,0,0,0,3,0,2,110014
29,0,0,0,0,0,0,2,2,1,0,1,110033
30,1,2,1,0,3,0,0,0,1,0,1,110143
31,0,4,2,0,0,0,0,0,1,1,2,110050
32,3,1,1,6,3,11,4,4,3,1,0,110015
33,0,1,1,0,0,2,18,0,2,2,2,110145
34,3,0,0,0,3,4,9,11,12,9,11,110018
35,0,1,1,1,0,0,1,0,0,0,0,110146
36,24,21,19,28,25,51,25,31,54,61,64,110020
37,2,1,1,3,1,0,1,0,1,3,2,110025
38,0,0,0,0,1,0,2,0,0,0,0,110147
39,0,0,0,0,0,0,0,0,1,1,2,110026
40,3,10,6,5,7,4,13,8,8,12,16,110028
41,0,1,0,0,1,1,0,1,2,2,0,110029
42,0,1,0,0,0,0,1,3,0,1,1,110148
43,0,2,0,1,1,1,4,0,2,3,1,110149
44,1,6,7,3,3,5,2,1,4,4,2,110032
45,1,5,7,0,7,2,12,1,3,4,3,110150
46,0,0,0,0,0,1,0,0,0,2,1,110155
47,0,0,1,2,0,0,0,0,0,1,1,110160
48,1,1,0,0,3,1,0,0,0,1,0,110170
49,0,0,1,0,0,0,0,0,1,1,0,110175
50,0,0,0,0,1,0,1,0,0,0,0,110180
51,30,22,12,3,0,6,22,24,19,8,17,110030
52,0,2,2,2,1,0,1,0,1,0,0,120001
53,0,0,0,1,0,1,0,0,1,0,0,120005
54,0,0,1,2,1,2,1,4,1,0,2,120010
55,1,0,0,4,1,2,0,0,0,0,0,120013
56,1,0,2,0,4,0,2,0,0,0,0,120017
57,39,32,41,12,14,57,67,52,49,23,35,120020
58,0,0,0,0,0,0,0,0,2,1,2,120025
59,3,3,1,3,3,3,7,5,2,1,2,120030
60,1,0,1,0,0,0,0,0,0,0,0,120032
61,3,5,4,2,3,2,7,12,9,4,4,120033
62,1,1,0,0,0,1,1,1,0,0,1,120034
63,0,1,1,4,0,2,3,5,3,2,2,120035
64,1,3,1,3,3,0,1,1,1,1,0,120038
65,1,0,1,2,0,1,2,3,1,0,0,120080
66,1,1,1,1,0,1,1,1,4,2,1,120039
67,65,74,49,73,62,40,61,95,48,24,32,120040
68,2,0,1,1,1,5,10,8,8,2,5,120042
69,0,1,0,3,2,1,4,0,0,0,0,120043
70,4,1,3,5,3,6,12,6,12,16,12,120050
71,3,3,5,3,11,2,9,3,0,0,1,120045
72,0,3,3,2,10,7,9,5,5,2,4,120060
73,0,0,3,0,1,2,0,2,1,0,1,120070
74,0,0,0,0,0,0,2,4,1,2,2,130002
75,0,0,0,0,2,0,0,0,0,0,1,130006
76,0,0,0,0,0,1,0,0,0,0,1,130008
77,0,1,0,0,0,0,0,0,0,0,2,130010
78,4,0,3,0,2,5,9,5,2,3,4,130014
79,0,0,0,0,0,1,0,0,0,2,0,130020
80,38,1,0,2,1,0,0,0,1,0,2,130030
81,2,1,3,0,3,6,5,1,2,1,2,130040
82,0,1,0,1,0,1,2,0,2,1,2,130050
83,0,0,0,0,0,0,0,1,0,1,1,130060
84,0,0,0,0,0,1,0,1,1,0,0,130063
85,0,1,0,0,0,0,0,0,0,0,0,130068
86,0,1,2,4,2,2,4,3,3,0,4,130070
87,1,1,0,1,0,1,1,0,3,1,0,130080
88,1,0,0,0,0,0,0,0,1,0,0,130083
89,2,0,0,0,0,0,1,0,0,2,2,130100
90,2,0,0,0,0,0,0,1,1,1,1,130110
91,0,1,0,0,0,0,0,0,0,0,0,130115
92,9,10,10,6,6,7,9,3,5,1,5,130120
93,1,0,0,0,0,0,0,0,0,1,0,130130
94,0,4,3,3,1,12,3,2,2,9,8,130140
95,0,1,0,0,0,0,0,0,2,3,3,130150
96,0,2,1,4,0,0,0,0,0,2,0,130160
97,1,3,2,2,3,5,7,4,5,0,2,130165
98,1,1,0,0,0,0,1,1,4,2,1,130170
99,0,1,2,9,2,5,0,0,7,1,2,130180
100,1,1,1,0,2,0,0,1,5,4,4,130185
101,10,1,0,0,0,0,1,0,1,5,5,130190
102,0,0,0,0,0,1,0,1,0,0,0,130195
103,1,0,0,0,0,2,0,0,0,0,3,130200
104,0,0,0,0,0,0,1,0,0,0,0,130220
105,7,2,0,0,0,0,1,0,0,0,0,130230
106,1,0,0,0,1,0,0,0,0,0,1,130240
107,9,11,1,21,14,27,6,7,5,32,25,130250
108,0,0,0,0,0,0,0,0,0,1,0,130255
109,302,117,66,93,72,62,80,105,141,202,265,130260
110,1,0,0,0,0,1,1,0,1,0,0,130270
111,0,0,0,1,0,0,0,0,0,0,1,130280
112,0,1,0,1,1,4,2,4,8,21,32,130290
113,0,0,0,0,0,0,1,1,3,1,0,130300
114,0,0,0,0,1,0,0,0,0,0,0,130320
115,0,0,0,0,0,0,0,1,0,0,0,130330
116,6,11,18,4,5,5,9,5,6,1,7,130340
117,0,1,1,0,2,1,1,0,0,1,0,130350
118,0,1,0,1,1,2,0,0,1,1,2,130353
119,0,0,0,2,0,0,0,0,0,0,1,130356
120,0,0,0,1,0,1,0,0,0,0,1,130360
121,0,0,0,0,2,0,0,0,0,1,1,130370
122,2,0,6,1,1,0,0,0,0,4,9,130380
123,1,1,0,0,1,0,0,0,1,1,3,130390
124,0,0,0,0,0,0,0,1,0,1,1,130395
125,0,0,0,0,0,0,0,1,0,0,0,130400
126,1,2,0,6,12,0,13,20,4,5,7,130406
127,4,2,3,8,13,2,0,4,4,8,6,130420
128,0,0,0,0,3,2,0,0,0,0,0,130440
129,1,1,1,1,3,0,1,2,0,0,0,140005
130,1,1,0,1,0,1,1,0,1,0,0,140002
131,31,30,46,50,47,42,26,39,36,76,59,140010
132,1,0,1,1,0,3,0,1,2,1,0,140015
133,2,0,4,0,1,2,1,1,1,1,5,140017
134,1,3,2,0,0,0,0,0,1,2,3,140020
135,2,0,0,2,0,0,0,0,0,3,1,140023
136,0,0,0,0,1,0,0,0,0,0,0,140028
137,1,4,1,2,1,2,0,1,1,1,1,140030
138,2,0,5,6,4,5,1,2,1,3,0,140040
139,1,1,0,1,0,3,1,1,1,2,2,140045
140,3,5,4,3,7,2,2,1,2,5,3,140047
141,2,1,0,0,0,0,0,0,0,5,0,140050
142,0,0,0,0,0,3,0,0,1,0,0,140060
143,0,0,0,1,4,0,1,1,2,1,0,140070
144,38,26,4,23,9,11,6,4,9,12,42,150010
145,0,0,0,0,0,1,1,0,0,0,0,150013
146,21,15,30,23,26,49,33,36,17,7,13,150020
147,0,2,0,1,0,0,0,0,0,1,0,150030
148,0,1,0,0,0,0,0,2,0,0,0,150034
149,3,4,1,0,2,3,1,3,1,0,1,150040
150,1,3,0,3,0,3,3,0,4,3,1,150050
151,9,10,8,9,15,11,16,13,23,21,9,150060
152,2,2,0,0,2,0,1,1,0,1,5,150070
153,81,138,91,46,49,48,32,25,20,13,17,150080
154,2,2,0,1,0,2,2,0,0,1,0,150085
155,15,12,4,7,11,4,1,2,1,2,1,150090
156,3,4,1,1,3,0,0,1,1,1,6,150095
157,0,0,0,2,1,1,0,0,0,0,0,150100
158,0,0,0,0,1,5,1,4,2,2,4,150110
159,0,1,0,0,0,1,0,1,0,2,0,150120
160,1,0,0,0,0,0,0,0,1,0,0,150125
161,4,7,3,2,1,2,3,1,3,1,2,150130
162,264,240,213,132,142,170,119,135,94,100,84,150140
163,0,1,1,1,1,0,0,1,0,2,0,150145
164,2,7,1,0,3,5,1,2,1,0,3,150150
165,12,1,1,0,1,0,0,0,0,1,1,150157
166,4,0,2,0,1,5,1,3,0,0,0,150160
167,75,86,40,9,10,10,7,12,9,12,14,150170
168,6,2,0,0,2,0,0,3,1,3,2,150172
169,0,2,0,0,0,0,1,0,1,0,0,150175
170,0,0,4,1,0,1,3,1,3,0,2,150178
171,10,15,13,21,19,12,15,22,37,29,28,150180
172,44,18,5,7,4,0,1,0,0,2,2,150190
173,0,0,0,1,0,2,0,0,1,1,2,150200
174,4,1,0,0,1,0,2,0,0,0,0,150195
175,4,1,4,10,4,11,7,15,13,8,7,150210
176,0,2,0,1,0,1,1,1,4,4,4,150215
177,17,10,22,7,6,10,36,19,4,12,2,150220
178,3,5,0,2,1,1,1,1,0,1,2,150230
179,149,109,57,27,68,61,29,14,10,4,16,150240
180,0,0,0,0,0,0,0,0,0,0,1,150250
181,1,1,0,2,0,1,2,1,0,0,0,150260
182,2,8,6,8,8,18,3,2,0,1,1,150270
183,3,4,3,1,3,2,1,0,5,4,1,150275
184,0,0,0,0,1,0,0,0,2,1,1,150276
185,0,0,1,0,1,0,1,0,0,1,1,150277
186,2,3,1,2,2,2,0,1,1,3,1,150280
187,0,2,0,0,0,0,2,0,1,0,0,150285
188,6,5,2,1,1,2,0,1,0,0,0,150290
189,2,10,12,9,9,10,19,13,6,28,6,150293
190,1,0,0,0,1,1,0,0,0,0,0,150295
191,0,0,0,0,0,0,1,2,0,0,0,150300
192,0,1,3,0,2,5,0,0,0,0,0,150304
193,5,0,1,0,0,1,2,0,3,0,1,150307
194,1,0,0,4,0,0,0,0,0,0,1,150309
195,1,1,1,0,2,0,0,1,1,0,1,150310
196,4,3,1,3,4,2,3,2,0,1,6,150320
197,16,3,31,46,24,4,2,14,14,19,12,150330
198,3,2,0,0,1,4,1,0,0,0,0,150340
199,20,0,2,1,2,7,4,4,1,3,10,150345
200,3,2,1,1,1,0,0,2,0,1,3,150350
201,2,2,2,4,3,5,6,6,6,6,3,150360
202,0,1,0,3,1,2,1,2,0,1,3,150370
203,0,0,0,0,0,0,0,0,1,1,1,150375
204,3,4,0,1,2,1,2,3,3,3,0,150380
205,0,0,0,1,2,0,4,1,0,1,2,150390
206,2,0,1,0,0,0,0,0,0,0,1,150400
207,3,3,1,1,1,1,1,0,0,1,11,150405
208,0,0,0,1,1,1,0,0,0,0,0,150410
209,23,27,23,36,31,27,23,17,9,11,8,150420
210,4,24,36,19,16,26,13,14,8,16,7,150430
211,1,2,0,3,1,1,1,0,0,1,0,150440
212,30,22,41,21,18,16,13,11,2,6,11,150442
213,4,2,1,1,3,0,0,1,0,0,0,150445
214,1,0,2,2,2,0,1,2,5,2,4,150450
215,0,2,0,0,0,0,3,1,0,0,0,150460
216,23,43,65,37,51,39,81,58,40,17,20,150470
217,0,0,0,0,0,0,0,1,1,1,1,150475
218,22,1,1,1,2,2,3,8,3,3,4,150480
219,3,1,1,0,0,0,0,0,2,2,2,150490
220,8,0,13,5,0,15,15,2,6,0,1,150495
221,0,1,0,1,2,2,3,0,0,0,0,150497
222,1,5,1,2,3,0,1,2,1,2,3,150500
223,0,10,7,1,2,1,1,1,4,2,0,150503
224,0,2,2,1,0,0,1,1,1,0,1,150506
225,3,1,1,0,0,0,3,1,0,1,2,150510
226,0,2,0,2,1,1,2,1,0,2,0,150520
227,1,3,2,3,1,3,3,1,3,5,3,150530
228,0,1,1,1,1,0,0,3,2,2,1,150540
229,0,1,4,4,0,1,0,1,1,0,0,150543
230,0,0,1,0,0,1,1,1,0,0,2,150548
231,0,1,0,0,0,0,0,0,0,0,0,150549
232,63,27,63,51,47,68,65,58,64,77,58,150550
233,3,7,6,2,9,4,10,12,17,21,8,150553
234,0,0,0,0,1,1,1,1,1,0,0,150555
235,1,0,3,0,1,1,1,0,0,1,0,150560
236,0,0,0,0,0,0,0,0,1,0,1,150563
237,0,0,0,1,0,0,0,1,1,0,0,150565
238,0,2,2,0,0,1,1,0,0,2,0,150570
